"origin","nbr_occurence","origin_norm_ortho","nbr_occurence_norm_ortho","origin_province","nbr_occurence_province","remarks_origin"
,548604,,548619,,548619,
"?",3,"?",3,"Inconnu",206,
"(De renvoi)",1,"de renvoi",1,"Inconnu",206,
"3 Evêchés",3,"Trois-Évêchés",8,"Lorraine",60,"en simplifiant.."
"Abbeville",60,"Abbeville",60,"Picardie",900,
"Acheté à Lisbonne en faisant route pour la côte d'or",1,"Acheté à Lisbonne en faisant route pour la côte d'or",1,"Portugal",9,
"Aédon",3,"Aédon",3,"Inconnu",206,"??? Redon?"
"Agde",5,"Agde",5,"Languedoc",1541,
"Agen",3,"Agen",3,"Guyenne",2017,
"Agenois",6,"Agenois",7,"Guyenne",2017,
"Agénois",1,"Agenois",7,"Guyenne",2017,
"Aix",1,"Aix",1,"Provence",2016,
"Alençon",7,"Alençon",7,"Normandie",1703,
"Alep",2,"Alep",2,"Levant et Barbarie",106,
"Alicante",1,"Alicante",1,"Espagne",62,
"Aligre",2,"Aligre",2,"Aunis",238,
"Allemagne",16,"Allemagne",16,"Allemagne",18,
"Alsace",28,"Alsace",28,"Alsace",29,
"Amérique",4,"Amérique",4,"Amérique",232,"colonies espagnoles d'Amérique;colonies britanniques d'Amérique;colonies françaises d'Amérique"
"Amérique espagnole",4,"Amérique espagnole",4,"Amérique",232,
"Amienois",104,"Amiénois",414,"Picardie",900,
"amienois",1,"Amiénois",414,"Picardie",900,
"Amiénois",309,"Amiénois",414,"Picardie",900,
"Amiens",198,"Amiens",198,"Picardie",900,
"Anger",2,"Angers",21,"Anjou",316,
"Angers",19,"Angers",21,"Anjou",316,
"Angers et Saumur",3,"Angers et Saumur",3,"Inconnu",206,
"Angleterre",454,"Angleterre",456,"Angleterre",533,
"Angoulême",58,"Angoulême",58,"Angoumois",174,
"Angoumoins",1,"Angoumois",116,"Angoumois",174,
"Angoumois",115,"Angoumois",116,"Angoumois",174,
"Anjou",203,"Anjou",212,"Anjou",316,
"anjou",8,"Anjou",212,"Anjou",316,
"Anjou et Comte nantais",3,"Anjou et Comté de Nantes",3,"Inconnu",206,
"Anjou et Orleanais",5,"Anjou et Orléanais",5,"Inconnu",206,
"Annonay",1,"Annonay",1,"Languedoc",1541,
"Arbois Franche comté",1,"Arbois Franche comté",1,"Franche-Comté",352,"doute: Artois ?"
"Argenton",1,"Argenton",1,"Bretagne",1798,
"Arles",5,"Arles",5,"Provence",2016,
"Armagnac",3,"Armagnac",3,"Guyenne",2017,
"Artois",57,"Artois",57,"Artois",57,
"Aubenas",1,"Aubenas",1,"Languedoc",1541,"Provence ou Languedoc ??"
"Aubenton",1,"Aubenton",1,"Picardie",900,"Champagne ou Picardie ?"
"Aulnay",11,"Aulnay",11,"Saintonge",147,"lequel ? il y en a plusieurs -- ce sont des exportations de toile depuis Bordeaux ; je dirai la saintonge. En plus, c'est la plus grande"
"Aunis",144,"Aunis",156,"Aunis",238,
"Auvergne",66,"Auvergne",66,"Auvergne",73,
"Aux Voyageurs",1,"Aux Voyageurs",1,"Inconnu",206,"???"
"Auxonne",1,"Auxonne",1,"Dauphiné",253,
"Avignon",1,"Avignon",1,"Monde",1066,"Attention! PAS France"
"Baccarat",4,"Baccarat",4,"Lorraine",60,"C'est de la verrerie -- donc bien Baccarat en Lorraine"
"Bagnères",1,"Bagnères",1,"Guyenne",2017,
"Barbarie",11,"Barbarie",11,"Levant et Barbarie",106,
"Barcelone",3,"Barcelone",3,"Espagne",62,
"Barrege",1,"Barrege",1,"Guyenne",2017,
"Barsac",9,"Barsac",9,"Guyenne",2017,
"Bas Bretagne",1,"Basse Bretagne",1,"Bretagne",1798,
"Bas Poitou",2,"Bas Poitou",2,"Poitou",134,
"Basse Bourgogne",1,"Basse Bourgogne",548619,"Bourgogne",548619,
"Baujolais",1,"Baujolais",1,"Lyonnais",1685,
"Bayonne",51,"Beaujolais",97,"Guyenne",2017,
"Bearn",204,"Béarn",283,"Béarn",318,
"Béarn",79,"Béarn",283,"Béarn",318,
"Béarn et Languedoc",1,"Béarn et Languedoc",1,"Inconnu",206,
"Béarn la Guyenne",3,"Béarn la Guyenne",3,"Inconnu",206,
"Beauce",4,"Beauce",4,"Beauce",4,
"Beaufort",1,"Beaufort",1,"Anjou",316,"Toile : donc manufacture de Beaufort en Anjou"
"Beaujolais",38,"Beaujolais",97,"Lyonnais",1685,"Oui, c'est bien cela GD"
"Beaujolois",8,"Beaujolais",97,"Lyonnais",1685,
"Beaussird",1,"Beaussird",1,"Inconnu",206,"???"
"Beauvais",25,"Beauvais",25,"Île-de-France",1897,
