goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
,3136,,,non,1,386596
???,90,,,non,0,386596
??? blanc,2,,,non,0,386596
??? brun,2,,,non,0,386596
??? d'Anjou et de Touraine,1,,,non,0,386596
??? d'argent,1,,,non,,386596
??? d'une valeur moindre de deux mille francs chacun,473,Intraitable,,non,1,6283
??? de boutard,1,,,non,0,386596
??? de fer,2,,,non,,386596
??? de morue,1,,,non,,386596
??? de nacre de perle,1,,,non,,386596
??? des ci-devant provinces d'Alsace,1,,,non,0,386596
??? des ci-devant provinces de Bourgogne,1,,,non,0,386596
??? des ci-devant provinces de Provence,2,,,non,0,386596
??? des ci-devant provinces du Languedoc,1,,,non,0,386596
??? diverses,4,,,non,0,386596
??? fer,1,,,non,0,386596
??? forts de fer,1,,,non,,386596
??? gras,1,,,non,,386596
??? particulièrement en chevaux,6,,,non,0,386596
??? pieds,1,,,non,,386596
??? pruneaux,1,,,non,,386596
??? raisins secs,1,,,non,,386596
???sse,1,,,non,0,386596
?ufs,1,,,non,0,386596
à jamis,276,,,non,0,386596
abassis,4,,,non,0,386596
abats,2,,,non,0,386596
abattis de morue,1,,,non,0,386596
abricots confits,1,,,non,0,386596
absinthe,19,,,non,0,386596
acacia,5,,,non,0,386596
acacia germanica,1,,,non,0,386596
acacia vera,1,,,non,0,386596
acajou,1,,,non,0,386596
acétate d'étain,0,,,oui,0,386596
acétate de fer,0,,,oui,0,386596
acétates d'étain,1,,,non,0,386596
acétates de fer,3,,,non,0,386596
acétates de plomb,29,,,non,0,386596
acétates de plomb sel de Saturne,2,,,non,0,386596
acétates de potasse et de soude,2,,,non,0,386596
acétates de sel d'étain,1,,,non,0,386596
achia,7,,,non,0,386596
acide arsénieux,8,,,non,0,386596
acide benzoïque,1,,,non,0,386596
acide benzoïque et phosphorique,2,,,non,0,386596
acide borique,3,,,non,0,386596
acide borique et benzoïque,2,,,non,0,386596
acide citrique,2,,,non,0,386596
acide citrique et muriatique et phosphorique,2,,,non,0,386596
acide citrique et oxalique et tartrique,2,,,non,0,386596
acide de potasse crème de tartre,5,,,non,0,386596
acide de potasse crème de tartre et tartrate,0,,,oui,0,386596
acide de potasse lie de vin desséché et liquide,4,,,non,0,386596
acide de potasse lie de vin desséché et liquide et tartrate,0,,,oui,0,386596
acide de potasse lie de vin desséchée,3,,,non,0,386596
acide de potasse lie de vin desséchée et tartrate,0,,,oui,0,386596
acide de potasse lie de vin liquide,2,,,non,0,386596
acide de potasse lie de vin liquide et tartrate,0,,,oui,0,386596
acide de potasse tartre brut impur,2,,,non,0,386596
acide de potasse tartre brut impur et tartrate,0,,,oui,0,386596
acide muriatique,1,,,non,0,386596
acide muriatique et nitrique et phosphorique,3,,,non,0,386596
acide muriatique et nitro-muriatique,2,,,non,0,386596
acide nitrique,4,,,non,0,386596
acide oxalique,2,,,non,0,386596
acide phosphorique,2,,,non,0,386596
acide succinique,1,,,non,0,386596
acide tartrique,2,,,non,0,386596
acide vitriolique,4,,,non,0,386596
acide vitriolique et huile de vitriol,109,,,non,0,386596
acide vitrioliques et huile de vitriol,0,,,oui,0,386596
acier,1679,,,non,0,386596
acier battu forgé ou laminé,1,,,non,0,386596
acier battu forgé ou laminé et fer carbonaté,0,,,oui,0,386596
acier brun,1,,,non,0,386596
acier brut,10,,,non,0,386596
acier commun,1,,,non,0,386596
acier en barres,6,,,non,0,386596
acier en bottes pour la Compagnie des Indes,1,,,non,0,386596
acier et clous,1,,,non,0,386596
acier et fer,356,,,non,0,386596
acier fondu en carreaux ou en tôle,5,,,non,0,386596
acier fondu forgé,1,,,non,0,386596
acier fondu forgé et fer carbonaté,0,,,oui,0,386596
acier forgé,7,,,non,0,386596
acons,1,,,non,0,386596
acons démontés,20,,,non,0,386596
acons démontés en gabare,2,,,non,0,386596
acorus,5,,,non,0,386596
acuirson,1,,,non,0,386596
acume de cuivre,1,,,non,0,386596
adatais,3,,,non,0,386596
affûts,2,,,non,0,386596
affûts de bois,1,,,non,,386596
affûts de canons,11,,,non,0,386596
affûts de fer,1,,,non,,386596
affûts de fusils,1,,,non,0,386596
affûts de fûts à canons,1,,,non,0,386596
affûts et canons,1,,,non,0,386596
agaric,138,,,non,0,386596
agaric amadouvier,6,,,non,0,386596
agaric amadouvier brut,4,,,non,0,386596
agaric amadouvier brut et préparé,12,,,non,0,386596
