Inconnu,marchandises,definition,
0,"abassi, abassis, abaci, abafine","""Monnaie qui a cours en Perse"", Jacques Savary des Brûlons, Dictionnaire universel de commerce, vol. 1, Paris, Vve Estienne, 1741, p. 559 [ci-après Savary, Dictionnaire 1741 1], article ""ABAGI, qu'on écrit ABASSI"". ",
1,acobille,"Deux possibilités; la plus probable, ""agobille"", oiseau d'Egypte, cité par Jacques Savary des Brûlons, Dictionnaire universel de commerce, vol. 2, Genève, Héritiers Cramer et Frères Philibert, 1742, p. 1529-1530 [ci-après Savary, Dictionnaire 1742 2], article ""OISEAU"". Autre possibilité, ""agobilles"", ""Objets de peu de valeur, chiffons"", Trésor de la Langue Française Informatisé, http://www.cnrtl.fr/definition/portail, TLFI [ci-après CNRTL/TLFI], article ""AGOBILLES"".",
0,acon,"""Embarcation à fond plat, servant à divers usages"", CNRTL/TLFI, article ""AC(C)ON"".",
0,"acorus, accorus, acore","""On donne aujourd'hui le nom d'acorus à trois racines différentes, le vrai acorus, l'acorus des Indes, & le faux acorus [...]"", Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers, par une Société de Gens de lettres, Denis Diderot et Jean Le Rond d'Alembert éds., 1751-1772 [consulté dans l'édition en ligne ARTFL, http://encyclopedie.uchicago.edu/node/161; ci-après Encyclopédie ARTFL], article ""ACORUS"". Cf. également ""La racine de l'acorus [...] est de quelque usage dans la médecine étant un des ingrédients qui entrent dans la composition du Thériaque. Les parfumeurs en emploient aussi beaucoup"", Savary, Dictionnaire 1, article ""ACORUS-VERUS"".",
0,adatais,"""Mousseline ou toile de coton très fine et très claire, dont la pièce a dix aunes de longueur sur trois quarts de large. Cette mousseline vient des Indes Orientales. Les plus beaux Adatais se font à Bengale"", Savary, Dictionnaire 1741 1, article ""ADATAIS, ou ADATYS"".",
0,"adragant, adraganthe, adragathe (gomme)","""Suc gommeux"", Encyclopédie ARTFL, article ""ADRAGANT, la gomme"". ",
0,agaric,"""agaric/bolet/polypore du chêne, dit encore agaric des chirurgiens, agaric astringent, amadou, amadouvier,parasite des vieux chênes, utilisé dans le domaine méd. comme hémostatique et dans la vie domestique comme combustible"", CNRTL/TLFI, article ""AGARIC"", sous-section ""Faux agaric"". Trois sortes, l'agaric mâle (colorant), l'agaric femelle (""le plus estimé car il a beaucoup d'usage dans la médecine""), et l'agaric faux (pas d'utilité), Savary, Dictionnaire 1741 1, article ""AGARIC"". ",
0,agneline,"""se dit de la laine qui vient des agneaux"", Dictionnaire de l'Académie française, 6e Edition (1832-5) [consulté dans l'édition en ligne ATILF, http://artfl.atilf.fr/dictionnaires/ACADEMIE/SIXIEME/sixieme.fr.html, ci-après Académie 6e éd.], article ""AGNELINE"".",
0,agoutal,"""Vfr. agottail, agottal, pr. agouta agoutal — Écope""; N. du Puitspelu [C. Tisseur], Dictionnaire étymologique du patois lyonnais, Lyon, Libraire Générale Henri George, 1887-1889, article ""AGOTTIAU"". ",
0,aigledon,"""Duvet très fin et très léger de certains oiseaux du Nord"", CNRTL/TLFI, Article ""AIGLEDON"".",
