simplification,nbr_occurences_simpl,obrien,note,nbr_occurences_obrien
?,12,?,,12
???,196,,,9479
[vide],2578,,,9479
Afrique,46,Afrique,,46
Afrique occidentale,34,Afrique occidentale,,34
Alexandrette,37,,,9479
Alger,46,Alger,,46
Aligre de Marans ou Marennes,1,,,9479
Allemagne,20070,Allemagne,,20070
Allemagne et Lorraine,125,Allemagne et Lorraine,,125
Allemagne et Pologne,1208,Allemagne et Pologne,,1208
"Allemagne, Lorraine et Pays de Liège",1553,"Allemagne, Lorraine et Pays de Liège",,1553
Alsace,359,Alsace,,359
Alsace et les Trois Évêchés,3,Alsace et les Trois Évêchés,,3
Alsace et Lorraine,4,Alsace et Lorraine,,4
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",,1
Amérique et Inde,1,,,9479
"Amérique, colonies françaises et Inde",1,,,9479
"Amérique, Inde et Turquie",2,,,9479
Amériques,47,Amériques,,47
Amiens,2,Amiens,,2
Angleterre,26124,Angleterre,,26124
Angleterre et Cologne,1,,,9479
Angleterre et flotte anglaise,49,,,9479
Angleterre et Irlande,1,,,9479
Antilles et Colonies Françaises,105,,,9479
Archipel,5,,,9479
Asie,79,Asie,,79
Autriche,2035,Autriche,,2035
Barbarie,470,Barbarie,,470
Barbarie dans l'Océan,8,,,9479
Barbarie dans l'Océan et Îles françaises d'Amérique,59,,,9479
Barbarie et Levant,34,,,9479
"Barbarie, Empire Ottoman et Levant",123,"Barbarie, Empire Ottoman et Levant",,123
Bayonne,379,Bayonne,,379
Bayonne et ?,1,Bayonne et ?,,1
Bayonne et Dunkerque,3,Bayonne et Dunkerque,,3
Bayonne et Lorient,3,Bayonne et Lorient,,3
Bayonne et Marseille,3,Bayonne et Marseille,,3
Bayonne et Petites Îles,4,Bayonne et Petites Îles,,4
"Bayonne, Dunkerque et Marseille",11,"Bayonne, Dunkerque et Marseille",,11
