marchandises_simplification,provenance_nord_américaine,details_provenance,obsolete
,,,non
???,,,non
??? blanc,,,non
??? brun,,,non
??? d'Anjou et de Touraine,,,non
??? d'une valeur moindre de deux mille francs chacun,Intraitable,,non
??? de boutard,,,non
??? des ci-devant provinces d'Alsace,,,non
??? des ci-devant provinces de Bourgogne,,,non
??? des ci-devant provinces de Provence,,,non
??? des ci-devant provinces du Languedoc,,,non
??? diverses,,,non
??? fer,,,non
??? particulièrement en chevaux,,,non
???sse,,,non
?ufs,,,non
abassis,,,non
abats,,,non
abattis de morue,,,non
abricots confits,,,non
absinthe,,,non
acacia,,,non
acacia germanica,,,non
acacia vera,,,non
acétate d'étain,,,oui
acétate de fer,,,oui
acétates d'étain,,,non
acétates de fer,,,non
acétates de plomb,,,non
acétates de plomb sel de Saturne,,,non
acétates de potasse et de soude,,,non
acétates de sel d'étain,,,non
achia,,,non
acide arsénieux,,,non
acide benzoïque,,,non
acide benzoïque et phosphorique,,,non
acide borique,,,non
acide borique et benzoïque,,,non
acide citrique,,,non
acide citrique et muriatique et phosphorique,,,non
acide citrique et oxalique et tartrique,,,non
acide de potasse crème de tartre,,,non
acide de potasse crème de tartre et tartrate,,,oui
acide de potasse lie de vin desséché et liquide,,,non
acide de potasse lie de vin desséché et liquide et tartrate,,,oui
acide de potasse lie de vin desséchée,,,non
acide de potasse lie de vin desséchée et tartrate,,,oui
acide de potasse lie de vin liquide,,,non
acide de potasse lie de vin liquide et tartrate,,,oui
acide de potasse tartre brut impur,,,non
acide de potasse tartre brut impur et tartrate,,,oui
acide muriatique,,,non
acide muriatique et nitrique et phosphorique,,,non
acide muriatique et nitro-muriatique,,,non
acide nitrique,,,non
acide oxalique,,,non
acide phosphorique,,,non
acide succinique,,,non
acide tartrique,,,non
acide vitriolique,,,non
acide vitriolique et huile de vitriol,,,non
acide vitrioliques et huile de vitriol,,,oui
acier,,,non
acier battu forgé ou laminé,,,non
acier battu forgé ou laminé et fer carbonaté,,,oui
acier brun,,,non
acier brut,,,non
acier commun,,,non
acier en barres,,,non
acier et clous,,,non
acier et fer,,,non
acier fondu en carreaux ou en tôle,,,non
acier fondu forgé,,,non
acier fondu forgé et fer carbonaté,,,oui
acier forgé,,,non
acons,,,non
acons démontés,,,non
acons démontés en gabare,,,non
acorus,,,non
acuirson,,,non
acume de cuivre,,,non
affûts de canons,,,non
affûts de fusils,,,non
affûts de fûts à canons,,,non
affûts et canons,,,non
agaric,,,non
agaric amadouvier,,,non
agaric amadouvier brut,,,non
agaric amadouvier brut et préparé,,,non
agaric amadouvier préparé,,,non
agaric brut et préparé,,,non
agaric de mélèze,,,non
agaric et amadouvier,,,oui
agaric gros,,,non
agate,,,non
agate autre que chique et ouvrée,,,non
agate brute,,,non
agate chique et ouvrée,,,non
agate fine,,,non
agate montée,,,non
agate ouvrée,,,non
agneaux,,,non
agneaux communs,,,non
agneaux en vie,,,non
agneaux et cabris,,,non
agneaux mérinos et métis,,,non
agnelines et crottelins,,,non
agoutals,,,non
agoutals de bois,,,non
agrément,,,non
agrément au quart,,,non
agrément d'argent,,,non
agrément d'or,,,non
agrément d'or et d'argent,,,non
agrément de fil,,,non
agrément de fil et de soie,,,non
agrément de fleur,,,non
agrément de soie,,,non
agrément de soie et d'argent,,,non
agrément de soie et fil,,,oui
agrément de soie or et argent faux,,,non
agréments de soie et milleret,,,non
agréments et milleret,,,non
agrès,,,non
agrès apparaux de navire et embarcations,,,non
agrès apparaux et embarcations,,,non
agrès de navire,,,oui
agrès de navire en voile,,,oui
agrès de navire et jeux de voile,,,non
agrès et apparaux,,,non
