goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
,2699,not a medical product,non,4722,,530318
???,90,not a medical product,non,75,???,530318
??? blanc,2,not a medical product,non,2,???,530318
??? brun,2,not a medical product,non,2,???,530318
??? d'Anjou et de Touraine,1,not a medical product,non,1,???,530318
??? d'argent,1,,non,,,1431
??? d'une valeur moindre de deux mille francs chacun,473,not a medical product,non,473,???,530318
??? de boutard,1,not a medical product,non,1,???,530318
??? de fer,2,,non,,,1431
??? de morue,1,,non,,,1431
??? de nacre de perle,1,,non,,,1431
??? des ci-devant provinces d'Alsace,1,not a medical product,non,1,???,530318
??? des ci-devant provinces de Bourgogne,1,not a medical product,non,1,???,530318
??? des ci-devant provinces de Provence,2,not a medical product,non,2,???,530318
??? des ci-devant provinces du Languedoc,1,not a medical product,non,1,???,530318
??? diverses,4,not a medical product,non,4,???,530318
??? fer,1,not a medical product,non,1,???,530318
??? forts de fer,1,,non,,,1431
??? gras,1,,non,,,1431
??? particulièrement en chevaux,6,not a medical product,non,6,???,530318
??? pieds,1,,non,,,1431
??? pruneaux,1,,non,,,1431
??? raisins secs,1,,non,,,1431
???sse,1,not a medical product,non,1,???,530318
?ufs,1,not a medical product,non,,???,530318
à jamis,276,not a medical product,non,207,6g,530318
abassis,4,not a medical product,non,3,9a,530318
abats,2,not a medical product,non,1,0a,530318
abattis de morue,1,not a medical product,non,1,0a,530318
abricots confits,1,not a medical product,non,1,0a,530318
absinthe,19,not a medical product,non,19,1,530318
acacia,5,not a medical product,non,5,2,530318
acacia germanica,1,not a medical product,non,1,2,530318
acacia vera,1,not a medical product,non,1,2,530318
acajou,1,not a medical product,non,,,530318
acétates d'étain,1,not a medical product,non,1,5,530318
acétates de fer,3,not a medical product,non,3,5,530318
acétates de plomb,29,not a medical product,non,29,5,530318
acétates de plomb sel de Saturne,2,not a medical product,non,2,5,530318
acétates de potasse et de soude,2,not a medical product,non,2,5,530318
acétates de sel d'étain,1,not a medical product,non,1,5,530318
achia,7,not a medical product,non,7,0b,530318
acide arsénieux,8,not a medical product,non,8,5,530318
acide benzoïque,1,not a medical product,non,1,5,530318
acide benzoïque et phosphorique,2,not a medical product,non,2,5,530318
acide borique,3,not a medical product,non,3,5,530318
acide borique et benzoïque,2,not a medical product,non,2,5,530318
acide citrique,2,not a medical product,non,2,5,530318
acide citrique et muriatique et phosphorique,2,not a medical product,non,2,5,530318
acide citrique et oxalique et tartrique,2,not a medical product,non,2,5,530318
acide de potasse crème de tartre,5,not a medical product,non,5,5,530318
acide de potasse lie de vin desséché et liquide,4,not a medical product,non,4,5,530318
acide de potasse lie de vin desséchée,3,not a medical product,non,3,5,530318
acide de potasse lie de vin liquide,2,not a medical product,non,2,5,530318
acide de potasse tartre brut impur,2,not a medical product,non,2,5,530318
acide muriatique,1,not a medical product,non,1,5,530318
acide muriatique et nitrique et phosphorique,3,not a medical product,non,3,5,530318
acide muriatique et nitro-muriatique,2,not a medical product,non,2,5,530318
acide nitrique,4,not a medical product,non,4,5,530318
acide oxalique,2,not a medical product,non,2,5,530318
acide phosphorique,2,not a medical product,non,2,5,530318
acide succinique,1,narrow medical product,non,1,5,24146
acide tartrique,2,not a medical product,non,2,5,530318
acide vitriolique,4,not a medical product,non,4,5,530318
acide vitriolique et huile de vitriol,109,not a medical product,non,109,5,530318
acier,1680,not a medical product,non,1389,6j,530318
acier battu forgé ou laminé,1,not a medical product,non,1,6j,530318
acier brun,1,not a medical product,non,1,6j,530318
acier brut,11,not a medical product,non,9,6j,530318
acier commun,1,not a medical product,non,1,6j,530318
acier en barres,6,not a medical product,non,6,6j,530318
acier en bottes pour la Compagnie des Indes,1,not a medical product,non,,,530318
acier et clous,1,not a medical product,non,1,6j,530318
acier et fer,356,not a medical product,non,356,6j,530318
acier fondu en carreaux ou en tôle,5,not a medical product,non,5,6j,530318
acier fondu forgé,1,not a medical product,non,1,6j,530318
acier forgé,7,not a medical product,non,7,6j,530318
acons,1,not a medical product,non,1,7,530318
acons démontés,20,not a medical product,non,17,7,530318
acons démontés en gabare,2,not a medical product,non,2,7,530318
acorus,5,narrow medical product,non,5,2,24146
acuirson,1,not a medical product,non,1,???,530318
acume de cuivre,1,not a medical product,non,1,6j,530318
adatais,3,not a medical product,non,,,530318
affûts,2,not a medical product,non,,,530318
affûts de bois,1,,non,,,1431
affûts de canons,11,not a medical product,non,7,8,530318
affûts de fer,1,,non,,,1431
affûts de fusils,1,not a medical product,non,1,8,530318
affûts de fûts à canons,1,not a medical product,non,1,8,530318
affûts et canons,1,not a medical product,non,1,8,530318
agaric,139,narrow medical product,non,125,2,24146
agaric amadouvier,6,narrow medical product,non,6,2,24146
agaric amadouvier brut,4,narrow medical product,non,4,2,24146
agaric amadouvier brut et préparé,12,narrow medical product,non,12,2,24146
agaric amadouvier préparé,6,narrow medical product,non,6,2,24146
agaric brut et préparé,6,narrow medical product,non,6,2,24146
agaric de mélèze,4,narrow medical product,non,4,2,24146
agaric fin,1,narrow medical product,non,,,24146
agaric gros,3,narrow medical product,non,1,2,24146
agate,11,not a medical product,non,9,6k,530318
agate autre que chique et ouvrages,2,,non,,,1431
agate autre que chique et ouvrée,0,not a medical product,oui,2,6k,530318
agate brute,4,not a medical product,non,4,6k,530318
agate chique et ouvrée,0,not a medical product,oui,1,6k,530318
agate en pierres,1,,non,,,1431
agate fine,1,not a medical product,non,1,6k,530318
agate montée,1,not a medical product,non,1,8,530318
agate ouvrée,0,not a medical product,oui,4,6k,530318
agneaux,118,not a medical product,non,108,0a,530318
agneaux communs,8,not a medical product,non,8,0a,530318
agneaux en vie,5,not a medical product,non,3,0a,530318
agneaux et cabris,1,not a medical product,non,1,0a,530318
agneaux mérinos et métis,7,not a medical product,non,7,0a,530318
agnelines et crottelins,1,not a medical product,non,1,2,530318
agobille,1,,non,,,1431
agoutals,4,not a medical product,non,4,6b,530318
agoutals de bois,5,not a medical product,non,5,6b,530318
agrément,15,not a medical product,non,15,6i,530318
agrément au quart,3,not a medical product,non,3,6i,530318
agrément d'argent,2,not a medical product,non,2,6i,530318
agrément d'or,1,not a medical product,non,1,6i,530318
agrément d'or et d'argent,5,not a medical product,non,5,6i,530318
agrément de fil,9,not a medical product,non,9,6i,530318
agrément de fil et de soie,3,not a medical product,non,2,6f,530318
agrément de fleur,1,not a medical product,non,1,9c,530318
agrément de soie,57,not a medical product,non,55,6f,530318
agrément de soie et d'argent,1,not a medical product,non,1,6f,530318
agrément de soie or et argent faux,1,not a medical product,non,1,6f,530318
agréments de soie et milleret,1,not a medical product,non,,6f,530318
agréments et milleret,1,not a medical product,non,,6i,530318
