simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
,218,non,not a medical product,4722,795416
???,3201,non,not a medical product,75,795416
??? blanc,2,non,not a medical product,2,795416
??? brun,2,non,not a medical product,2,795416
??? d'Anjou et de Touraine,0,non,not a medical product,1,795416
??? d'argent,1,non,,,42621
??? d'une valeur moindre de deux mille francs chacun,413,non,not a medical product,473,795416
??? de boutard,0,non,not a medical product,1,795416
??? de fer,2,non,,,42621
??? de morue,1,non,,,42621
??? de nacre de perle,1,non,,,42621
??? des ci-devant provinces d'Alsace,0,non,not a medical product,1,795416
??? des ci-devant provinces de Bourgogne,1,non,not a medical product,1,795416
??? des ci-devant provinces de Provence,2,non,not a medical product,2,795416
??? des ci-devant provinces du Languedoc,1,non,not a medical product,1,795416
??? diverses,4,non,not a medical product,4,795416
??? fer,1,non,not a medical product,1,795416
??? forts de fer,1,non,,,42621
??? gras,1,non,,,42621
??? particulièrement en chevaux,0,non,not a medical product,6,795416
??? pieds,1,non,,,42621
??? pruneaux,1,non,,,42621
??? raisin sec,1,non,,,42621
??? raisin secs,1,oui,,,42621
???sse,1,non,not a medical product,1,795416
?ufs,0,non,not a medical product,,795416
[non traité],67,oui,,,42621
[vide],6242,non,,,42621
à l'aventure,46,non,,,42621
à son lest,4,oui,,,42621
à vide,647,non,,,42621
abassis,4,non,not a medical product,3,795416
abats,2,non,not a medical product,1,795416
abattis de morue,1,non,not a medical product,1,795416
abricots,1,non,,,42621
abricots confits,1,non,not a medical product,1,795416
absinthe,19,non,not a medical product,19,795416
acacia,5,non,not a medical product,5,795416
acacia germanica,1,non,not a medical product,1,795416
acacia vera,1,non,not a medical product,1,795416
acajou,6,non,not a medical product,,795416
acétates d'étain,1,non,not a medical product,1,795416
acétates de fer,3,non,not a medical product,3,795416
acétates de plomb,292,non,not a medical product,29,795416
acétates de plomb et autres,7,non,,,42621
acétates de plomb sel de Saturne,2,oui,not a medical product,2,795416
acétates de potasse et de soude,2,oui,not a medical product,2,795416
acétates de potasse et de soudes,2,non,,,42621
acétates de sel d'étain,1,non,not a medical product,1,795416
achia,7,non,not a medical product,7,795416
acide arsénieux,8,non,not a medical product,8,795416
acide benzoïque,1,non,not a medical product,1,795416
acide benzoïque et phosphorique,2,non,not a medical product,2,795416
acide borique,3,non,not a medical product,3,795416
acide borique et benzoïque,2,non,not a medical product,2,795416
acide citrique,2,non,not a medical product,2,795416
acide citrique et muriatique et phosphorique,2,non,not a medical product,2,795416
acide citrique et oxalique et tartrique,2,non,not a medical product,2,795416
acide de potasse crème de tartre,5,non,not a medical product,5,795416
acide de potasse lie de vin desséché et liquide,4,non,not a medical product,4,795416
acide de potasse lie de vin desséchée,3,non,not a medical product,3,795416
acide de potasse lie de vin liquide,2,non,not a medical product,2,795416
acide de potasse tartre brut impur,2,non,not a medical product,2,795416
acide muriatique,1,non,not a medical product,1,795416
acide muriatique et nitrique et phosphorique,3,non,not a medical product,3,795416
acide muriatique et nitro-muriatique,2,non,not a medical product,2,795416
acide nitrique,4,non,not a medical product,4,795416
acide oxalique,2,non,not a medical product,2,795416
acide phosphorique,2,non,not a medical product,2,795416
acide succinique,1,non,narrow medical product,1,26542
acide tartrique,2,non,not a medical product,2,795416
acide vitriolique,4,non,not a medical product,4,795416
acide vitriolique et huile de vitriol,109,non,not a medical product,109,795416
acier,2620,non,not a medical product,1389,795416
acier battu forgé ou laminé,1,non,not a medical product,1,795416
acier brun,1,non,not a medical product,1,795416
acier brut,11,non,not a medical product,9,795416
acier commun,1,non,not a medical product,1,795416
acier en barres,9,non,not a medical product,6,795416
acier en bottes,1,non,,,42621
acier en bottes pour la Compagnie des Indes,1,non,not a medical product,,795416
acier et clous,9,non,not a medical product,1,795416
acier et fer,356,non,not a medical product,356,795416
acier fondu en carreaux ou en tôle,5,non,not a medical product,5,795416
acier fondu forgé,1,non,not a medical product,1,795416
acier forgé,7,non,not a medical product,7,795416
acons,1,non,not a medical product,1,795416
acons démontés,21,non,not a medical product,17,795416
acons démontés en gabare,2,non,not a medical product,2,795416
acorus,5,non,narrow medical product,5,26542
acuirson,0,non,not a medical product,1,795416
acume de cuivre,1,non,not a medical product,1,795416
adatais,3,non,not a medical product,,795416
affûts,2,non,not a medical product,,795416
affûts de bois,1,non,,,42621
affûts de canons,12,non,not a medical product,7,795416
affûts de fer,1,non,,,42621
affûts de fusils,2,non,not a medical product,1,795416
affûts de fûts à canons,1,non,not a medical product,1,795416
affûts et canons,1,non,not a medical product,1,795416
agaric,154,non,narrow medical product,125,26542
agaric amadouvier,6,non,narrow medical product,6,26542
agaric amadouvier brut,4,non,narrow medical product,4,26542
agaric amadouvier brut et préparé,12,non,narrow medical product,12,26542
agaric amadouvier préparé,6,non,narrow medical product,6,26542
agaric brut et préparé,6,non,narrow medical product,6,26542
agaric de mélèze,4,non,narrow medical product,4,26542
agaric fin,1,non,narrow medical product,,26542
agaric gros,2,non,narrow medical product,1,26542
agate,10,non,not a medical product,9,795416
agate autre que chique et ouvrages,2,non,,,42621
agate autre que chique et ouvrée,0,oui,not a medical product,2,795416
agate brute,4,non,not a medical product,4,795416
agate chique et ouvrée,0,oui,not a medical product,1,795416
agate en pierres,2,non,,,42621
agate fine,1,non,not a medical product,1,795416
agate montée,1,non,not a medical product,1,795416
agate ouvrée,0,oui,not a medical product,4,795416
agneau,118,non,not a medical product,108,795416
agneau commun,7,non,not a medical product,8,795416
agneau en vie,5,non,not a medical product,3,795416
agneau et cabris,122,non,not a medical product,1,795416
agneau mérinos et métis,7,non,not a medical product,7,795416
agneau mouton commun,1,non,,,42621
agnelines et crottelins,36,non,not a medical product,1,795416
agobille,4,non,,,42621
agoutals,4,non,not a medical product,4,795416
agoutals de bois,5,non,not a medical product,5,795416
agrément,15,non,not a medical product,15,795416
agrément au quart,3,non,not a medical product,3,795416
agrément d'argent,2,non,not a medical product,2,795416
agrément d'or,1,non,not a medical product,1,795416
agrément d'or et d'argent,5,non,not a medical product,5,795416
agrément de fil,9,non,not a medical product,9,795416
agrément de fil et de soie,3,non,not a medical product,2,795416
agrément de fleur,1,non,not a medical product,1,795416
agrément de soie,57,non,not a medical product,55,795416
agrément de soie et d'argent,1,non,not a medical product,1,795416
agrément de soie or et argent faux,1,non,not a medical product,1,795416
agrément pour robes,1,non,,,42621
agréments de soie et milleret,13,non,not a medical product,,795416
agréments et milleret,38,non,not a medical product,,795416
agrès,29,non,not a medical product,13,795416
agrès apparaux de navire et embarcations,6,non,not a medical product,6,795416
agrès apparaux et embarcations,2,non,not a medical product,2,795416
agrès de navire et jeux de voile,14,non,not a medical product,10,795416
agrès et apparaux,2,non,not a medical product,1,795416
agrès et apparaux d'or navire,1,non,,,42621
agrès et bâtiments de mer,10,non,not a medical product,10,795416
agrès et embarcations,8,non,not a medical product,8,795416
agrès et voile de navire,1,oui,not a medical product,1,795416
aigles,4,non,not a medical product,1,795416
aigre de cèdre,16,non,not a medical product,9,795416
aigre de cidre,5,non,not a medical product,5,795416
aigre de vitriol,17,non,narrow medical product,16,26542
aigrettes,10,non,not a medical product,8,795416
aigrettes de fil d'or et d'argent,1,non,not a medical product,1,795416
aigrettes de soie,1,non,not a medical product,1,795416
aigrettes de soie et argent,1,non,not a medical product,1,795416
aigrettes de verre,1,non,,,42621
aigrettes et bavolets,1,non,not a medical product,1,795416
aiguières d'étain,1,non,not a medical product,1,795416
aiguilles,349,non,not a medical product,192,795416
aiguilles à boîtes,1,non,not a medical product,1,795416
aiguilles à coudre,59,non,not a medical product,47,795416
aiguilles à coudre voiles,1,non,not a medical product,,795416
aiguilles à ralingue,1,non,not a medical product,1,795416
aiguilles à tabac,1,non,not a medical product,1,795416
aiguilles à toile,1,non,not a medical product,1,795416
aiguilles d'emballage,2,non,not a medical product,2,795416
aiguilles de mercerie fine,4,non,not a medical product,1,795416
aiguilles epars de sapin,1,non,not a medical product,1,795416
aiguilles et épingles,1,non,not a medical product,1,795416
aiguilles et épingles de mercerie fine,3,non,not a medical product,3,795416
aiguilles et mercerie fine,2,non,not a medical product,2,795416
aiguilles grosses,1,non,not a medical product,1,795416
aiguilles pour voile,38,non,not a medical product,26,795416
aiguillettes,1,non,not a medical product,,795416
aiguillettes de cuir,1,non,,,42621
aiguillettes de peau,1,non,,,42621
ail,2,oui,not a medical product,2,795416
ailes,17,non,not a medical product,3,795416
ailes de fléaux,3,non,not a medical product,1,795416
ailes de moulins,6,non,not a medical product,1,795416
ailor,0,non,not a medical product,1,795416
ails,294,non,not a medical product,184,795416
ails à fauches,1,non,not a medical product,1,795416
ails blancs à casser,1,non,not a medical product,1,795416
aimant,1,non,not a medical product,1,795416
ains à pêcher,44,non,not a medical product,23,795416
ains et lignes à pêcher,2,non,not a medical product,2,795416
airain,6,non,not a medical product,6,795416
airain non ouvré,4,non,not a medical product,4,795416
ajamis,281,non,not a medical product,207,795416
ajustements,37,non,not a medical product,36,795416
ajustements de femme,5,non,not a medical product,4,795416
ajustements de soie,2,non,not a medical product,1,795416
alambics,17,non,not a medical product,16,795416
alambics d'étain,17,non,not a medical product,7,795416
alambics de cuivre,2,non,not a medical product,1,795416
alambics de terre,1,non,not a medical product,1,795416
