source,nbr_occurences_source,orthographic,nbr_occurences_ortho,note
,4,[vide],4,
?,1,???,183,
??,1,???,183,
???,175,???,183,
[vide],1,,4,
**,1,???,183,
***,1,???,183,
3 evêchés,60,3 évêchés,65,
3 évéchés,5,3 évêchés,65,
4 villes anséatiques,108,Les 4 villes hanséatiques,566,
4 villes Anséatiques,48,Les 4 villes hanséatiques,566,
4 Villes Anséatiques,50,Les 4 villes hanséatiques,566,
Afrique,1,Afrique,1,
Alemagne Pologne,1,Allemagne-Pologne,462,
Alexandrette,32,Alexandrette,32,
Alger,1,Alger,1,
allemagne,284,Allemagne,2174,
Allemagne,1643,Allemagne,2174,
Allemagne et la Pologne,43,Allemagne-Pologne,462,
Allemagne et Lorraine,3,Allemagne-Lorraine,125,
Allemagne et Pologne,200,Allemagne-Pologne,462,
Allemagne et Pologne - par terre,1,Allemagne et Pologne - par terre,1,
Allemagne la Loraine et le pays de Liege,50,Allemagne-Lorraine-Pays de Liège,421,
Allemagne Lorraine et pays de Liège,307,Allemagne-Lorraine-Pays de Liège,421,
Allemagne Pologne,1,Allemagne-Pologne,462,
Allemagne-Pologne,1,Allemagne-Pologne,462,
"Allemagne, la Lorraine et le pays de Liège",2,Allemagne-Lorraine-Pays de Liège,421,
"Allemagne, Lorraine et le Païs",1,Allemagne-Lorraine-Pays de Liège,421,
"Allemagne, Lorraine et le Païs de liege",39,Allemagne-Lorraine-Pays de Liège,421,
"Allemagne, Lorraine et le païs de Liège",7,Allemagne-Lorraine-Pays de Liège,421,
"Allemagne, Lorraine et pais de Liege",1,Allemagne-Lorraine-Pays de Liège,421,
"Allemagne, Lorraine et Païs de Liege",1,Allemagne-Lorraine-Pays de Liège,421,
allemagneetpologne,35,Allemagne-Pologne,462,
Allemange,1,Allemagne,2174,
Alllemagne,1,Allemagne,2174,
allmagne,1,Allemagne,2174,
Allmagne-Pologne,1,Allemagne-Pologne,462,
Alsace,359,Alsace,359,
Alsace et 3 évéchés,3,Alsace et les 3 évêchés,3,
Alsace et Lorraine,3,Alsace-Lorraine,4,
Amérique,54,Amérique,64,
Amériques,1,Amériques,1,
Amiens,1,Amiens,1,
Angleterr,1,Angleterre,15161,
angleterre,951,Angleterre,15161,
Angleterre,12132,Angleterre,15161,
Angleterre en vertu de licences,1,Angleterre en vertu de licences,2,
Angleterre et Cologne,1,Angleterre et Cologne,1,
Angleterre et flotte anglaise,49,Angleterre et flotte anglaise,49,
Angleterre et ses colonies,1,Angleterre et ses colonies,1,
Angleterre et ses colonies de l'Inde,1,Angleterre et ses colonies de l'Inde,1,
Angleterre par bâtimens licenciés ou autre autorisation spéciale,1,Angleterre par bâtiments licenciés ou autre autorisation spéciale,1,
Angleterre y compris l'Ecosse et l'Irlande,1,Angleterre y compris l'Écosse et l'Irlande,1,
