quantity_unit,quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ortho
,,1,158886,159820
?,????,1,62,255
??,????,1,9,255
???,????,1,38,255
??? pièces,pièces,1,9,21287
????,????,1,146,255
???? an,???? an,1,1,1
???? aunes,???? aunes,1,3,4
???? Aunes,???? aunes,1,1,4
???? aunes ou livres,???? aunes ou livres,1,1,1
???? B,???? b,1,1,1
???? bann,???? bann,1,3,3
???? Bar,???? bar,1,1,1
???? boileaux,???? boileaux,1,1,1
???? boir X,???? boir x,1,2,2
???? boisses,???? boisses,1,1,1
???? boucoud,???? boucoud,1,1,1
???? boue(c)s,???? boue(c)s,1,2,2
???? boul,???? boul,1,1,1
???? bout s,???? bout s,1,9,9
???? bouteilles,???? bouteilles,1,1,1
???? caps,???? caps,1,1,1
???? cha,???? cha,1,1,1
???? charres,???? charres,1,1,1
???? cou,???? cou,1,1,1
???? de la bour.,???? de la bour.,1,2,2
???? grosses,???? grosses,1,2,2
???? LC dit peut être fausse valeur,???? lc dit peut être fausse valeur,1,1,1
???? livres,???? livres,1,2,2
???? livres x,???? livres x,1,1,1
???? lotes,???? lotes,1,1,1
???? m,???? m,1,2,2
???? malls,???? malls,1,1,1
???? maq s,???? maq s,1,1,1
???? mo,???? mo,1,1,1
???? mot,???? mot,1,2,2
???? mottes,???? mottes,1,1,1
???? p,???? p,1,2,2
???? paquets,???? paquets,1,1,1
???? pièces,???? pièces,1,2,2
???? po/ans,???? po/ans,1,1,1
???? quar,???? quar,1,1,1
???? Rien,???? rien,1,9,9
???? scdes,???? scdes,1,1,1
???? teinpettes,???? teinpettes,1,1,1
???? tonnage,???? tonnage,1,4,4
???? tonneaux,???? tonneaux,1,1,1
???? tonnes,???? tonnes,1,1,1
???? tours,???? tours,1,1,1
???? W,???? w,1,1,1
???? wades,???? wades,1,1,1
???? wagues,???? wagues,1,1,1
???? weltes,???? weltes,1,1,1
?ans,?ans,1,1,1
#,#,1,3,3
# Valeur,# valeur,0,0,0
1 pied,,1,1,159820
10 à 10 pieds,,1,1,159820
10 a 11 pieds,,1,2,159820
10 à 11 pieds,,1,7,159820
10 a 12 pieds,,1,1,159820
10 à 12 pieds,,1,5,159820
10 à 15 pieds,,1,2,159820
10 aunes ?,,1,1,159820
10 pieds,,1,18,159820
11 à 12 pieds,,1,2,159820
11 peids,,1,1,159820
11 pieds,,1,8,159820
12 à 13 pieds,,1,1,159820
12 à 15 pieds,,1,1,159820
12 à 16 pieds,,1,1,159820
12 fioles,,1,1,159820
12 flacons,,1,7,159820
12 pieds,,1,14,159820
13 à 11 pieds,,1,1,159820
13 a 14 pieds,,1,1,159820
13 à 14 pieds,,1,1,159820
13 à 18 pieds,,1,1,159820
13 pieds,,1,4,159820
14 à 15 pieds,,1,2,159820
14 à 16 pieds,,1,1,159820
14 à 18 pieds,,1,1,159820
14 pieds,,1,2,159820
15 à 16 pieds,,1,2,159820
15 à 18 pieds,,1,3,159820
15 à 20 pieds,,1,1,159820
15 flacons,,1,5,159820
15 pieds,,1,7,159820
16 à 23 pieds,,1,1,159820
16 pieds,,1,7,159820
17 a 20 pieds,,1,1,159820
17 à 20 pieds,,1,1,159820
17 pieds,,1,3,159820
18 à 20 pieds,,1,2,159820
18 pieds,,1,15,159820
20 à 24 pieds,,1,1,159820
20 à 25 pieds,,1,3,159820
20 à 30 pieds,,1,2,159820
20 pieds,,1,4,159820
21 a 22 pieds,,1,1,159820
21 pieds,,1,4,159820
22 à 24 pieds,,1,1,159820
22 pieds,,1,8,159820
23 pieds,,1,2,159820
24 à 25 pieds,,1,1,159820
24 à 29 pieds,,1,1,159820
24 pieds,,1,7,159820
25 à 26 pieds,,1,2,159820
25 a 28 pieds,,1,1,159820
25 à 30 pieds,,1,1,159820
25 à 40 pieds,,1,2,159820
25 ou 30 pieds,,1,1,159820
25 pieds,,1,9,159820
26 à 36 pieds,,1,1,159820
26 ou 27 pieds,,1,1,159820
26 pieds,,1,12,159820
27 a 29 pieds,,1,1,159820
27 à 29 pieds,,1,1,159820
27 pieds,,1,16,159820
28 a 29 pieds,,1,1,159820
28 à 30 pieds,,1,3,159820
28 à 32 pieds,,1,1,159820
28 pieds,,1,12,159820
29 à 32 pieds,,1,1,159820
3 a 4 pieds,,1,1,159820
3 à 4 pieds,,1,5,159820
3 peids,,1,1,159820
3 pieds,,1,1,159820
30 a 32 pieds,,1,2,159820
30 à 32 pieds,,1,1,159820
