filepath,nb_line,diff_nb_line,sources,source_types
sources/1792-both semester/AN_F12_252_et_F12_1843B_Exports_1792.csv,429,1,AN F12 252 et F12 1843B,1792-both semester
sources/1792-both semester/AN_F12_252_et_F12_1843B_Imports_1792.csv,306,307,AN F12 252 et F12 1843B,1792-both semester
sources/1792-first semester/AN_F12_252_Exports_1792.csv,1237,1,AN F12 252,1792-first semester
sources/1792-first semester/AN_F12_252_Imports_1792.csv,648,1,AN F12 252,1792-first semester
sources/Compagnie des Indes/BNF_MF_6431_Antilles_par_la_Compagnie_des_Indes_Imports.csv,92,1,BNF_MF_6431,Compagnie des Indes
sources/Compagnie des Indes/BNF_MF_6431_France_par_la_Compagnie_des_Indes_Imports.csv,368,1,BNF_MF_6431,Compagnie des Indes
sources/Local/AD17_41_ETP_270_9385_La_Rochelle_Imports_1718.csv,158,1,AD17 41 ETP 270/9385,Local
sources/Local/AD17_41_ETP_270_9386_La_Rochelle_Imports_1719.csv,210,1,AD17 41 ETP 270/9386,Local
sources/Local/AD17_41_ETP_270_9387_La_Rochelle_Imports_1720.csv,218,1,AD17 41 ETP 270/9387,Local
sources/Local/AD17_41_ETP_270_9388_La_Rochelle_Imports_1721.csv,223,1,AD17 41 ETP 270/9388,Local
sources/Local/AD17_41_ETP_270_9389_La_Rochelle_Imports_1722.csv,258,1,AD17 41 ETP 270/9389,Local
sources/Local/AD17_41_ETP_270_9390_La_Rochelle_Imports_1723.csv,247,1,AD17 41 ETP 270/9390,Local
sources/Local/AD17_41_ETP_270_9391_La_Rochelle_Imports_1724.csv,304,1,AD17 41 ETP 270/9391,Local
sources/Local/AD17_41_ETP_270_9392_La_Rochelle_Imports_1725.csv,274,1,AD17 41 ETP 270/9392,Local
sources/Local/AD17_41_ETP_270_9393_La_Rochelle_Imports_1726.csv,293,1,AD17 41 ETP 270/9393,Local
sources/Local/AD17_41_ETP_270_9394_La_Rochelle_Imports_1727.csv,294,1,AD17 41 ETP 270/9394,Local
sources/Local/AD17_41_ETP_270_9395_La_Rochelle_Imports_1728.csv,291,1,AD17 41 ETP 270/9395,Local
sources/Local/AD17_41_ETP_270_9396_La_Rochelle_Imports_1729.csv,280,1,AD17 41 ETP 270/9396,Local
sources/Local/AD17_41_ETP_270_9397_La_Rochelle_Imports_1730.csv,270,1,AD17 41 ETP 270/9397,Local
sources/Local/AD17_41_ETP_270_9398_La_Rochelle_Imports_1731.csv,302,1,AD17 41 ETP 270/9398,Local
sources/Local/AD17_41_ETP_270_9399_La_Rochelle_Imports_1732.csv,340,1,AD17 41 ETP 270/9399,Local
sources/Local/AD17_41_ETP_270_9400_La_Rochelle_Imports_1733.csv,317,1,AD17 41 ETP 270/9400,Local
sources/Local/AD17_41_ETP_270_9401_La_Rochelle_Imports_1734.csv,333,1,AD17 41 ETP 270/9401,Local
sources/Local/AD17_41_ETP_270_9402_La_Rochelle_Imports_1735.csv,300,1,AD17 41 ETP 270/9402,Local
sources/Local/AD17_41_ETP_270_9403_La_Rochelle_Imports_1736.csv,327,1,AD17 41 ETP 270/9403,Local
sources/Local/AD17_41_ETP_270_9404_La_Rochelle_Imports_1737.csv,322,1,AD17 41 ETP 270/9404,Local
sources/Local/AD17_41_ETP_270_9406_La_Rochelle_Imports_1738.csv,337,1,AD17 41 ETP 270/9406,Local
