simplification,nbr_occurences_simpl,obsolete,luxe_dans_SITC,nbr_occurences_luxe_dans_SITC
,847,non,,796571
???,3201,non,,796571
??? blanc,2,non,,796571
??? brun,2,non,,796571
??? d'Anjou et de Touraine,0,non,,796571
??? d'argent,1,non,,796571
??? d'une valeur moindre de deux mille francs chacun,413,non,,796571
??? de boutard,0,non,,796571
??? de fer,2,non,,796571
??? de morue,1,non,,796571
??? de nacre de perle,1,non,,796571
??? des ci-devant provinces d'Alsace,0,non,,796571
??? des ci-devant provinces de Bourgogne,1,non,,796571
??? des ci-devant provinces de Provence,2,non,,796571
??? des ci-devant provinces du Languedoc,1,non,,796571
??? diverses,4,non,,796571
??? fer,1,non,,796571
??? forts de fer,1,non,,796571
??? gras,1,non,,796571
??? particulièrement en chevaux,0,non,,796571
??? pieds,1,non,,796571
??? pruneaux,1,non,,796571
??? raisin sec,1,non,,796571
??? raisin secs,1,oui,,796571
???sse,1,non,,796571
?ufs,0,non,,796571
[non traité],67,oui,,796571
[vide],6248,non,,796571
à l'aventure,46,non,,796571
à son lest,4,oui,,796571
à vide,647,non,,796571
abassis,4,non,,796571
abats,2,non,,796571
abattis de morue,1,non,,796571
abricots,1,non,,796571
abricots confits,1,non,,796571
absinthe,19,non,,796571
acacia,5,non,,796571
acacia germanica,1,non,,796571
acacia vera,1,non,,796571
acajou,6,non,,796571
acétates d'étain,1,non,,796571
acétates de fer,3,non,,796571
acétates de plomb,299,non,,796571
acétates de plomb et autres,7,non,,796571
acétates de plomb sel de Saturne,2,oui,,796571
acétates de potasse et de soudes,2,non,,796571
acétates de sel d'étain,1,non,,796571
achia,7,non,,796571
acide arsénieux,8,non,,796571
acide benzoïque,1,non,,796571
acide benzoïque et phosphorique,2,non,,796571
acide borique,3,non,,796571
acide borique et benzoïque,2,non,,796571
acide citrique,2,non,,796571
acide citrique et muriatique et phosphorique,2,non,,796571
acide citrique et oxalique et tartrique,2,non,,796571
acide de potasse crème de tartre,5,non,,796571
acide de potasse lie de vin desséché et liquide,4,non,,796571
acide de potasse lie de vin desséchée,3,non,,796571
acide de potasse lie de vin liquide,2,non,,796571
acide de potasse tartre brut impur,2,non,,796571
acide muriatique,1,non,,796571
acide muriatique et nitrique et phosphorique,3,non,,796571
acide muriatique et nitro-muriatique,2,non,,796571
acide nitrique,4,non,,796571
acide oxalique,2,non,,796571
acide phosphorique,2,non,,796571
acide succinique,1,non,,796571
acide tartrique,2,non,,796571
acide vitriolique,4,non,,796571
acide vitriolique et huile de vitriol,109,non,,796571
acier,2641,non,,796571
acier battu forgé ou laminé,1,non,,796571
acier brun,1,non,,796571
acier brut,11,non,,796571
acier commun,1,non,,796571
acier en barres,9,non,,796571
acier en bottes,1,non,,796571
