pays,orthographic_normalization_class,note,nbr_occurences_source,nbr_occurences_ortho
"Angleterre, Ecosse et Irlande","Angleterre, Écosse et l'Irlande",,2,2
"Angleterre, en vertu de licences",Angleterre en vertu de licences,,343,444
Angletterre,Angleterre,,7,22115
Anlgeterre,Angleterre,,2,22115
Archypel,Archipel,,5,5
Asie,Asie,,79,79
Autriche,Autriche,,29,29
Barbarie,Barbarie,,278,308
Barbarie dans l'Ocean,Barbarie dans l'Océan,,4,4
Barbarie dans l'Ocean et des Iles françoises de l'amerique,Barbarie dans l'Océan et Îles françaises d'Amérique,,31,31
Barbaris,Barbarie,,2,308
bayonne,Bayonne,,64,379
Bayonne,Bayonne,,315,379
Bayonne et Dunkerque,Bayonne et Dunkerque,,2,2
Bayonne et Lorien,Bayonne et Lorient,,1,3
Bayonne et Lorient,Bayonne et Lorient,,1,3
Bayonne et Petites Isles,Bayonne et Petites Îles,,1,1
"Bayonne, Petites Isles, Dunkerque et Lorient","Bayonne, Dunkerque, Lorient et Petites Îles",,1,1
bayonneillisible,Bayonne et ?,,1,1
bayonnelorient,Bayonne et Lorient,,1,3
bayonnemarseille,Bayonne et Marseille,,3,3
Belgique,Belgique,,67,67
Besançon,Besançon,,2,2
Bilbao,Bilbao,,10,10
bouillon,Bouillon,,2,108
Bouillon,Bouillon,,106,108
Bourbon,Bourbon,,50,50
Bourbon et Caïenne,Bourbon-Cayenne,,1,1
Breme,Brême,,5,9
Bremen,Brême,,4,9
"Bremen, Lubeck, Norvège et villes anséatiques","Brême, Lubeck, Norvège et villes hanséatiques",,1,1
Brésil,Brésil,,30,30
Bruges,Bruges,,16,16
Cadix,Cadix,,6,6
Cadix et Bilbao,Bilbao et Cadix,,3,3
Candie,Candie,,5,5
Cannée et Candie,Cannée et Candie,,1,1
Cayenne,Cayenne,,11,11
Cayenne et Guyane,Cayenne-Guyane,,239,1065
Cayenne et Guyanne,Cayenne-Guyane,,826,1065
Chili,Chili,,15,15
Chine,Chine,,3,5
Chypres,Chypre,,5,5
Clermontois,Clermontois,,71,71
Colonie française de l'Amérique,Colonies françaises de l'Amérique,,239,239
Colonies,Colonies,,379,379
Colonies d'Amerique,Colonies d'Amérique,,111,111
Colonies d'Amérique et de l'Inde,Colonies d'Amérique et de l'Inde,,12,41
Colonies de l'Amérique et de l'Inde,Colonies d'Amérique et de l'Inde,,29,41
Colonies françaises,Colonies françaises,,363,1487
Colonies Françaises,Colonies françaises,,1124,1487
Colonies françaises ; au-delà du Cap,Colonies françaises au-delà du Cap,,2,4
Colonies françaises ; en-deça du Cap,Colonies françaises en-deça du Cap,,2,4
Colonies françaises (hors Guiane et Sénégal),Colonies françaises hors Guyane et Sénégal,,2,2
Colonies françaises (hors Sénégal et Caïenne),Colonies françaises hors Sénégal et Cayenne,,1,1
Colonies françaises au-delà du Cap,Colonies françaises au-delà du Cap,,2,4
Colonies françaises d'Amérique,Colonies françaises d'Amérique,,4,8
Colonies françaises de Bourbon,Colonie française de Bourbon,,2,2
Colonies Françaises de l'Amérique,Colonies françaises d'Amérique,,1,8
Colonies Françaises des deux Indes,Colonies françaises des deux Indes,,18,18
"Colonies francaises en Amérique,Asie et afrique","Colonies françaises en Amérique, Asie et Afrique",,131,257
"Colonies francaises en Asie,Afrique en Amérique","Colonies françaises en Amérique, Asie et Afrique",,126,257
Colonies françaises en-deça du Cap,Colonies françaises en-deça du Cap,,2,4
Colonies françaises et Amérique,Colonies françaises d'Amérique,,3,8
Colonies françaises et hollandaises,Colonies françaises-hollandaises,,2,20
Colonies Françaises et Hollandaises,Colonies françaises-hollandaises,,18,20
Colonies françaises et pays hors d'Europe,Colonies françaises et pays hors d'Europe,,1,1
Colonies françaises et Saint Domingue,Colonies françaises et Saint-Domingue,,1,1
Commerce de la Compagnie des Indes,Commerce de la Compagnie des Indes,,1,1
Comptoirs étrangers,Comptoirs étrangers,,1,1
Comptoirs français,Comptoirs français,,1,1
Comptoirs français et étrangers,Comptoirs français et étrangers,,1,1
Constantinople,Constantinople,,5,5
Corse,Corse,,123,123
Côtes d'Afrique,Côtes d'Afrique,,1,1
"Côtes occidentales d'Afrique, Senegal, Guinée","Côtes occidentales d'Afrique, Sénégal, Guinée",,34,34
Cuba et P.R.,Cube-Porto Rico,,20,20
d'Angleterre,Angleterre,,318,22115
D'Angleterre,Angleterre,,10,22115
d'Espagne,Espagne,,481,50992
D'Espagne,Espagne,,27,50992
d'Hollande,Hollande,,661,64937
D'hollande,Hollande,,159,64937
Danemarc,Danemark,,159,7564
Danemarck,Danemark,,226,7564
Danemarck et Norvege,Danemark-Norvège,,10,392
Danemarck et Norvège,Danemark-Norvège,,119,392
Danemarck et Norwège,Danemark-Norvège,,2,392
danemark,Danemark,,105,7564
Danemark,Danemark,,4848,7564
Danemark et Norvège,Danemark-Norvège,,104,392
danemarketnorvge,Danemark-Norvège,,151,392
Dannemarc,Danemark,,264,7564
Dannemarck,Danemark,,343,7564
Dannemarck et Norvège,Danemark-Norvège,,4,392
Dannemark,Danemark,,899,7564
Dannomarck,Danemark,,1,7564
Dannrmarc,Danemark,,8,7564
De Danemarck,Danemark,,17,7564
de Danemark,Danemark,,183,7564
De Danemark,Danemark,,34,7564
de Dannemark,Danemark,,18,7564
de Flandre,Danemark,,5,7564
de Hollande,Hollande,,715,64937
De Hollande,Hollande,,148,64937
"De l'Amérique, Isles Antilles ou Colonies françaises",Amérique (Antilles ou Colonies Françaises),,105,105
"De l'Europe, y compris le Levant et la Barbarie et les États-Unis d'Amérique","Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",,479,479
de la Flandre,Flandre,,6,13686
de la Suede,Suède,,23,7764
De la Suede,Suède,,17,7764
de la Suède,Suède,,102,7764
De Levant,Levant,,49,19059
de pêche étrangère,Pêche étrangère,,4,4
de pêche française,Pêche française,,5,5
de Portugal,Portugal,,103,10613
De Portugal,Portugal,,12,10613
de Russie,Russie,,149,4138
de Suède,Suède,,91,7764
Denmark,Danemark,,1,7564
des Etats unis de l'Amérique,États-Unis d'Amérique,,12,4935
Des Iles françoises de l'Amérique et de Terre-Neuve,Îles françaises de l'Amérique et de Terre-Neuve,,29,290
des Indes,Indes,,36,1763
Des Indes,Indes,,1,1763
des Indes orientales,Indes Orientales,,163,1485
Des Isles,Îles,,6,6864
des Isles fraçaises de l'Amerique,Îles françaises de l'Amérique,,4,28594
des Isles françaises de l'Amérique,Îles françaises de l'Amérique,,33,28594
des Isles francoises de l'Amérique,Îles françaises de l'Amérique,,9,28594
des Isles françoises de l'Amérique,Îles françaises de l'Amérique,,161,28594
Des Isles Françoises de l'Amérique & de Terreneuve,Îles françaises de l'Amérique et de Terre-Neuve,,25,290
Des Isles françoises de l'amerique et de terre neuve,Îles françaises de l'Amérique et de Terre-Neuve,,236,290
Destination inconnue,destination inconnue,,45,96
Destination Inconnue,destination inconnue,,28,96
Destinations inconnues,destination inconnue,,23,96
Deux-Siciles,Deux-Siciles,,37,37
Donnemarc,Danemark,,1,7564
Drem,???,,1,22
Drum,???,,1,22
du Nord,Nord,,240,18908
Du nord,Nord,,22,18908
Du Nord qui comprend les villes Anseatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,43,894
Du Nord qui comprend les villes Anséatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,42,894
Du nord qui comprend les villes hanséatiques et la moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,42,894
Du nord qui coprend les cilles anséattiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,,12,894
du Portugal,Portugal,,10,10613
dunkerque,Dunkerque,,549,722
Dunkerque,Dunkerque,,173,722
Dunkerque et Bayonne,Dunkerque et Bayonne,,1,1
Dunkerque et Petites Isles,Dunkerque et Petites Îles,,3,4
"Dunkerque, Petites Isles, Lorient, Marseille, Bayonne, Aslace","Dunkerque, Petites Îles, Lorient, Marseille, Bayonne, Alsace",,1,1
dunkerquebayonnemarseille,"Dunkerque, Bayonne et Marseille",,11,11
dunkerquelorientpetitesislesb,"Dunkerque, Lorient et Petites Îles",,1,1
dunkerquemarseille,Dunkerque et Marseille,,2,2
dunkerquepetitesisles,Dunkerque et Petites Îles,,1,4
Durval,???,,1,22
Egypte,Egypte,,25,25
emperend,Empereur,,16,629
empereur,Empereur,,1,629
Empereur,Empereur,,65,629
empire d'Aurtiche,Empire d'Autriche,,2,2006
empire d'Autriche,Empire d'Autriche,,4,2006
Empire d'autriche,Empire d'Autriche,,1,2006
Empire d'Autriche,Empire d'Autriche,,1997,2006
Empire de Portugal,Empire du Portugal,,15,15
Empire de Russie,Empire de Russie,,2035,2035
Empire de sardaigne,Empire de Sardaigne,,1,3
Empire de Sardaigne,Empire de Sardaigne,,2,3
Empire Ottoman,Empire Ottoman,,1480,1480
Empire ottoman et babbarie,Empire Ottoman et Barbarie,,4,2217
Empire ottoman et barbarie,Empire Ottoman et Barbarie,,204,2217
Empire ottoman et Barbarie,Empire Ottoman et Barbarie,,36,2217
Empire Ottoman et barbarie,Empire Ottoman et Barbarie,,61,2217
Empire Ottoman et Barbarie,Empire Ottoman et Barbarie,,1912,2217
Empire ottoman et toscane,Empire Ottoman et Toscane,,1,1
Empoire d'Autriche,Empire d'Autriche,,2,2006
Empreur,Empereur,,522,629
Ensperend,Empereur,,1,629
"Entre l'étranger et les ports francs de Bayonne, Saint Jean de Luz, Lorient, Dunkerque et Marseille","entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",,957,957
Entrepôt et port franc de Livourne,Entrepôt et port franc de Livourne,,234,234
Entrepôts,Entrepôt,,87,87
Epaves et Echouemens,Épaves et échouements,,30,56
Epaves et échouemens,Épaves et échouements,,24,56
Epaves et Echouements,Épaves et échouements,,2,56
Espage,Espagne,,3,50992
espagne,Espagne,,461,50992
Espagne,Espagne,,45554,50992
Espagne - par mer,Espagne par mer,,2,2
Espagne - par terre,Espagne par terre,,2,2
Espagne et Indes Occidentales,Espagne et Indes Occidentales,,87,87
Espagne et les Etats dépendants,Espagne et les état en dépendants,,151,482
Espagne et les Etats en dépendants,Espagne et les état en dépendants,,292,482
Espagne-Portugal,Espagne-Portugal,,1,1
"Espagne, Canaries et Indes Occidentales","Espagne, Canaries et Indes Occidentales",,1057,1778
"Espagne, Canaries et Indes Occidentalles","Espagne, Canaries et Indes Occidentales",,530,1778
"Espagne, les Canaries et les Indes Occidentales","Espagne, Canaries et Indes Occidentales",,191,1778
Espagnes,Espagne,,11,50992
Espange,Espagne,,2,50992
Etas de l'Allemagne,États de l'Allemagne,,8,6307
Etat de Barbarie,États de Barbarie,,143,143
Etat de l'amerique,États-Unis d'Amérique,,1,4935
Etat de l'empereur,États de l'Empereur,,9,3370
Etat de l'empreur,États de l'Empereur,,991,3370
Etat du roi de Sardaigne,États du roi de Sardaigne,,13,1527
Etat ecclesiastique,États ecclésiastiques,,1,435
Etat Ecclésiastique,États ecclésiastiques,,115,435
Etat ecclesiastiques,États ecclésiastiques,,1,435
Etat Ecclesiastiques,États ecclésiastiques,,2,435
Etat eclesiastique,États ecclésiastiques,,2,435
Etat eclésiastique,États ecclésiastiques,,2,435
Etat Eclésiastique,États ecclésiastiques,,56,435
Etat éclésiastique,États ecclésiastiques,,7,435
Etat Eclesiastiques,États ecclésiastiques,,4,435
Etat eclesiatique,États ecclésiastiques,,4,435
Etat elésiastique,États ecclésiastiques,,1,435
Etat estésiatique,États ecclésiastiques,,1,435
Etat unis d'Amerique,États-Unis d'Amérique,,1,4935
Etat Unis d'Amèrique,États-Unis d'Amérique,,2,4935
Etat unis de l'amerique,États-Unis d'Amérique,,1,4935
Etat Unis de l'Amerique,États-Unis d'Amérique,,3,4935
Etat-Unis,États-Unis,,2,493
Etat***,États ?,,17,17
Etats -Unis de l'Amérique,États-Unis d'Amérique,,30,4935
Etats barbares,Barbarie,,22,308
Etats d'Allemagne,États de l'Allemagne,,1372,6307
Etats de barbarie,Barbarie,,2,308
Etats de Barbarie,Barbarie,,2,308
etats de l empereur,États de l'Empereur,,1,3370
Etats de l'Allemagne,États de l'Allemagne,,4927,6307
etats de l'empereur,États de l'Empereur,,3,3370
Etats de l'empereur,États de l'Empereur,,213,3370
Etats de l'Empereur,États de l'Empereur,,189,3370
Etats de l'Empereur : Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,,306,461
Etats de l'empereur en Allemagne et en Flandre,États de l'Empereur : Allemagne et Flandre,,68,461
Etats de l'Empereur en Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,,52,461
Etats de l'empereur en Allemagne et Flandres,États de l'Empereur : Allemagne et Flandre,,1,461
Etats de l'Empereur en Allemagne et Flandres,États de l'Empereur : Allemagne et Flandre,,30,461
Etats de l'empereur et en Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,,2,461
Etats de l'empereur ou Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,,2,461
"États de l'Empereur, en Flandre et Allemagne - par mer",États de l'Empereur : Allemagne et Flandre – par mer,,2,2
"États de l'Empereur, en Flandre et Allemagne - par terre",États de l'Empereur : Allemagne et Flandre – par terre,,2,2
etats de l'empreur,États de l'Empereur,,19,3370
Etats de l'évêque de Rome et la république de Venise,États de l'évêque de Rome et la république de Venise,,52,52
Etats de l'Inde,États de l'Inde,,1,2
États de l'Inde,États de l'Inde,,1,2
Etats de Naples,État de Naples,,1,1
Etats de rome,États de Rome,,16,1184
Etats de Rome,États de Rome,,1168,1184
Etats des Barbarie,Barbarie,,2,308
Etats du roi,États du roi,,1,1
Etats du roi de la Sardaigne,États du roi de Sardaigne,,24,1527
Etats du roi de Prusse,États du roi de Prusse,,31,147
Etats du Roi de Prusse,États du roi de Prusse,,58,147
États du Roi de Prusse,États du roi de Prusse,,5,147
Etats du roi de sardaigne,États du roi de Sardaigne,,189,1527
Etats du roi de Sardaigne,États du roi de Sardaigne,,240,1527
Etats du Roi de Sardaigne,États du roi de Sardaigne,,265,1527
États du Roi de Sardaigne,États du roi de Sardaigne,,92,1527
États du Roi de Sardaigne - par mer,États du Roi de Sardaigne - par mer,,2,2
États du Roi de Sardaigne - par terre,États du Roi de Sardaigne - par terre,,2,2
Etats du roi de Suede,États du roi de Suède,,1,58
Etats du roi de Suède,États du roi de Suède,,3,58
Etats du Roy de Prusse,États du roi de Prusse,,53,147
Etats du roy de Sardaigne,États du roi de Sardaigne,,208,1527
Etats du Roy de Sardaigne,États du roi de Sardaigne,,496,1527
Etats du Roy de Suède,États du roi de Suède,,54,58
Etats Ecclesiastiques,États ecclésiastiques,,2,435
etats ecclésiastiques,États ecclésiastiques,,68,435
Etats ecclésiastiques,États ecclésiastiques,,60,435
Etats Ecclésiastiques,États ecclésiastiques,,6,435
Etats écclésiastiques,États ecclésiastiques,,1,435
Etats Eclésiastique,États ecclésiastiques,,1,435
Etats eclesiastiques,États ecclésiastiques,,48,435
Etats Eclesiastiques,États ecclésiastiques,,1,435
etats eclésiastiques,États ecclésiastiques,,38,435
Etats eclésiastiques,États ecclésiastiques,,1,435
Etats réunis de l'amérique,États-Unis d'Amérique,,3,4935
Etats romains,États romains,,17,64
Etats Romains,États romains,,47,64
Etats Sardes,États Sardes,,88,88
Etats unis,États-Unis,,84,493
Etats Unis,États-Unis,,188,493
Etats unis d'Amerique,États-Unis d'Amérique,,143,4935
Etats Unis d'Amérique,États-Unis d'Amérique,,4,4935
Etats unis d'amériques,États-Unis d'Amérique,,47,4935
Etats unis de l'amerique,États-Unis d'Amérique,,26,4935
Etats Unis de l'amerique,États-Unis d'Amérique,,28,4935
Etats Unis de l'Amerique,États-Unis d'Amérique,,51,4935
Etats unis de l'amérique,États-Unis d'Amérique,,74,4935
Etats unis de l'Amérique,États-Unis d'Amérique,,24,4935
Etats Unis de l'amérique,États-Unis d'Amérique,,128,4935
Etats Unis de l'Amérique,États-Unis d'Amérique,,123,4935
Etats-Unis,États-Unis,,219,493
Etats-Unis d'amerique,États-Unis d'Amérique,,1,4935
Etats-Unis d'Amerique,États-Unis d'Amérique,,11,4935
Etats-unis d'Amérique,États-Unis d'Amérique,,4,4935
Etats-Unis d'amérique,États-Unis d'Amérique,,46,4935
Etats-Unis d'Amérique,États-Unis d'Amérique,,2871,4935
États-Unis d'Amérique,États-Unis d'Amérique,,16,4935
Etats-Unis de l'Amérique,États-Unis d'Amérique,,1149,4935
Etats-Unis; Colonies Anglaises,États-Unis ; colonies anglaises,,14,14
etatsdelempereur,États de l'Empereur,,1943,3370
etatsecclesiastiques,États ecclésiastiques,,13,435
etatsunisdamrique,États-Unis d'Amérique,,126,4935
eua,États-Unis d'Amérique,,10,4935
europe,Europe,,1,15
Europe,Europe,,13,15
Europe et Piémont,Europe et Piémont,,1,1
Evechés,Évêchés,,408,547
Evêchés,Évêchés,,139,547
flan,Flandre,,2,13686
Flan,Flandre,,1,13686
flanc,Flandre,,1,13686
flandre,Flandre,,133,13686
Flandre,Flandre,,12300,13686
Flandre autrichienne,Flandre Autrichienne,,1928,3390
Flandre Autrichienne,Flandre Autrichienne,,1351,3390
Flandre et Etats de l'empereur,États de l'Empereur et Flandre,,2,2
Flandre Imperial,Flandre impériale,,1,572
Flandre imperiale,Flandre impériale,,32,572
Flandre Imperiale,Flandre impériale,,1,572
Flandre impériale,Flandre impériale,,24,572
Flandre Impériale,Flandre impériale,,93,572
Flandre imperialle,Flandre impériale,,4,572
Flandre Imperialle,Flandre impériale,,156,572
Flandre Impérialle,Flandre impériale,,94,572
Flandre Imperiallle,Flandre impériale,,54,572
Flandres,Flandre,,1183,13686
France,France,,4,16
france_,France,,2,16
Furde,Flandre,,2,13686
gen,Gênes,,1,13130
Gen7ve,Genève,,1,2944
Gène,Gênes,,9,13130
genes,Gênes,,73,13130
Genes,Gênes,,9000,13130
GENES,Gênes,,1,13130
Génes,Gênes,,1341,13130
Génés,Gênes,,8,13130
gènes,Gênes,,21,13130
Gènes,Gênes,,1906,13130
Gênes,Gênes,,544,13130
"Genes, Milanes, Toscane, Lucques","Gênes, Milan, Toscane et Lucques",,4,4
Genese,Genève,,62,2944
Genèse,Genève,,4,2944
geneve,Genève,,109,2944
Geneve,Genève,,1767,2944
Genéve,Genève,,3,2944
Genève,Genève,,936,2944
Génêve,Genève,,15,2944
Gèneve,Genève,,1,2944
Geneve -Suisse,Genève et Suisse,,1,2350
Genève et Genève et la Genève et la Suisse,Genève et Suisse,,5,2350
Geneve et la Suisse,Genève et Suisse,,214,2350
Genève et la Suisse,Genève et Suisse,,62,2350
gennes,Gênes,,3,13130
Gennes,Gênes,,14,13130
Genses,Gênes,,1,13130
genveetsuisse,Genève et Suisse,,6,2350
Gex,Gex,,13,13
Gherliem,???,,1,22
Gibraltar,Gibraltar,,1,1
gnes,Gênes,,41,13130
Göteborg,Gothembourg,,10,10
Grand Duché de Toscane,Grand-Duché de Toscane,,17,288
Grand-Duché de Toscane,Grand-Duché de Toscane,,271,288
Grèce,Grèce,,13,13
Grenerey et Drumptom,Guernesey et Dumbarton,,1,1
Grenezay,Guernesey,,1,2
Gressejay,Guernesey,,1,2
Guadeloupe,Guadeloupe,,46,2190
Guatemala,Guatemala,,1,2
Guatémala,Guatemala,,1,2
Guiane et Sénégal,Guyane et Sénégal,,2,2
Guiane française,Guyane française,,2,2
guinee,Guinée,,54,7737
Guinee,Guinée,,125,7737
guinée,Guinée,,16,7737
Guinée,Guinée,,6291,7737
Guinées,Guinée,,1,7737
Guinnée,Guinée,,2,7737
Guyane anglaise,Guyane anglaise,,4,4
Guynée,Guinée,,1,7737
Guynnée,Guinée,,49,7737
Haïti,Haïti,,10,10
Hambourg,Hambourg,,112,112
"Hambourg, Hollande et Livourne","Hambourg, Hollande et Livourne",,1,1
Holande,Hollande,,1294,64937
Hollade,Hollande,,1,64937
hollande,Hollande,,1060,64937
Hollande,Hollande,,57138,64937
Holllande,Hollande,,1,64937
Ile française des Amériques et du Canada,Îles françaises de l'Amérique et du Canada,,1314,1412
Ile Maurice,Île Maurice,,22,22
Iles,Îles,,12,6864
Iles Fraçaise de l'amerique,Îles françaises de l'Amérique,,20,28594
Iles Française de l'amerique,Îles françaises de l'Amérique,,87,28594
Iles Française de l'Amerique,Îles françaises de l'Amérique,,20,28594
Iles française de l'Amérique,Îles françaises de l'Amérique,,24,28594
iles françaises de l'Amerique,Îles françaises de l'Amérique,,14,28594
Iles françaises de l'Amerique,Îles françaises de l'Amérique,,1,28594
Iles Françaises de l'amerique,Îles françaises de l'Amérique,,21,28594
Iles françaises de l'amérique,Îles françaises de l'Amérique,,199,28594
Iles françaises de l'Amérique,Îles françaises de l'Amérique,,63,28594
Iles Françaises de l'amérique,Îles françaises de l'Amérique,,18,28594
Iles Françaises de l'Amérique,Îles françaises de l'Amérique,,1,28594
Iles françaises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,,39,1412
Iles françaises de lamerique,Îles françaises de l'Amérique,,15,28594
Iles françoises de l'Amerique,Îles françaises de l'Amérique,,15,28594
Iles françoises de l'amériques,Îles françaises de l'Amérique,,1,28594
ilesamer,Îles de l'Amérique,,132,132
Inde,Indes,,72,1763
Inde ; Comptoir étranger,Comptoirs étrangers de l'Inde,,1,17
Inde ; Comptoirs étrangers,Comptoirs étrangers de l'Inde,,1,17
Inde ; de Bourbon,Inde Bourbon,,1,1
Inde ; des comptoirs étrangers,Comptoirs étrangers de l'Inde,,14,17
Inde ; des établissements français,Établissements français de l'Inde,,15,15
Inde ; Établissements étrangers,Comptoirs étrangers de l'Inde,,1,17
Inde et Amérique,Inde et Amérique,,1,1
Inde et Bourbon,Inde et Bourbon,,3,3
Inde et Colonies françaises,Inde et colonies françaises,,1,1
"Inde, Colonies françaises et Amérique","Inde, colonies françaises et Amérique",,1,1
indes,Indes,,75,1763
Indes,Indes,,1299,1763
Indes anglaises,Indes anglaises,,16,16
Indes françaises,Indes françaises,,6,6
Indes françaises de l'Amérique,Îles françaises de l'Amérique,,1,28594
Indes hollandaises,Indes hollandaises,,6,6
Indes occidentales,Indes Occidentales,,8,39
Indes Occidentales,Indes Occidentales,,31,39
Indes orientales,Indes Orientales,,509,1485
Indes Orientales,Indes Orientales,,410,1485
Irlande,Irlande,,62,62
Irlande et Angleterre,Angleterre et Irlande,,1,1
Isle,Îles,,1,6864
Isle de France et de Bourbon,Îles de France et de Bourbon,,161,161
Isle francoises de l'amerique,Îles françaises de l'Amérique,,1,28594
Isle françoises de l'Amérique,Îles françaises de l'Amérique,,60,28594
isles,Îles,,48,6864
Isles,Îles,,6797,6864
Isles de française d'Amérique,Îles françaises de l'Amérique,,27,28594
"Isles de France, de la Réunion et Mozambique","Îles de France, de la Réunion et Mozambique",,2,2
Isles de françois d'Amérique,Îles françaises de l'Amérique,,28,28594
Isles de francoises de l'amerique,Îles françaises de l'Amérique,,412,28594
Isles de l'Amérique et de Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,18,536
Isles de Rhé,Île de Ré,,1,1
Isles et Colonies françaises,Îles et colonies françaises,,16,16
Isles et Guinee,Îles et Guinée,,2,2
Isles fraçoises de l'amerique,Îles françaises de l'Amérique,,41,28594
Isles françaises,Îles françaises,,93,1037
Isles Françaises,Îles françaises,,1,1037
Isles francaises de l'amerique,Îles françaises de l'Amérique,,734,28594
Isles Francaises de l'amérique,Îles françaises de l'Amérique,,209,28594
Isles françaises de l'amerique,Îles françaises de l'Amérique,,722,28594
Isles françaises de l'Amerique,Îles françaises de l'Amérique,,330,28594
Isles françaises de l'amérique,Îles françaises de l'Amérique,,233,28594
Isles françaises de l'Amérique,Îles françaises de l'Amérique,,216,28594
Isles Françaises de l'Amérique,Îles françaises de l'Amérique,,259,28594
Isles françaises de l'Amérique et pour Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,,93,536
Isles françaises de l'ameriques,Îles françaises de l'Amérique,,675,28594
Isles francaises de Lamerique,Îles françaises de l'Amérique,,117,28594
Isles françaises et de l'amérique,Îles françaises de l'Amérique,,185,28594
Isles françois de l'Amérique,Îles françaises de l'Amérique,,152,28594
Isles françoise d'amérique,Îles françaises de l'Amérique,,22,28594
Isles françoise de l' Amerique,Îles françaises de l'Amérique,,1369,28594
Isles francoise de l'amerique,Îles françaises de l'Amérique,,1,28594
Isles françoise de l'amérique,Îles françaises de l'Amérique,,17,28594
Isles françoises,Îles françaises,,265,1037
Isles Françoises,Îles françaises,,30,1037
Isles françoises d'Amerique,Îles françaises de l'Amérique,,16,28594
Isles françoises d'amérique,Îles françaises de l'Amérique,,33,28594
Isles françoises de l'Amarique,Îles françaises de l'Amérique,,37,28594
Isles francoises de l'amerique,Îles françaises de l'Amérique,,408,28594
Isles francoises de l'Amerique,Îles françaises de l'Amérique,,204,28594
Isles francoises de l'amérique,Îles françaises de l'Amérique,,186,28594
isles françoises de l'amerique,Îles françaises de l'Amérique,,1,28594
Isles françoises de l'amerique,Îles françaises de l'Amérique,,3645,28594
Isles françoises de l'Amerique,Îles françaises de l'Amérique,,1567,28594
