exportsimports,pays_grouping,direction,marchandises_simplification,quantity_unit_ortho,quantity_unit_ajustees,u_conv,q_conv,remarques
Imports,Hollande,Bordeaux,boulettes de marbre,baril de 3,,,,Aucune information trouvée
Exports,Colonies françaises,Nantes,cuisses d'oie,barillets,,,,Aucune information trouvée
Imports,Hollande,Nantes,esturgeon,barillets,barils,kg,18.356249625,"Savary page 995 : les esturgeons sont conservés dans de petits barils de 25 à 50 livres pesant (on prend ici 37,5 livres)"
Imports,Angleterre,Bordeaux,farine,barillets,,,,"Doursther page 60 : 1 baril de farine = 88,9kg mais ici c’est un barillet"
Exports,Colonies françaises,Bayonne,noir de fumée,barillets,,,,Aucune information trouvée
Imports,Hollande,,Inde fine,barils,,,,Aucune information trouvée
Imports,Nord,Nantes,acier,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,aiguilles,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,aiguilles à voile,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,ains à pêcher,barils,,,,Aucune information trouvée
Imports,Nord,Rouen,alun,barils,,,,Aucune information trouvée
Imports,Espagne,Rennes,amandes,barils,,,,Aucune information trouvée
Imports,Espagne,Rennes,amandes cassée,barils,,,,Aucune information trouvée
Imports,Hollande,La Rochelle,amidon,barils,,,,Aucune information trouvée
Imports,Italie,Marseille,anchois,barils,,,,Aucune information trouvée
Exports,Angleterre,Marseille,anchois mariné et salé,barils,,,,Aucune information trouvée
Imports,Espagne,,anchois salé et mariné,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Bordeaux,andouilles,barils,,,,Aucune information trouvée
Imports,Hollande,Nantes,anspects,barils,,,,Aucune information trouvée
Exports,Afrique,,armes à feu,barils,,,,Aucune information trouvée
Exports,Colonies françaises,La Rochelle,artichauts,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Bordeaux,artichauts confit,barils,,,,Aucune information trouvée
Exports,Colonies françaises,La Rochelle,artichauts mariné,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,azur,barils,,,,Aucune information trouvée
Imports,Angleterre,La Rochelle,bailliarge,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,baleine coupée,barils,,,,Aucune information trouvée
Imports,Nord,Rouen,barils de fer-blanc et de 450 feuilles,barils,,,,Aucune information trouvée
Imports,Nord,Rouen,barils de fer-blanc et de 600 feuilles,barils,,,,Aucune information trouvée
Imports,Nord,Rouen,barres de fer,barils,,,,Aucune information trouvée
Exports,Espagne,Marseille,bas de soie,barils,,,,Aucune information trouvée
Imports,Nord,La Rochelle,beurre,barils,,,,Aucune information trouvée
Imports,Angleterre,La Rochelle,beurre salé,barils,barils,kg,101.6,Doursther page 60
Imports,Hollande,La Rochelle,biscuit,barils,,,,Aucune information trouvée
Imports,Hollande,Bordeaux,biscuit de mer,barils,,,,Aucune information trouvée
Exports,Espagne,Amiens,bière,barils,,,,Aucune information trouvée
Imports,Hollande,La Rochelle,blanc simple,barils,,,,Aucune information trouvée
Imports,Nord,La Rochelle,bouteilles de marbre,barils,,,,Aucune information trouvée
Exports,Angleterre,Rennes,brai,barils,,,,Aucune information trouvée
Imports,Hollande,,brai de goudron,barils,,,,Aucune information trouvée
Imports,Nord,La Rochelle,brai gras,barils,,,,Aucune information trouvée
Imports,Nord,La Rochelle,brai gros,barils,,,,Aucune information trouvée
Imports,Nord,Nantes,brai sec,barils,,,,Aucune information trouvée
Exports,Espagne,Bayonne,bœuf,barils,,,,Aucune information trouvée
Exports,Colonies françaises,La Rochelle,bœuf d'Irlande,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Rennes,bœuf en daube,barils,,,,Aucune information trouvée
Imports,,,bœuf et langue salée,barils,,,,Aucune information trouvée
Imports,Hollande,Rennes,bœuf fumé,barils,,,,Aucune information trouvée
Exports,Colonies françaises,La Rochelle,bœuf salé,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Nantes,bœuf salé d'Irlande,barils,,,,Aucune information trouvée
Exports,Colonies françaises,Nantes,bœuf salé du pays,barils,,,,Aucune information trouvée
Exports,Colonies françaises,,bœuf à l'écarlate,barils,,,,Aucune information trouvée
Imports,Nord,,cabillaud,barils,,,,Aucune information trouvée
Imports,Nord,Nantes,carpes de stockfish,barils,,,,Aucune information trouvée
Exports,Nord,Rouen,cartes marines,barils,,,,Aucune information trouvée
Imports,Hollande,Nantes,cauris,barils,,,,Aucune information trouvée
Imports,Nord,,cendre,barils,barils,litres,219.85,Doursther page 549
