quantity_unit,quantity_unit_orthographe,quantity_unit_ajustees,u_conv,q_conv,remarque_unit,incertitude_unit,source_hambourg,missing,need_marchandises,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ajustees
?,????,????,,,,,,,,1,52,283
??,????,????,,,,,,,,1,1,283
???,,,,,,,,,,1,30,230617
??? pièces,,,,,,,,,,1,9,230617
????,????,????,,,,1,0,,0,1,148,283
???? an,???? an,????,,,,1,0,,0,1,1,283
???? aunes,???? aunes,????,,,,1,0,,0,1,3,283
???? Aunes,???? aunes,????,,,,1,0,,0,1,1,283
???? aunes ou livres,???? aunes ou livres,????,,,,1,0,,0,1,1,283
???? B,???? b,????,,,,1,0,,0,1,1,283
???? bann,???? bann,????,,,,1,0,,0,1,3,283
???? Bar,???? bar,????,,,,1,0,,0,1,1,283
???? boileaux,???? boileaux,????,,,,1,0,,0,1,1,283
???? boir X,???? boir x,????,,,,1,0,,0,1,2,283
???? boisses,???? boisses,????,,,,1,0,,0,1,1,283
???? boucoud,???? boucoud,????,,,,1,0,,0,1,1,283
???? boue(c)s,???? boue(c)s,????,,,,1,0,,0,1,2,283
???? boul,???? boul,????,,,,1,0,,0,1,1,283
???? bout s,???? bout s,????,,,,1,0,,0,1,12,283
???? bouteilles,???? bouteilles,????,,,,1,0,,0,1,1,283
???? caps,???? caps,????,,,,1,0,,0,1,1,283
???? cha,???? cha,????,,,,1,0,,0,1,1,283
???? charres,???? charres,????,,,,1,0,,0,1,1,283
???? cou,???? cou,????,,,,1,0,,0,1,1,283
???? de la bour.,???? de la bour.,????,,,,1,0,,0,1,2,283
???? grosses,???? grosses,????,,,,1,0,,0,1,2,283
???? LC dit peut être fausse valeur,???? lc dit peut être fausse valeur,????,,,,1,0,,0,1,1,283
???? livres,???? livres,????,,,,1,0,,0,1,2,283
???? livres x,???? livres x,????,,,,1,0,,0,1,1,283
???? lotes,???? lotes,????,,,,1,0,,0,1,1,283
???? m,???? m,????,,,,1,0,,0,1,2,283
???? malls,???? malls,????,,,,1,0,,0,1,1,283
???? maq s,???? maq s,????,,,,1,0,,0,1,1,283
???? mo,???? mo,????,,,,1,0,,0,1,1,283
???? mot,???? mot,????,,,,1,0,,0,1,2,283
???? mottes,???? mottes,????,,,,1,0,,0,1,1,283
???? p,???? p,????,,,,1,0,,0,1,2,283
???? paquets,???? paquets,????,,,,1,0,,0,1,1,283
???? pièces,???? pièces,????,,,,1,0,,0,1,2,283
???? po/ans,???? po/ans,????,,,,1,0,,0,1,1,283
???? quar,???? quar,????,,,,1,0,,0,1,1,283
???? Rien,???? rien,????,,,,1,0,,0,1,9,283
???? scdes,???? scdes,????,,,,1,0,,0,1,1,283
???? teinpettes,???? teinpettes,????,,,,1,0,,0,1,1,283
