marchandises,marchandises_norm_ortho,mériteplusdetravail
?,???,
? ; blanc,??? blanc,
? ; brun,??? brun,
? ; diverses,??? diverses,
??,???,
???,???,
??? Ferre en carte,???,
...caille de Tortue,écaille de tortue,
...copes,écope,
...gouttoir à Fondre,égouttoirs à fondre,
...Licanes,licanias,
...pars,espars,
...pars de Sapin,espars de sapin,
...parts,espars,
...pice,épice,
...pice de Curons,épice de Curons,
...pice Douce,épice douce,
...tain,étain,
...tain en bloc,étain en bloc,
...tain Ouvre,étain ouvré,
...tain vieux,étain vieux,
...tains vieux,étain vieux,
...tamine,étamine,
...toupe,étoupes,
"//////Betes de somme, principalement en mules et mulets",bêtes de somme principalement en mules et mulets,
"//////Betes,principalement en mules et mulets",bêtes principalement en mules et mulets,
//////Passementerie,passementerie,
///Articles réunis///D'une valeur moindre de 2000 fr chacun,articles réunis d'une valeur moindre de 2000 francs chacun,
///Articles réunis///D'une valeur moindre de 2000 francs chacun,articles réunis d'une valeur moindre de 2000 francs chacun,
///Betes de somme///Anes,bêtes de somme ânes,
///Bêtes de Somme///Anes,bêtes de somme ânes,
///Betes de somme///Chevaux,bêtes de somme chevaux,
///Bêtes de Somme///Chevaux,bêtes de somme chevaux,
///Betes de somme///Cheveaux,bêtes de somme chevaux,
"///Bêtes de Somme///Mules, mulets et chevaux",bêtes de somme mules mulets et chevaux,
///Betes de somme///Mulets,bêtes de somme mulets,
///Bêtes de Somme///Mulets,bêtes de somme mulets,
///Drogues diverses///Drogues diverses réunies,drogues diverses drogues diverses réunies,
///Drogues diverses///Drogues réunies,drogues diverses drogues réunies,
///Drogues Diverses///Drogues réunies,drogues diverses drogues réunies,
///Drogues diverses///Gommes diverses,drogues diverses gomme diverse,
///Drogues Diverses///Gommes diverses,drogues diverses gommes diverses,
///Drogues diverses///Huile et essence de térébenthine,drogues diverses huile et essence de térébenthine,
///Drogues diverses///Huile et essence de Térébenthine,drogues diverses huile et essence de térébenthine,
///Drogues diverses///Sels chimiques,drogues diverses sel chimique,
///Drogues Diverses///Sels chimiques,drogues diverses sel chimique,
///Drogues médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,
///Drogues Médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,
///Drogues médicinales///Drogues réunies,drogues médicinales drogues réunies,
///Drogues Médicinales///Drogues réunies,drogues médicinales drogues réunies,
///Drogues médicinales///Ipécacuanha,drogues médicinales ipécacuanha,
///Drogues Médicinales///Ipécacuanha,drogues médicinales ipécacuanha,
///Drogues médicinales///Jus de réglisse,drogues médicinales jus de réglisse,
///Drogues Médicinales///Jus de réglisse,drogues médicinales jus de réglisse,
///Drogues médicinales///Manne,drogues médicinales manne,
///Drogues Médicinales///Manne,drogues médicinales manne,
///Drogues médicinales///Quinquina,drogues médicinales quinquina,
///Drogues Médicinales///Quinquina,drogues médicinales quinquina,
///Drogues médicinales///Safran,drogues médicinales safran,
///Drogues Médicinales///Safran,drogues médicinales safran,
///Drogues médicinales///Salsepareille,drogues médicinales salsepareille,
///Drogues Médicinales///Salsepareille,drogues médicinales salsepareille,
///Drogues médicinales///Séné,drogues médicinales séné,
///Drogues Médicinales///Séné,drogues médicinales séné,
///Drogues midicinales///Drogues réunies,drogues médicinales drogues réunies,
///Drogues midicinales///Ipécacuanha,drogues médicinales ipécacuanha,
///Drogues midicinales///Jus de réglisse,drogues médicinales jus de réglisse,
///Drogues midicinales///Manne,drogues médicinales manne,
///Drogues midicinales///Quinquina,drogues médicinales quinquina,
///Drogues midicinales///Safran,drogues médicinales safran,
///Drogues midicinales///Salsepareille,drogues médicinales salsepareille,
///Drogues midicinales///Sené,drogues médicinales sené,
///Industrie Etrangère///Articles réunis,industrie étrangère articles réunis,
///Industrie étrangère///Articles réunis,industrie étrangère articles réunis,
///Industrie Etrangère///Bouchons de liège,industrie étrangère bouchons de liège,
///Industrie étrangère///Bouchons de liége,industrie étrangère bouchons de liège,
///Industrie étrangère///Cauris,industrie étrangère cauris,
///Industrie étrangère///Colle de toute sorte,industrie étrangère colle de toute sorte,
///Industrie Etrangère///Colles de toute sorte,industrie étrangère colle de toute sorte,
///Industrie étrangère///Colles de toute sorte,industrie étrangère colle de toute sorte,
///Industrie Etrangère///Faience et poterie,industrie étrangère faïence et poterie,
///Industrie étrangère///Faience et poterie,industrie étrangère faïence et poterie,
///Industrie Etrangère///Habillement et lingerie,industrie étrangère habillement et lingerie,
///Industrie étrangère///Habillement et lingerie,industrie étrangère habillement et lingerie,
///Industrie étrangère///Horlogerie,industrie étrangère horlogerie,
///Industrie Etrangère///Horlogeries,industrie étrangère horlogerie,
///Industrie Etrangère///Librairie,industrie étrangère librairie,
///Industrie étrangère///Librairie,industrie étrangère librairie,
///Industrie Etrangère///Marbres,industrie étrangère marbre,
///Industrie étrangère///Marbres,industrie étrangère marbre,
///Industrie Etrangère///Merceries,industrie étrangère mercerie,
///Industrie étrangère///Merceries,industrie étrangère mercerie,
///Industrie Etrangère///Meubles et miroirs,industrie étrangère meubles et miroirs,
///Industrie étrangère///Meubles et miroirs,industrie étrangère meubles et miroirs,
///Industrie Etrangère///Ouvrages de jonc,industrie étrangère ouvrages de jonc,
///Industrie étrangère///Ouvrages de jonc,industrie étrangère ouvrages de jonc,
///Industrie Etrangère///Ouvrages divers,industrie étrangère ouvrages divers,
///Industrie étrangère///Ouvrages divers,industrie étrangère ouvrages divers,
///Industrie Etrangère///Peaux et pelleteries,industrie étrangère peaux et pelleterie,
///Industrie étrangère///Peaux et pelleteries,industrie étrangère peaux et pelleterie,
///Industrie Etrangère///Plumes à écrire,industrie étrangère plumes à écrire,
///Industrie étrangère///Plumes à écrire,industrie étrangère plumes à écrire,
///Industrie Etrangère///Plumes d'autruche,industrie étrangère plumes d'autruche,
///Industrie étrangère///Plumes d'Autruche,industrie étrangère plumes d'autruche,
