simplification,product_simplification,product_revolutionempire,export_import,customs_region,partner_grouping,metric,conv_simplification_to_metric,remarks_unit
????,orfèvrerie,Argenterie et orfèvrerie,Exports,Bordeaux,Espagne,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Allemagne,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Angleterre,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Espagne,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,États-Unis d'Amérique,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Flandre et autres états de l'Empereur,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Hollande,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Italie,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Levant et Barbarie,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Nord,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,,Suisse,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Exports,Valenciennes,Flandre et autres états de l'Empereur,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Imports,,Angleterre,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Imports,,Flandre et autres états de l'Empereur,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Imports,,Hollande,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Imports,,Italie,,,
????,vaisselle d'argent,Argenterie et orfèvrerie,Imports,,Suisse,,,
????,fusils,"Armes, munitions, poudre et pierres à fusil",Imports,Rennes,Hollande,,,
????,beurre,Beurre,Exports,La Rochelle,Afrique,,,
????,bière,"Bière, cidre et vinaigre",Imports,Lorient,France,,,
????,bière,"Bière, cidre et vinaigre",Imports,Lorient,Hollande,,,
????,bière,"Bière, cidre et vinaigre",Imports,Lorient,Nord,,,
????,cidre,"Bière, cidre et vinaigre",Imports,,Flandre et autres états de l'Empereur,,,
????,drague de bière,"Bière, cidre et vinaigre",Exports,Valenciennes,Flandre et autres états de l'Empereur,,,
????,vinaigre,"Bière, cidre et vinaigre",Imports,Bayonne,Espagne,,,
????,vinaigre,"Bière, cidre et vinaigre",Imports,,Espagne,,,
????,bijouterie,Bijouterie et pierres fines,Exports,La Rochelle,Amériques,,,
????,pierres éclatantes et fausses,Bijouterie et pierres fines,Imports,,Suisse,,,
????,grains blé,Blé et autres grains comestibles,Imports,,Levant et Barbarie,,,
????,grains froment,Blé et autres grains comestibles,Imports,,Nord,,,
????,bois d'acajou,Bois divers hors combustible,Exports,,Hollande,,,
????,bois d'ébène,Bois divers hors combustible,Imports,,Asie,,,
????,bois d'ormeau,Bois divers hors combustible,Exports,Marseille,France,,,
????,bois de chêne,Bois divers hors combustible,Exports,Marseille,France,,,
????,bois osier,Bois divers hors combustible,Exports,Nantes,Afrique,,,
????,bois osier,Bois divers hors combustible,Exports,Nantes,Amériques,,,
????,bois pour construction,Bois divers hors combustible,Imports,Rennes,Nord,,,
????,bois rouge,Bois divers hors combustible,Imports,,Asie,,,
????,bois,Bois divers hors combustible,Imports,,Nord,,,
????,bonnets de laine,Bonneterie hors soie,Exports,Amiens,Portugal,,,
????,liège en bouchons,Bouchons principalement en liège,Exports,,Allemagne,,,
????,liège en bouchons,Bouchons principalement en liège,Exports,,Espagne,,,
????,cendre à fumer terre,Cendres diverses,Exports,,Flandre et autres états de l'Empereur,,,
????,cendre,Cendres diverses,Exports,Flandre,Flandre et autres états de l'Empereur,,,
????,bœuf salé,Chairs et œufs,Exports,,Asie,,,
????,mouchoirs de coton et de fil,Châles et mouchoirs hors soie,Exports,Valenciennes,Flandre et autres états de l'Empereur,,,
????,mouchoirs de fil,Châles et mouchoirs hors soie,Exports,Rouen,Portugal,,,
????,chevaux,Chevaux et bêtes de somme,Exports,Lyon,Suisse,,,
????,chevaux,Chevaux et bêtes de somme,Imports,Lyon,Suisse,,,
????,cire jaune,Cire,Exports,Flandre,France,,,
????,bois pour brûler d'orme,Combustibles dont charbons et bois,Exports,Flandre,France,,,
????,bois pour brûler en ???,Combustibles dont charbons et bois,Exports,Flandre,France,,,
????,bois pour brûler,Combustibles dont charbons et bois,Exports,,Allemagne,,,
????,bois pour brûler,Combustibles dont charbons et bois,Exports,,Asie,,,
????,charbon de bois,Combustibles dont charbons et bois,Exports,,Allemagne,,,
????,charbon de bois,Combustibles dont charbons et bois,Exports,Nantes,Amériques,,,
????,charbon de bois,Combustibles dont charbons et bois,Exports,Valenciennes,Allemagne,,,
????,charbon de bois,Combustibles dont charbons et bois,Exports,Valenciennes,Flandre et autres états de l'Empereur,,,
????,charbon de terre,Combustibles dont charbons et bois,Exports,Flandre,Flandre et autres états de l'Empereur,,,
????,charbon de terre,Combustibles dont charbons et bois,Imports,,Hollande,,,
????,charbon de terre,Combustibles dont charbons et bois,Imports,,Italie,,,
????,filets à pêcher,Cordage et filets,Exports,Marseille,Levant et Barbarie,,,
????,souliers,Cordonnerie et sellerie,Exports,,Allemagne,,,
????,souliers,Cordonnerie et sellerie,Exports,Marseille,Espagne,,,
????,coton,Coton non transformé,Exports,Flandre,Suisse,,,
????,cuirs de bœuf tannés,"Cuirs, peaux et pelleterie",Exports,La Rochelle,Italie,,,
????,cuirs en poil,"Cuirs, peaux et pelleterie",Imports,Marseille,Levant et Barbarie,,,
????,peaux apprêtées de chèvre,"Cuirs, peaux et pelleterie",Exports,Marseille,Italie,,,
????,peaux d'agneau,"Cuirs, peaux et pelleterie",Imports,,Italie,,,
????,peaux d'hermine,"Cuirs, peaux et pelleterie",Imports,,Hollande,,,
????,peaux d'hermine,"Cuirs, peaux et pelleterie",Imports,,Nord,,,
????,peaux de chamois,"Cuirs, peaux et pelleterie",Exports,Marseille,Levant et Barbarie,,,
????,peaux de daim,"Cuirs, peaux et pelleterie",Imports,Bordeaux,États-Unis d'Amérique,,,
????,peaux tannées de veau,"Cuirs, peaux et pelleterie",Exports,Marseille,Italie,,,
????,pelleterie apprêtée,"Cuirs, peaux et pelleterie",Imports,Lorient,États-Unis d'Amérique,,,
????,pelleterie commune,"Cuirs, peaux et pelleterie",Imports,Bordeaux,États-Unis d'Amérique,,,
????,pelleterie,"Cuirs, peaux et pelleterie",Exports,Marseille,Levant et Barbarie,,,
????,mignonnette,Dentelles,Exports,Bordeaux,Amériques,,,
????,marchandises à l'estimation,Divers mélangés,Imports,Valenciennes,Allemagne,,,
????,marchandises blanches,Divers mélangés,Exports,,Amériques,,,
????,poudre ??? nationales d'après les états du département de poudre et de salpêtre,Drogues diverses,Exports,Bordeaux,Afrique,,,
????,poudre ??? nationales d'après les états du département de poudre et de salpêtre,Drogues diverses,Exports,Bordeaux,Amériques,,,
????,poudre à poudrer,Drogues diverses,Exports,,Amériques,,,
????,coloquinte,Drogues médicinales diverses,Exports,,Italie,,,
????,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Afrique,,,
????,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Asie,,,
????,eau-de-vie,Eaux-de-vie et liqueurs,Exports,,Espagne,,,
????,eau-de-vie,Eaux-de-vie et liqueurs,Imports,Narbonne,Espagne,,,
????,liqueurs,Eaux-de-vie et liqueurs,Exports,,Afrique,,,
????,liqueurs,Eaux-de-vie et liqueurs,Exports,,Amériques,,,
????,liqueurs,Eaux-de-vie et liqueurs,Exports,,Angleterre,,,
????,liqueurs,Eaux-de-vie et liqueurs,Exports,,Asie,,,
????,liqueurs,Eaux-de-vie et liqueurs,Exports,Nantes,Amériques,,,
????,liqueurs,Eaux-de-vie et liqueurs,Imports,,Allemagne,,,
????,liqueurs,Eaux-de-vie et liqueurs,Imports,,Suisse,,,
????,liqueurs,Eaux-de-vie et liqueurs,Imports,Toulon,France,,,
????,tafia,Eaux-de-vie et liqueurs,Imports,,Amériques,,,
????,cordeillat,Étoffes de laine,Exports,Bordeaux,Espagne,,,
????,couvertures de laine,Étoffes de laine,Exports,Marseille,Italie,,,
????,drap d'Amiens,Étoffes de laine,Exports,,Espagne,,,
