numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,Quantité,Unité de poids/quantité,Prix unitaire en  Lt (décimale),Valeur en décimales de livres tournois,Différence,Remarques,Droits totaux indiqués,Droits unitaires,remarks pour les droits
108,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Langues fourées,Isles françoises de l'amérique,"630,00",Nombre,"1,2500000","787,00","-0,50",,,,
109,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Langues Salées,Isles françoises de l'amérique,"14,00",Barils,"20,0000000","280,00","0,00",,,,
110,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Lard,Isles françoises de l'amérique,"284 250,00",Livres,"0,1500000","42637,50","0,00",,,,
111,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Legumes,Isles françoises de l'amérique,"15,00",Barrique,"18,0000000","270,00","0,00",,,,
112,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Legumes,Isles françoises de l'amérique,"1 255,00",Boisseaux,"6,0000000","7530,00","0,00",,,,
113,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Morue,Isles françoises de l'amérique,"50 315,00",Livres,"0,1800000","9058,00","1,30",ERREUR DE CALCUL,,,
114,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Noisettes,Isles françoises de l'amérique,"200,00",Livres,"0,4000000","80,00","0,00",,,,
115,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Olives,Isles françoises de l'amérique,"45,00",Barils,"1,0000000","45,00","0,00",,,,
116,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Olives,Isles françoises de l'amérique,"150,00",Pots,"2,0000000","300,00","0,00",,,,
117,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Olives,Isles françoises de l'amérique,"4 765,00",Livres,"0,3000000","1429,50","0,00",,,,
118,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Poison Salé,Isles françoises de l'amérique,"150,00",Livres,"0,1600000","24,00","0,00",,,,
119,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Poivre,Isles françoises de l'amérique,"160,00",Livres,"1,1000000","176,00","0,00",,,,
120,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Pruneaux,Isles françoises de l'amérique,"39 135,00",Livres,"0,0700000","2739,75","0,30",ERREUR DE CALCUL,,,
121,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Riz,Isles françoises de l'amérique,"2 675,00",Livres,"0,2200000","588,50","0,00",,,,
122,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Raisin sec,Isles françoises de l'amérique,"7 000,00",Livres,"0,1500000","1050,00","0,00",,,,
123,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Reglisse,Isles françoises de l'amérique,"900,00",Livres,"3,0000000","2700,00","0,00",,,,
124,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Saucisses,Isles françoises de l'amérique,"20,00",Douzaine,"2,0000000","40,00","0,00",,,,
125,KONATE DEMBA,AD33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1718-1754 (-).csv,Local,1718,Exports,Bordeaux,5,Saumon salé,Isles françoises de l'amérique,"800,00",Livres,"0,2000000","160,00","0,00",,,,
