numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportimport,direction,sheet,marchandises,pays,value,quantit,quantity_unit,,Remarques
1,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Bray sec,Angleterre,0,"4 025,00",Livres,"0,0450000",
2,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Eau de vie,Angleterre,0,"2 223,00",Veltes,"70,0000000",pas de quantité indiquée
3,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Farine,Angleterre,0,"20,00",Barils,"20,0000000",
4,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Merrain ganivelle,Angleterre,0,"25 000,00",pièces,"0,0800000",80 Livres le milliers
5,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Vin d'amont,Angleterre,0,"5,00",Bariques,"35,0000000",
6,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Bled seigle,Flandre autrichienne,0,"159,00",Tonneaux,"56,0000000",
7,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Cuirs secs en poil,Flandre autrichienne,0,"461,00",En nombre,"5,5000000",
8,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Eau de vie,Flandre autrichienne,0,"25 010,00",Veltes,"70,0000000",
9,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Sirop de sucre,Flandre autrichienne,0,"37 600,00",Livres,"0,0750000",
10,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Thé,Flandre autrichienne,0,"800,00",Livres,"3,3000000",
11,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Vin d'amont,Flandre autrichienne,0,"87,00",Tonneaux,"140,0000000",
12,Pascal Fontaine,AD 44 C706,Local/Nantes/AD44C706/Nantes-exports.csv,Local,1745,Export,Nantes,1,Vin aigre,Flandre autrichienne,0,"4,00",Tonneaux,"60,0000000",
