numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,quantit,quantity_unit,bureaux,doubleaccounts
1,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Eaux ; de vie,29,tonneaux,Bayonne et Arzac,0
2,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Eaux ; de vie,2301,tonneaux,Convoy de Bordeaux,0
3,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Eaux ; de vie,1677,tonneaux,La Rochelle,0
4,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Eaux ; de vie,3711,tonneaux,Nantes,0
5,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Eaux ; de vie,1861,tonneaux,Tonne-Charente,0
6,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vin,2172,tonneaux,Bayonne et Arzac,0
7,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vin,77990,tonneaux,Convoy de Bordeaux,0
8,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vin,1499,tonneaux,La Rochelle,0
9,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vin,20119,tonneaux,Nantes,0
10,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vin,10106,tonneaux,Tonne-Charente,0
11,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vinaigre,4,barriques,Bayonne et Arzac,0
12,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vinaigre,1262,barriques,Convoy de Bordeaux,0
13,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vinaigre,4,barriques,La Rochelle,0
14,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vinaigre,3,barriques,"Languedoc, Provence et Roussillon",0
15,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vinaigre,367,barriques,Nantes,0
16,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vinaigre,2,barriques,Poitou,0
17,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Exports,13,Vinaigre,223,barriques,Tonne-Charente,0
1,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,19217,livres,Amiens et Soissons,0
2,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,4850,livres,Bayonne et Arzac,0
3,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,4562,livres,Bourges et Moulins,0
4,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,5060,livres,Caën par Mer,0
5,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,6987,livres,Caën par Terre,0
6,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,29641,livres,Chaalons et Troyes,0
7,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,15800,livres,Convoy de Bordeaux,0
8,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,6618,livres,Dijon et Chalons-sur_saone,0
9,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,9725,livres,La Rochelle,0
10,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,4515,livres,"Languedoc, Provence et Roussillon",0
11,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,41572,livres,"Lyon, Valence et Bresse",0
12,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,9049,livres,Mayne et Anjou,0
13,Jérémy Hervelin,AN F12 1834A,Out/1671.csv,Out,1671,Imports,6,Acier,63962,livres,Nantes,0
