numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Paris,Agremens de soye,Espagne,10,onces,0,0,0,
2,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Marseille,Amendes en coques,Angleterre,200,livres,0,0,0,
3,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Croisic,Amidon,Angleterre,120,livres,0,0,0,
4,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Anisette,Bruges,6,veltes,0,0,0,
5,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Orleans,Arbre chataigner,Hambourg,15,pieds,0,0,0,
6,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Orleans,Arbre chataigner,Irlande,400,pieds,0,0,0,
7,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Orleans,Arbre chataigner,Hollande,102,pieds,0,0,0,
8,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Orleans,Arbre chataigner,Suede,20,pieds,0,0,0,
9,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Orleans,Arbrisseaux,Bruges,24,pieds,0,0,0,
10,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Hollande,Avirons,Espagne,3,traque,0,0,0,
11,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Balance et poids de Cuivre,Espagne,120,livres,0,0,0,
12,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Nantes,Bas de cotton,Espagne,35,livres,0,0,0,
13,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Bretagne,Bas de fil,Espagne,6,livres,0,0,0,
14,Torsten,AD44 C706,Out/Nantes - Exports - 1734 - bis.csv,Out,1734,Exports,Nantes,1,Bretagne,Bas de fil,Irlande,3,livres,0,0,0,
