numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,1,Agneaux,Etats du Roy de Sardaigne,205,82,Nombres,2.5,20.9,erreur de calcul
2,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,1,Amadou,Etats du Roy de Sardaigne,120,60,Livres,2,0,
3,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,1,Aricots,Etats du Roy de Sardaigne,177.5,35.5,Quintaux,5,0,
4,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,1,Asnes,Etats du Roy de Sardaigne,120,6,Nombres,20,0,
5,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,1,Avoine,Etats du Roy de Sardaigne,30,12,Quintaux,2.5,0,
6,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,1,Avoine,Etats du Roy de Sardaigne,10250,2050,Septiers,5,0,
7,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,1,Beurres et fromages,Etats du Roy de Sardaigne,7150,286,Quintaux,25,0,
8,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Beurres,Etats du Roy de Sardaigne,10343.75,413.75,Quintaux,25,0.75,
9,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bœufs et vaches,Etats du Roy de Sardaigne,49950,1110,Pièces,45,0,
10,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bois de futaye,Etats du Roy de Sardaigne,750,50,Quintaux,15,0,
11,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Boëttes de sapin,Etats du Roy de Sardaigne,600,60,Balots,10,0,
12,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bois de sapin,Etats du Roy de Sardaigne,300,,,0,-300,
13,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bois ouvré,Etats du Roy de Sardaigne,79.68000000000001,6.64,Quintaux,12,0.98,"64 livres convertis en 0,64 quintaux"
14,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bourre de bœuf,Etats du Roy de Sardaigne,492,82,Quintaux,6,0,
15,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bourre a bastier,Etats du Roy de Sardaigne,165,8.25,Quintaux,20,0,"25 livres convertis en 0,25 quintaux"
16,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bourre de soye,Etats du Roy de Sardaigne,189500,379,Quintaux,500,0,
17,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,2,Bled,Etats du Roy de Sardaigne,1078,154,Septiers,7,0,
18,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,3,Boutons poil de chevre,Etats du Roy de Sardaigne,30,12,Douzaines,2.5,0,
19,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,3,Brustes ou Bruyere,Etats du Roy de Sardaigne,550,27.5,Quintaux,20,0,
20,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,3,Chandelles,Etats du Roy de Sardaigne,264,8.800000000000001,Quintaux,30,0,"80 livres convertis en 0,80 quintaux"
21,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,3,Charbon,Etats du Roy de Sardaigne,104,26,Charges,4,0,
22,Anthony Rebours,2C635,Out/Grenoble - Entrées - 1725-1726.csv,Out,1728 - 1er octobre 1727 au 1er août 1728,Imports,Grenoble,3,Cendre de bois,Etats du Roy de Sardaigne,75,150,Quintaux,.5,0,
