marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames
	?	…	…				
?	?	…	…				
???	?	…	…				
Abaci	Abaque	8	8	Abaque (Abacus en latin, Abaci au pluriel)Abaque (Abacus en latin, Abaci au pluriel)			
Abaque	Abaque	8	8	Abaque (Abacus en latin, Abaci au pluriel)			
Acacia	Acacia	0	0a				
Achia		0	0b	Achiar (Savary)			
Acier	Acier	6	6				
Acier ; brut	Acier	6	6				
Acier ; en barres	Acier	6	6				
Acier ; ouvré	Acier ; ouvré	6	6				
Acons démonté	Acons démonté	…	…				
Acorus	Acorus	2	2	(Racine, Savary)			
Affût de canon	Affût de canon	9	9				
Agaric	Agaric	5	5		5	5	
Agathe montée	Agathe montées	6	6				
Agathe montées	Agathe montées	6	6		6	6	
Agneaux	Bestiaux	0	0a				
Agrément	Agréments	6	6				
Agrément ; au quart	Agréments	6	6				
Agrément ; d'argent	Agréments	6	6				
Agrément ; d'or	Agréments	6	6				
Agrément ; d'or et d'argent	Agréments	6	6				
Agrément ; de fil	Agréments	6	6a				
Agrément ; de soie	Agréments	6	6c				
Agréments	Agréments	6	6				
Agréments ; au quart	Agréments	6	6				
Agréments ; d'argent	Agréments	6	6				
Agréments ; d'or	Agréments	6	6				
Agréments ; d'or et d'argent	Agréments	6	6				
Agréments ; de fil	Agréments	6	6a				
Agréments ; de soie	Agréments	6	6c				
Agrès	Agrès	7	7				
Agrès ; de navires	Agrès	7	7				
Agrès ; de navires ; en voiles	Agrès	7	7				
Aiglefin ; séché	Poisson	0	0a				
Aigles	Aigles	9	9		9	9	
Aigrettes	Aigrettes	0	0b	Peut-être « plumes d'aigrettes » d'après Savary, elles sot importées en France en provenance du Levant.			
Aiguilles	Aiguilles	6	6				
Ailes de fleaux	Ailes de fleaux	2	2	bois par fleaux à battre grains	2	2	bois par fleaux à battre grains
Ailes de moulin	Ailes de moulin	8	8				
Ails	Ails	0	0a				
Ains à pêcher	Ains à pêcher	…	…				
Airain	Airain	6	6				
Airain ; ouvré	Airain ; ouvré	6	6				
Ajamis	Ajamis	6	6d	Toile d'Antap dit Ajamis : toile de coton qui vient du Levant.			
Ajustements	Ajustements	8	8				
Alambic ; de terre	Alambic ; de terre	5	5				
Alambics	Alambics	5	5				
Alana	Alana	5	5	Probablement « Alatia », à vérifier			
Alatia	Alatia	5	5		5	5	
Albâtre	Albâtre	2	2				
Alibanies	Alibans	6	6d	Alibanies : Toiles de coton, qu’on apporte en Hollande des Indes Orientales par les retours de la Compagnie			
Allumettes	Allumettes	8	8		8	8	
Almagro ou crayon rouge	Almagro ou crayon rouge	5	5		5	5	
Almanach	Livre	8	8				
Almanacs enjolivés	Livre	8	8		8	8	
Alocir	Alocir	…	…				
Alose dite elft	Alose dite elft	0	0a		0	0a	
Alose fumée	Alose fumée	0	0a		0	0a	
Alouettes	Alouettes	0	0a		0	0a	
Aloès	Aloès	2	2				
Alpargate	Alpargate	8	8	espadrilles (Savary)			
Alquitra	Alquitra	2	2	Synonyme de goudron (tiré de l'espagnol)			
Alun ; de fer	Alun	2	2				
