marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
""		""	""	"..."	"..."	"..."	""
"?"		""	""	"..."	"..."	"..."	""
"Abacir"		""	""	""	""	""	""
"Acacia"		""	""	"..."	"0"	"0a"	""
"Achia"		""	""	""	""	""	""
"Acier"	6	"6"	""	""	""	""	""
"Acier ; brut"		""	""	""	""	""	""
"Acier ; ouvré"		""	""	""	""	""	""
"Acons demontés"		""	""	"..."	"2"	"2"	"Planches destinées à la construction d’acons (bateaux à fond plat)-BD"
"Acons démonté"		""	""	""	""	""	""
"Acorus"		""	""	""	""	""	""
"Affuts ; de canon"		""	""	""	""	""	""
"Agaric"		""	""	""	""	""	""
"Agathe"		""	""	"..."	"2"	"2"	""
"Agathe montées"	6	"6"	""	""	""	""	""
"Agneaux"		""	""	""	""	""	""
"Agréments"		""	""	""	""	""	""
"Agréments ; au quart"		""	""	""	""	""	""
"Agréments ; d'argent"		""	""	""	""	""	""
"Agréments ; d'or"		""	""	""	""	""	""
"Agréments ; d'or et d'argent"		""	""	""	""	""	""
"Agréments ; de fil"		""	""	""	""	""	""
"Agréments ; de soie"		""	""	""	""	""	""
"Agrès"		""	""	""	""	""	""
"Agrès ; de navires"		""	""	""	""	""	""
"Aigles"	9	"9"	""	""	""	""	""
"Aigre ; de vitriol"		""	""	""	""	""	""
"Aigrettes"		""	""	""	""	""	""
"Aiguilles"	6	"6"	""	""	""	""	""
"Ailes de fleaux"	2	"2"	"bois par fleaux à battre grains"	""	""	""	""
"Ails"		""	""	""	""	""	""
"Ains à pecher"		""	""	"..."	"6"	"6"	"Comme hameçon ?"
"Ains à pêcher"		""	""	""	""	""	""
"Airain"		""	""	""	""	""	""
"Airain ; ouvré"		""	""	"..."	"6"	"6"	""
"Ajamis"		""	""	""	""	""	""
"Ajustements"		""	""	""	""	""	""
"Alambic ; de terre"		""	""	""	""	""	""
"Alambics"		""	""	""	""	""	""
"Alambie ; de terre"		""	""	"..."	"6"	"6"	""
"Alana"		""	""	""	""	""	""
"Alatia"	5	"5"	""	""	""	""	""
"Albatre"		""	""	"..."	"2"	"2"	""
"Albâtre"		""	""	""	""	""	""
"Alembics"		""	""	"..."	"6"	"6"	"Alambic vase utilisé en chimie"
"Alibans"		""	""	""	""	""	""
"Allumettes"		""	""	""	""	""	""
"Almagro ou crayon rouge"	5	"5"	""	""	""	""	""
"Almanacs enjolivés"	8	"8"	""	""	""	""	""
"Alocir"		""	""	""	""	""	""
"Alose dite elft"	0	"0a"	""	""	""	""	""
"Alose fumée"	0	"0a"	""	""	""	""	""
"Alouettes"	0	"0a"	""	""	""	""	""
"Aloès"	5	"5"	""	""	""	""	""
"Aloës"		""	""	"..."	"5"	"5"	""
"Alpargalle"		""	""	"..."	"8"	"8"	"Chaussures grossières faites de jonc"
"Alpargate"		""	""	""	""	""	""
"Alquifoux ou mine de plomb"		""	""	"..."	"2"	"2"	"Savary"
"Alquitra"		""	""	""	""	""	""
"Alumettes"		""	""	"..."	"8"	"8"	""
"Alun"		""	""	"..."	"5"	"5"	""
"Amadou"		""	""	""	""	""	""
