marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
""	""	"…"	"…"	""		""	""	""	""	""	""	""	""	""	0	0	1	"matched (3)"
"Abacir"	"Abacir"	"…"	"…"	""		""	""	""	"Abacir"	"Abacir"	""	""	""	""	0	0	1	"matched (3)"
"Acacia"	"Acacia"	"0"	"0a"	""		""	""	"..."	"Acacia"	"Ouvrages ; de bois"	""	""	""	""	0	0	1	"matched (3)"
"Achia"	"Achia"	"0"	"0b"	"Achiar (Savary)"		""	""	""	"Achia"	"Achia"	""	""	""	""	0	0	1	"matched (3)"
"Acier"	"Acier"	"6"	"6"	""		""	""	""	"acier"	"Acier"	""	"staal"	"steel"	"pounds"	1	1	0	"matched (3)"
"Acier ; brut"	"Acier ; brut"	"6"	"6"	""		""	""	""	"Acier ; brut"	"Ouvrages ; de corail"	""	""	""	""	0	0	1	"matched (3)"
"Acier ; ouvré"	"Acier ; ouvré"	"6"	"6"	""		""	""	""	"Acier ; ouvré"	"Ouvrages ; d'acier"	""	""	""	""	0	0	1	"matched (3)"
"Acons démonté"	"Acons démonté"	"…"	"…"	""		""	""	""	"Acons démonté"	"Acons démonté"	""	""	""	""	0	0	1	"matched (3)"
"Acorus"	"Acorus"	"2"	"2"	"(Racine, Savary)"		""	""	""	"Acorus"	"Acorus"	""	""	""	""	0	0	1	"matched (3)"
"Affuts ; de canon"	"Affuts ; de canon"	"9"	"9"	""		""	""	""	""	""	""	""	""	""				"master only (1)"
"Agaric"	"Agaric"	"5"	"5"	""	5	"5"	""	""	"Agarie"	"Agaric"	""	""	""	""	0	0	1	"matched (3)"
"Agathe montées"	"Agathe montées"	"6"	"6"	""	6	"6"	""	""	"agats montés"	"Agathe montées"	""	"edelstenen (agaat)"	"precious stones (agate)"	"pounds"	1	0	0	"matched (3)"
"Agneaux"	"Bestiaux"	"0"	"0a"	""		""	""	""	"Agneaux"	"Agneaux"	""	""	""	""	0	0	1	"matched (3)"
"Agréments"	"Agréments"	"6"	"6"	""		""	""	""	"Agrémens"	"Agréments"	""	""	""	""	0	0	1	"matched (3)"
"Agréments ; au quart"	"Agréments"	"6"	"6"	""		""	""	""	"Agrémens ; au quart"	"Ouvrages ; d'étain"	""	""	""	""	0	0	1	"matched (3)"
"Agréments ; d'argent"	"Agréments"	"6"	"6"	""		""	""	""	"Agrément ; d'argent"	"Agréments ; d'argent"	""	""	""	""	0	0	1	"matched (3)"
"Agréments ; d'or"	"Agréments"	"6"	"6"	""		""	""	""	"Agrements; d'or"	"Ouvrages ; d'étain"	""	""	""	""	0	0	1	"matched (3)"
"Agréments ; d'or et d'argent"	"Agréments"	"6"	"6"	""		""	""	""	"Agréments ; or et arg"	"Agréments ; d'or et d'argent"	""	""	""	""	0	0	1	"matched (3)"
"Agréments ; de fil"	"Agréments"	"6"	"6a"	""		""	""	""	"Agrément ; de fil"	"Agréments ; de fil"	""	""	""	""	0	0	1	"matched (3)"
"Agréments ; de soie"	"Agréments"	"6"	"6c"	""		""	""	""	"Agremens ; de soye"	"Agréments ; de soie"	""	""	""	""	0	0	1	"matched (3)"
