marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound	v14	v15	remarques	nbr_lignes_fr
""""																2247
.	???	???									1					8
//////Betes de somme, principalement en mules et mulets	Bêtes de somme ; mules et mulets	Bêtes de somme ; mules et mulets						0	0	1	0					7
//////Betes,principalement en mules et mulets	Bêtes de somme ; mules et mulets	Bêtes de somme ; mules et mulets						0	0	1	0					3
//////Passementerie	Passementerie	Passementerie						0	0	1	0					1
///Articles réunis///D'une valeur moindre de 2000 fr chacun	Divers ; d'une valeur moindre de 2000 francs chacun	Marchandises						0	0	1	0					6
///Articles réunis///D'une valeur moindre de 2000 francs chacun	Divers ; d'une valeur moindre de 2000 francs chacun	Marchandises						0	0	1	0					4
///Betes de somme///Anes	Bêtes de somme ; ânes	Bêtes de somme ; ânes						0	0	1	0					1
///Betes de somme///Chevaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux						0	0	1	0					12
///Betes de somme///Cheveaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux						0	0	1	0					17
///Betes de somme///Mulets	Bêtes de somme ; mulets	Bêtes de somme ; mulets						0	0	1	0					4
///Bêtes de Somme///Anes	Bêtes de somme ; ânes	Bêtes de somme ; ânes						0	0	1	0					17
///Bêtes de Somme///Chevaux	Bêtes de somme ; chevaux	Bêtes de somme ; chevaux						0	0	1	0					6
///Bêtes de Somme///Mules, mulets et chevaux	Bêtes de somme ; mules, mulets et chevaux	Bêtes de somme ; mules, mulets et chevaux						0	0	1	0					16
///Bêtes de Somme///Mulets	Bêtes de somme ; mulets	Bêtes de somme ; mulets						0	0	1	0					5
///Drogues Diverses///Drogues réunies	Drogues ; Drogues réunies ; Diverses	Drogue ; Réunies ; Diverses						0	0	1	0					6
///Drogues Diverses///Gommes diverses	Drogues ; Gommes ; Diverses	Gomme ; diverse						0	0	1	0					2
///Drogues Diverses///Sels chimiques	Drogues ; chimiques ; Sel divers	Drogue ; chimique ; Sel divers						0	0	1	0					43
///Drogues Médicinales///Drogues médicinales réunies	Drogues ; médicinales ; Réunies	Drogue ; médicinale ; Réunies						0	0	1	0					18
///Drogues Médicinales///Drogues réunies	Drogues ; médicinales ; Réunies	Drogue ; médicinale ; Réunies						0	0	1	0					11
///Drogues Médicinales///Ipécacuanha	Drogues ; médicinales ; Ipécacuana	Drogue ; médicinale ; Ipécacuana						0	0	1	0					3
///Drogues Médicinales///Jus de réglisse	Drogues ; médicinales ; Jus de réglisse	Drogue ; médicinale ; Jus de réglisse						0	0	1	0					2
///Drogues Médicinales///Manne	Drogues ; médicinales ; Manne	Drogue ; médicinale ; manne						0	0	1	0					2
///Drogues Médicinales///Quinquina	Drogues ; médicinales ; Quinquina	Drogue ; médicinale ; quinquina						0	0	1	0					29
///Drogues Médicinales///Safran	Drogues ; médicinales ; Safran	Drogue ; safran						0	0	1	0					1
