marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	nbr_lignes_fr_bis
?	?	…	…				1
???	?	…	…				131
Abaci	Abaque	8	8	Abaque (Abacus en latin, Abaci au pluriel)Abaque (Abacus en latin, Abaci au pluriel)			1
Abaque	Abaque	8	8	Abaque (Abacus en latin, Abaci au pluriel)			
Acacia	Acacia	0	0a				
Achia		0	0b	Achiar (Savary)			4
Acier	Acier	6	6				296
Acier ; brut	Acier	6	6				3
Acier ; en barres	Acier	6	6				4
Acier ; ouvré	Acier ; ouvré	6	6				3
Acons démonté	Acons démonté	…	…				2
Acorus	Acorus	2	2	(Racine, Savary)			2
Affût de canon	Affût de canon	9	9				19
Agaric	Agaric	5	5		5	5	30
Agathe montée	Agathe montées	6	6				1
Agathe montées	Agathe montées	6	6		6	6	
Agneaux	Bestiaux	0	0a				1
Agrément	Agréments	6	6				7
Agrément ; au quart	Agréments	6	6				3
Agrément ; d'argent	Agréments	6	6				1
Agrément ; d'or	Agréments	6	6				1
Agrément ; d'or et d'argent	Agréments	6	6				4
Agrément ; de fil	Agréments	6	6a				8
Agrément ; de soie	Agréments	6	6c				17
Agréments	Agréments	6	6				
Agréments ; au quart	Agréments	6	6				
Agréments ; d'argent	Agréments	6	6				
Agréments ; d'or	Agréments	6	6				
Agréments ; d'or et d'argent	Agréments	6	6				
Agréments ; de fil	Agréments	6	6a				
Agréments ; de soie	Agréments	6	6c				
Agrès	Agrès	7	7				68
Agrès ; de navires	Agrès	7	7				1
Agrès ; de navires ; en voiles	Agrès	7	7				4
Aiglefin ; séché	Poisson	0	0a				0
Aigles	Aigles	9	9		9	9	2
Aigrettes	Aigrettes	0	0b	Peut-être « plumes d'aigrettes » d'après Savary, elles sot importées en France en provenance du Levant.			2
Aiguilles	Aiguilles	6	6				47
Ailes de fleaux	Ailes de fleaux	2	2	bois par fleaux à battre grains	2	2	32
Ailes de moulin	Ailes de moulin	8	8				1
Ails	Ails	0	0a				34
Ains à pêcher	Ains à pêcher	…	…				3
Airain	Airain	6	6				1
Airain ; ouvré	Airain ; ouvré	6	6				3
Ajamis	Ajamis	6	6d	Toile d'Antap dit Ajamis : toile de coton qui vient du Levant.			14
Ajustements	Ajustements	8	8				8
Alambic ; de terre	Alambic ; de terre	5	5				17
Alambics	Alambics	5	5				1
Alana	Alana	5	5	Probablement « Alatia », à vérifier			2
Alatia	Alatia	5	5		5	5	1
Albâtre	Albâtre	2	2				25
Alibanies	Alibans	6	6d	Alibanies : Toiles de coton, qu’on apporte en Hollande des Indes Orientales par les retours de la Compagnie			4
Allumettes	Allumettes	8	8		8	8	30
Almagro ou crayon rouge	Almagro ou crayon rouge	5	5		5	5	0
Almanach	Livre	8	8				11
Almanacs enjolivés	Livre	8	8		8	8	
Alocir	Alocir	…	…				257
Aloès	Aloès	2	2				
