numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,unverified
1,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Bois de buis,Constantinople,4100,Livre,"0,1",410,0,Prix unitaire en pourcentage,1
2,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Bourre de soye,Constantinople,38194,Livre,"0,4",15277,"0,6",Prix unitaire en pourcentage,1
3,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Caffetieres,Constantinople,1266,Pièce,"2,5",3165,0,Erreur prix unitaire ,1
4,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Cire jeaune,Constantinople,13933,Livre,"1,5",20899,"0,5",Prix unitaire en pourcentage,1
5,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Coton filé,Constantinople,96,Livre,"1,5",144,0,,1
6,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Cuirs d'Andrinople,Constantinople,140,Pièce,20,2800,0,,1
7,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Crin,Constantinople,13160,Livre,"0,3",3948,0,Prix unitaire en pourcentage,1
8,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Fil de chevre,Constantinople,139320,Livre,4,557280,0,,1
9,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Graine d'avignon,Constantinople,330,Livre,"0,3",99,0,Prix unitaire en pourcentage,1
10,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Laine surge,Constantinople,2776471,Livre,"0,5",1388235,"0,5",Prix unitaire en pourcentage,1
11,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Laine de chevron,Constantinople,7702,Livre,"1,2",9242,"0,4",,1
12,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Orpiment,Constantinople,2200,Livre,"0,4",880,0,Prix unitaire en pourcentage,1
13,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Peaux de lievres,Constantinople,17350,Livre,"1,5",26025,0,,1
14,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Peaux de bœuf,Constantinople,778,Pièce,15,11670,0,,1
15,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Pierres à huille,Constantinople,4800,Livre,"0,2",960,0,Prix unitaire en pourcentage,1
16,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Satin,Constantinople,93,Pièce,12,1116,0,Erreur valeur,1
17,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Soye brousse ,Constantinople,34017,Livre,14,476238,0,,1
18,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Alun,Smirne,74255,Livre,"0,2",14851,0,Prix unitaire en pourcentage,1
19,Anthony Rebours,Fond Montyon 101FOSS/25,National partenaires manquants/Levant - importations - 1771.csv,National Partenaires Manquants,1771,Imports,,1,Ascrile,Smirne,3576,Livre,"0,15",536,"0,4",Prix unitaire en pourcentage,1
