numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,3,Imports,Etats-Unis,Matière premiere en tabac en feuille,6031800,Livres,,3911000,,
2,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,3,Imports,Etats-Unis,Objets divers en peaux et pelleterie,540000,Valeur,,540000,,
3,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,3,Imports,Etats-Unis,Droguerie diverse,246000,Valeur,,246000,,
4,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,3,Imports,Etats-Unis,Objets divers en petits articles,50000,Valeur,,50000,,
5,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Métaux en plomb,307800,Livres,,95000,,
6,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Bonneterie de fil et coton en laine,9464,Livres,,79900,,Objets manufacturés
7,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,Bonneterie de soye,"1927,5",Livres,,72200,,Objets manufacturés
8,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,chapeaux,,Valeur,,49000,,Objets manufacturés
9,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,couvertures,23680,nombre,,236800,,Objets manufacturés
10,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,dentelles,,Valeur,,84000,,Objets manufacturés
11,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,draps de toutes sorte,472867,Livres,,4575700,,Objets manufacturés
12,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,etoffe de coton,22708,Livres,,190000,,Objets manufacturés
13,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,etoffe de laine,84000,Livres,,586500,,Objets manufacturés
14,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,etoffe poil et laine,21200,Livres,,161000,,Objets manufacturés
15,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,etoffe de soye,17322,Livres,,703000,,Objets manufacturés
16,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,gazes,1410,Livres,,110100,,Objets manufacturés
17,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,mouchoirs de fil et coton,91172,nombre,,152600,,Objets manufacturés
18,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,toiles mélées,438550,Livres,,2296000,,Objets manufacturés
19,Paul CHEVRET,AN F12 1835,National partenaires manquants/Etats-Unis 1782 1783 1784 1786.csv,National partenaires manquants,1782,4,Exports,Etats-Unis,toiles de chanvre,72000,Livres,,141500,,Objets manufacturés
