numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,value,remarks
1,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,Articles de manufacture étrangères en toile à voile,"103 000,000",Livres,"98 000,00",
2,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,bois en planches et en mats,,valeur,"45 000,00",
3,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,chanvre,"7 404 000,000",Livres,"2 617 000,00",
4,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,fer en barres,"2 611 000,000",Livres,"416 000,00",
5,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,lin divers,"1 164 000,000",Livres,"797 000,00",
6,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,cire jaune,"16 000,000",Livres,"25 000,00",
7,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,cuirs divers,"3 527,000",nombre,"54 000,00",
8,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,graines de lin,"831 000,000",Livres,"166 000,00",
9,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,peaux et pelleterie,,valeur,"540 000,00",
10,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,suif en pain,"1 068 000,000",Livres,"553 000,00",
11,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,chandelles,"113 000,000",Livres,"74 000,00",
12,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,bled froment,"1 907 000,000",Livres,"239 000,00",
13,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,bled seigle,"675 000,000",Livres,"60 000,00",
14,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,bled avoine,"2 222 000,000",Livres,"173 000,00",
15,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,import,Russie,divers petits objets,,valeur,"150 339,00",
16,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,Amandes,"77 000,000",Livres,"51 000,00",
17,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,bonneteries,,valeur,"16 000,00",
18,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,draps divers,"5 440,000",Livres,"94 000,00",
19,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,etoffes de soie,"520,000",Livres,"35 000,00",
20,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,gaze de soie,"440,000",Livres,"19 000,00",
21,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,papiers divers,"33 000,000",Livres,"33 000,00",
22,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,toiles de lin,,valeur,"56 000,00",
23,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,eaux et huiles spiritueuses,"76 000,000",Livres,"49 000,00",
24,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,gants de peaux,"1 400,000",Livres,"14 000,00",
25,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,librairie,,valeur,"39 000,00",
26,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,mercerie,"18 000,000",Livres,"36 000,00",
27,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,ouvrages divers de modes,,,"0,00",
28,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,tabletterie et porcelaine,,valeur,"50 000,00",
29,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,parfumerie,,valeur,"40 000,00",
30,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,tabac rapé,"11 000,000",Livres,"33 000,00",
31,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,Eaux de vie,"4 009,267",muids,"609 000,00",
32,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,fruits divers,,valeur,"126 000,00",
33,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,sel,"19 000 000,000",Livres,"117 000,00",
34,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,vins de France,,valeur,"1 156 000,00",10 820 muids et 49 000 bouteilles
35,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,caffé,"682 000,000",Livres,"577 000,00",
36,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,indigo,"12 900,000",Livres,"135 000,00",
37,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,sucre,"3 200 000,000",Livres,"1 975 000,00",
38,Paul CHEVRET,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1785,3,export,Russie,divers petits objets,,valeur,"225 675,00",
