Numéro de ligne,Data entry by,Source,exportimports,Year,Sheet,Marchandises,Pays,Quantité,Leur Valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks
1,Saadia Mai,Montbret 155-1,Exports,1754,2,Abacir,Hollande,,1400.00,0.00,0.00,0.00,
2,Saadia Mai,Montbret 1550,Exports,1754,2,Acier,Angleterre,,105.00,0.00,0.00,15965.70,
3,Saadia Mai,Montbret 1551,Exports,1754,2,Acier,Espagne,,4137.50,0.00,0.00,15965.70,
4,Saadia Mai,Montbret 1552,Exports,1754,2,Acier,Flandre,,14.00,0.00,0.00,15965.70,
5,Saadia Mai,Montbret 1553,Exports,1754,2,Acier,Isles,,4821.30,0.00,0.00,15965.70,
6,Saadia Mai,Montbret 1554,Exports,1754,2,Acier,Italie,,941.15,0.00,0.00,15965.70,
7,Saadia Mai,Montbret 1555,Exports,1754,2,Acier,Nord,,414.75,0.00,0.00,15965.70,
8,Saadia Mai,Montbret 1556,Exports,1754,2,Acier,Portugal,,3962.00,0.00,0.00,15965.70,
9,Saadia Mai,Montbret 1557,Exports,1754,2,Acier,Savoye,,120.00,0.00,0.00,15965.70,
10,Saadia Mai,Montbret 1558,Exports,1754,2,Acier,Suède,,332.50,0.00,0.00,15965.70,
11,Saadia Mai,Montbret 1559,Exports,1754,2,Acier,Suisse,,1117.50,0.00,0.00,15965.70,
12,Saadia Mai,Montbret 15510,Exports,1754,2,Agathe,Guinée,,39000.00,0.00,0.00,0.00,
13,Saadia Mai,Montbret 15511,Exports,1754,2,Agneaux,Allemagne,,620.00,0.00,0.00,634.00,
14,Saadia Mai,Montbret 15512,Exports,1754,2,Agneaux,Espagne,,14.00,0.00,0.00,634.00,
15,Saadia Mai,Montbret 15513,Exports,1754,2,Agrément ; de fil,Isles,,800.00,0.00,0.00,7666.00,
16,Saadia Mai,Montbret 15514,Exports,1754,2,Agrément ; d'argent,Isles,,180.00,0.00,0.00,7666.00,
17,Saadia Mai,Montbret 15515,Exports,1754,2,Agrément ; de soye,Angleterre,,340.00,6686.00,0.00,7666.00,
18,Saadia Mai,Montbret 15516,Exports,1754,2,Agrément ; de soye,Flandre,,2496.00,6686.00,0.00,7666.00,
19,Saadia Mai,Montbret 15517,Exports,1754,2,Agrément ; de soye,Hollande,,3500.00,6686.00,0.00,7666.00,
20,Saadia Mai,Montbret 15518,Exports,1754,2,Agrément ; de soye,Suisse,,350.00,6686.00,0.00,7666.00,
21,Saadia Mai,Montbret 15519,Exports,1754,3,Ajamis,Angleterre,,4167.00,0.00,0.00,614187.00,
22,Saadia Mai,Montbret 15520,Exports,1754,3,Ajamis,Espagne,,269991.00,0.00,0.00,614187.00,
23,Saadia Mai,Montbret 15521,Exports,1754,3,Ajamis,Italie,,325728.00,0.00,0.00,614187.00,
24,Saadia Mai,Montbret 15522,Exports,1754,3,Ajamis,Levant,,900.00,0.00,0.00,614187.00,
25,Saadia Mai,Montbret 15523,Exports,1754,3,Ajamis,Nord,,261.00,0.00,0.00,614187.00,
26,Saadia Mai,Montbret 15524,Exports,1754,3,Ajamis,Portugal,,13140.00,0.00,0.00,614187.00,
27,Saadia Mai,Montbret 15525,Exports,1754,3,Aigrettes,Flandre,,61.50,0.00,0.00,131.50,
28,Saadia Mai,Montbret 15526,Exports,1754,3,Aigrettes,Hollande,,70.00,0.00,0.00,131.50,
29,Saadia Mai,Montbret 15527,Exports,1754,3,Aiguilles,Espagne,,120.00,0.00,0.00,320.00,
30,Saadia Mai,Montbret 15528,Exports,1754,3,Aiguilles,Suede,,200.00,0.00,0.00,320.00,
31,Saadia Mai,Montbret 15529,Exports,1754,3,Ailes,Flandre,,22.00,0.00,0.00,0.00,
32,Saadia Mai,Montbret 15530,Exports,1754,3,Ajustemens,Angleterre,,1420.00,0.00,0.00,0.00,
33,Saadia Mai,Montbret 15531,Exports,1754,3,Alaya,Guinee,,400.00,0.00,0.00,0.00,
34,Saadia Mai,Montbret 15532,Exports,1754,3,Alibania,Guinee,,82720.00,0.00,0.00,0.00,
35,Saadia Mai,Montbret 15533,Exports,1754,3,Alois,Iles,,1680.00,0.00,0.00,0.00,
36,Saadia Mai,Montbret 15534,Exports,1754,3,Alun,Angleterre,,3027.00,0.00,0.00,41440.00,
37,Saadia Mai,Montbret 15535,Exports,1754,3,Alun,Danemark,,61.25,0.00,0.00,41440.00,
38,Saadia Mai,Montbret 15536,Exports,1754,3,Alun,Espagne,,7703.00,0.00,0.00,41440.00,
39,Saadia Mai,Montbret 15537,Exports,1754,3,Alun,Flandre,,271.00,0.00,0.00,41440.00,
40,Saadia Mai,Montbret 15538,Exports,1754,3,Alun,Hollande,,151.80,0.00,0.00,41440.00,
41,Saadia Mai,Montbret 15539,Exports,1754,3,Alun,Isles,,299.25,0.00,0.00,41440.00,
42,Saadia Mai,Montbret 15540,Exports,1754,3,Alun,Italie,,655.05,0.00,0.00,41440.00,
43,Saadia Mai,Montbret 15541,Exports,1754,3,Alun,Levant,,9462.20,0.00,0.00,41440.00,
44,Saadia Mai,Montbret 15542,Exports,1754,3,Alun,Nord,,123.20,0.00,0.00,41440.00,
45,Saadia Mai,Montbret 15543,Exports,1754,3,Alun,Savoye,,23.75,0.00,0.00,41440.00,
46,Saadia Mai,Montbret 15544,Exports,1754,3,Alun,Suisse,,19662.50,0.00,0.00,41440.00,
47,Saadia Mai,Montbret 15545,Exports,1754,4,Amadou,Allemagne,,16.50,0.00,0.00,0.00,
48,Saadia Mai,Montbret 15546,Exports,1754,4,Amandes ; cassees,Flandre,,490.50,34066.85,0.00,548376.00,
49,Saadia Mai,Montbret 15547,Exports,1754,4,Amandes ; cassees,Iles,,400.00,34066.85,0.00,548376.00,
50,Saadia Mai,Montbret 15548,Exports,1754,4,Amandes ; cassees,Savoye,,32711.35,34066.85,0.00,548376.00,
51,Saadia Mai,Montbret 15549,Exports,1754,4,Amandes ; cassees,Suisse,,465.00,34066.85,0.00,548376.00,
52,Saadia Mai,Montbret 15550,Exports,1754,4,Amandes ; en coques,Allemagne,,30.00,514309.15,0.00,548376.00,
53,Saadia Mai,Montbret 15551,Exports,1754,4,Amandes ; en coques,Angleterre,,4686.70,514309.15,0.00,548376.00,
54,Saadia Mai,Montbret 15552,Exports,1754,4,Amandes ; en coques,Danemark,,1964.60,514309.15,0.00,548376.00,
55,Saadia Mai,Montbret 15553,Exports,1754,4,Amandes ; en coques,Espagne,,15187.20,514309.15,0.00,548376.00,
56,Saadia Mai,Montbret 15554,Exports,1754,4,Amandes ; en coques,Flandre,,53.40,514309.15,0.00,548376.00,
57,Saadia Mai,Montbret 15555,Exports,1754,4,Amandes ; en coques,Hollande,,33861.80,514309.15,0.00,548376.00,
58,Saadia Mai,Montbret 15556,Exports,1754,4,Amandes ; en coques,Isles,,24316.30,514309.15,0.00,548376.00,
59,Saadia Mai,Montbret 15557,Exports,1754,4,Amandes ; en coques,Italie,,228789.75,514309.15,0.00,548376.00,
60,Saadia Mai,Montbret 15558,Exports,1754,4,Amandes ; en coques,Levant,,107966.20,514309.15,0.00,548376.00,
61,Saadia Mai,Montbret 15559,Exports,1754,4,Amandes ; en coques,Nord,,85389.40,514309.15,0.00,548376.00,
62,Saadia Mai,Montbret 15560,Exports,1754,4,Amandes ; en coques,Russie,,136.50,514309.15,0.00,548376.00,
63,Saadia Mai,Montbret 15561,Exports,1754,4,Amandes ; en coques,Savoye,,11288.00,514309.15,0.00,548376.00,
64,Saadia Mai,Montbret 15562,Exports,1754,4,Amandes ; en coques,Suede,,279.30,514309.15,0.00,548376.00,
65,Saadia Mai,Montbret 15563,Exports,1754,4,Amandes ; en coques,Suisse,,360.00,514309.15,0.00,548376.00,
66,Saadia Mai,Montbret 15564,Exports,1754,4,ambre,Levant,,200.00,0.00,0.00,0.00,
67,Saadia Mai,Montbret 15565,Exports,1754,4,Amecons,Guinee,,60.00,0.00,0.00,303.50,
68,Saadia Mai,Montbret 15566,Exports,1754,4,Amecons,Isles,,243.50,0.00,0.00,303.50,
69,Saadia Mai,Montbret 15567,Exports,1754,4,Amidon,Allemagne,,2942.00,0.00,0.00,102784.15,
70,Saadia Mai,Montbret 15568,Exports,1754,4,Amidon,Angleterre,,2342.35,0.00,0.00,102784.15,
71,Saadia Mai,Montbret 15569,Exports,1754,4,Amidon,Espagne,,3777.60,0.00,0.00,102784.15,
72,Saadia Mai,Montbret 15570,Exports,1754,4,Amidon,Flandre,,70662.40,0.00,0.00,102784.15,
73,Saadia Mai,Montbret 15571,Exports,1754,4,Amidon,Isles,,2499.00,0.00,0.00,102784.15,
74,Saadia Mai,Montbret 15572,Exports,1754,4,Amidon,Italie,,10805.80,0.00,0.00,102784.15,
75,Saadia Mai,Montbret 15573,Exports,1754,4,Amidon,Levant,,2061.80,0.00,0.00,102784.15,
76,Saadia Mai,Montbret 15574,Exports,1754,4,Amidon,Nord,,32.00,0.00,0.00,102784.15,
77,Saadia Mai,Montbret 15575,Exports,1754,4,Amidon,Portugal,,6000.00,0.00,0.00,102784.15,
78,Saadia Mai,Montbret 15576,Exports,1754,4,Amidon,Savoye,,437.80,0.00,0.00,102784.15,
79,Saadia Mai,Montbret 15577,Exports,1754,4,Amidon,Suisse,,1223.40,0.00,0.00,102784.15,
80,Saadia Mai,Montbret 15578,Exports,1754,4,Anabas,Guinee,,268490.00,0.00,0.00,0.00,
81,Milewski,Montbret 15579,Exports,1754,5,Anchois,Allemagne,,6.00,0.00,0.00,16774.30,
82,Milewski,Montbret 15580,Exports,1754,5,Anchois,Angleterre,,364.05,0.00,0.00,16774.30,
83,Milewski,Montbret 15581,Exports,1754,5,Anchois,Danemark,,125.60,0.00,0.00,16774.30,
84,Milewski,Montbret 15582,Exports,1754,5,Anchois,Espagne,,322.00,0.00,0.00,16774.30,
85,Milewski,Montbret 15583,Exports,1754,5,Anchois,Flandre,,399.00,0.00,0.00,16774.30,
86,Milewski,Montbret 15584,Exports,1754,5,Anchois,Guinée,,240.00,0.00,0.00,16774.30,
87,Milewski,Montbret 15585,Exports,1754,5,Anchois,Hollande,,2150.00,0.00,0.00,16774.30,
88,Milewski,Montbret 15586,Exports,1754,5,Anchois,Isles,,7297.00,0.00,0.00,16774.30,
89,Milewski,Montbret 15587,Exports,1754,5,Anchois,Nord,,1643.50,0.00,0.00,16774.30,
90,Milewski,Montbret 15588,Exports,1754,5,Anchois,Russie,,1030.80,0.00,0.00,16774.30,
91,Milewski,Montbret 15589,Exports,1754,5,Anchois,Savoye ,,2589.00,0.00,0.00,16774.30,
92,Milewski,Montbret 15590,Exports,1754,5,Anchois,Suede,,353.10,0.00,0.00,16774.30,
93,Milewski,Montbret 15591,Exports,1754,5,Anchois,Suisse,,254.25,0.00,0.00,16774.30,
94,Milewski,Montbret 15592,Exports,1754,5,Ancres ; de fer,Angleterre,,125.00,0.00,0.00,8844.25,
95,Milewski,Montbret 15593,Exports,1754,5,Ancres ; de fer,Espagne,,2740.50,0.00,0.00,8844.25,
96,Milewski,Montbret 15594,Exports,1754,5,Ancres ; de fer,Isles,,4655.00,0.00,0.00,8844.25,
97,Milewski,Montbret 15595,Exports,1754,5,Ancres ; de fer,Italie,,1323.75,0.00,0.00,8844.25,
98,Milewski,Montbret 15596,Exports,1754,5,Andouilles,Guinée,,674.00,0.00,0.00,0.00,
99,Milewski,Montbret 15597,Exports,1754,5,Anguilles,Allemagne,,675.00,0.00,0.00,1275.00,
100,Milewski,Montbret 15598,Exports,1754,5,Anguilles,Flandre,,600.00,0.00,0.00,1275.00,
101,Milewski,Montbret 15599,Exports,1754,5,Anis,Allemagne,,175.00,0.00,0.00,12823.00,
102,Milewski,Montbret 155100,Exports,1754,5,Anis,Angleterre,,344.80,0.00,0.00,12823.00,
