numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Acier,Espagne,4120,,,,,,5753,,,,,,,,,,,
1,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Allemagne,31309.1,,,,,,227438.6,,,,,,,,,,,
2,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Acier,Isles,1540,,,,,,5753,,,,,,,,,,,
2,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Danemark,6185,,,,,,227438.6,,,,,,,,,,,
3,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Acier,Levant,63,,,,,,5753,,,,,,,,,,,
3,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Espagne,43.8,,,,,,227438.6,,,,,,,,,,,
4,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Acier,Savoye,30,,,,,,5753,,,,,,,,,,,
4,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Flandre,973,,,,,,227438.6,,,,,,,,,,,
5,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agneaux,Allemagne,212,,,,,,227,,,,,,,,,,,
5,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Geneve,33,,,,,,227438.6,,,,,,,,,,,
6,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agneaux,Espagne,15,,,,,,227,,,,,,,,,,,
6,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Hollande,88358.5,,,,,,227438.6,,,,,,,,,,,
7,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de fil,Allemagne,192,,,,,,10464.8,,488.7999877929688,,,,,,,,,
7,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Italie,3500,,,,,,227438.6,,,,,,,,,,,
8,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de fil,Flandre,20,,,,,,10464.8,,488.7999877929688,,,,,,,,,
8,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Genes,9128,,,,,,227438.6,,,,,,,,,,,
9,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de fil,Hollande,243,,,,,,10464.8,,488.7999877929688,,,,,,,,,
9,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Nord,14158.1,,,,,,227438.6,,,,,,,,,,,
10,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de fil,Savoye,33.8,,,,,,10464.8,,488.7999877929688,,,,,,,,,
10,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Savoye,27.5,,,,,,227438.6,,,,,,,,,,,
11,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; d'or,Russie,425,,,,,,10464.8,,,,,,,,,,,
11,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Suede,71220.8,,,,,,227438.6,,,,,,,,,,,
12,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; or et argent,Hollande,112.5,,,,,,10464.8,,,,,,,,,,,
12,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Acier,Suisse,2502,,,,,,227438.6,,,,,,,,,,,
13,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de soye,Allemagne,2400,,,,,,10464.8,,9438.5,,,,,,,,,
13,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Agaric,Hollande,826,,,,,,0,,,,,,,,,,,
14,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de soye,Angleterre,240,,,,,,10464.8,,9438.5,,,,,,,,,
14,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Ajamier,Genes,1350,,,,,,167661,,,,,,,,,,,
15,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de soye,Espagne,937.5,,,,,,10464.8,,9438.5,,,,,,,,,
15,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,2,Ajamier,Levant,166311,,,,,,167661,,,,,,,,,,,
16,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de soye,Flandre,2886,,,,,,10464.8,,9438.5,,,,,,,,,
16,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Aigre de vitriol,Hollande,8900.6,,,,,,0,,,,,,,,,,,
17,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de soye,Hollande,2475,,,,,,10464.8,,9438.5,,,,,,,,,
17,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Aiguilles,Allemagne,348410,,,,,,376956,,,,,,,,,,,
18,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Agrements ; de soye,Genes,500,,,,,,10464.8,,9438.5,,,,,,,,,
18,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Aiguilles,Flandre,25150,,,,,,376956,,,,,,,,,,,
19,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Ajamis,Espagne,35757,,,,,,68679,,,,,,,,,,,
19,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Aiguilles,Hollande,3141,,,,,,376956,,,,,,,,,,,
20,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Ajamis,Italie,29610,,,,,,68679,,,,,,,,,,,
20,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Aiguilles,Savoye,255,,,,,,376956,,,,,,,,,,,
21,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Ajamis,Naples,900,,,,,,68679,,,,,,,,,,,
21,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Ails,Espagne,4465.8,,,,,,5512.8,,,,,,,,,,,
22,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Ajamis,Levant,720,,,,,,68679,,,,,,,,,,,
22,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Ails,Italie,7,,,,,,5512.8,,,,,,,,,,,
23,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,2,Ajamis,Savoye,1692,,,,,,68679,,,,,,,,,,,
23,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Ails,Genes,1040,,,,,,5512.8,,,,,,,,,,,
24,Saadia Mai,Montbret 155-1,Objet Général,1761,Exports,,,3,Aiguilles,Flandre,3601.3,,,,,,3616.3,,,,,,,,,,,
24,Saadia Mai,Montbret 155-1,Objet Général,1761,Imports,,,3,Alaisnes,Hollande,180,,,,,,0,,,,,,,,,,,
