year,marchandises,value,quantit,quantity_unit_
1733,Alun,0,,
1733,Beurre; vers Hambourg,1495,,
1733,Blanc ; de baleine ; vers Hambourg,0,,
1733,Bois ; de Pernanbuco,0,,
1733,Bois ; de teinture ; vers Hambourg,500,,
1733,Bougie ; de suif,0,,
1733,Cacao ; vers Hambourg,0,,
1733,Café ; vers Hambourg,186836,,
1733,Cochenille,0,,
1733,Coton ; autre et de Méditerranée,0,,
1733,Coton ; autre et de Méditerranée,1650,,
1733,Eau ; de vie ; vers Hambourg,124665,,
1733,Fer ; vers Hambourg,0,,
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",87065,,
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",8100,,
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,,
1733,"Fruits ; divers ; amandes, pelures, raisins, prunes",43805,,
1733,Galle,19580,,
1733,Gingembre,4380,,
1733,Gomme ; vers Hambourg,24930,,
1733,Goudron ; de Suède ; vers Hambourg,0,,
1733,Grammes argent ; mark banco,8.350526809692383,,
1733,Huile ; d'olive ; blanc ; de Gènes,2170,,
1733,Huile ; de baleine ; vers Hambourg,20,,
1733,Indigo,226772,,
1733,Minium,0,,
1733,Oxyde ; de plomb,0,,
1733,Plombs,1000,,
1733,Poivre ; blanc-noir,1200,,
1733,Potasse ; vers Hambourg,58,,
1733,Riz ; vers Hambourg,8100,,
1733,Safran ; orange,700,,
1733,Savon ; vers Hambourg,4450,,
1733,Sucre ; cru blanc ; du Brésil,2148770.75,,
1733,Suif ; pour faire du savon,0,,
1733,Sumac,2940,,
1733,Tabac ; de Virginie ; vers Hambourg,2260,,
1733,Tartre ; vers Hambourg,1200,,
1733,Thé ; boue,126611,,
1733,Térébenthine,3025,,
1733,Vert-de-gris,12200,,
1733,Vin ; de France ; vers Hambourg,673897,,
1733,Vinaigre ; vers Hambourg,12287,,
1733,Vitriol ; blanc,160,,
1734,Alun,0,,
1734,Beurre; vers Hambourg,0,,
1734,Blanc ; de baleine ; vers Hambourg,0,,
1734,Bois ; de Pernanbuco,0,,
1734,Bois ; de teinture ; vers Hambourg,200,,
1734,Bougie ; de suif,0,,
1734,Cacao ; vers Hambourg,0,,
1734,Café ; vers Hambourg,171335,,
1734,Cochenille,0,,
1734,Coton ; autre et de Méditerranée,0,,
1734,Coton ; autre et de Méditerranée,400,,
1734,Eau ; de vie ; vers Hambourg,154610,,
1734,Fer ; vers Hambourg,0,,
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",0,,
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",175,,
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",8723,,
1734,"Fruits ; divers ; amandes, pelures, raisins, prunes",33845,,
1734,Galle,9770,,
1734,Gingembre,6650,,
1734,Gomme ; vers Hambourg,38400,,
1734,Goudron ; de Suède ; vers Hambourg,0,,
1734,Grammes argent ; mark banco,8.350526809692383,,
1734,Huile ; d'olive ; blanc ; de Gènes,2956,,
1734,Huile ; de baleine ; vers Hambourg,0,,
1734,Indigo,191825,,
1734,Minium,0,,
1734,Oxyde ; de plomb,350,,
1734,Plombs,0,,
1734,Poivre ; blanc-noir,0,,
1734,Potasse ; vers Hambourg,0,,
1734,Riz ; vers Hambourg,0,,
1734,Safran ; orange,9750,,
1734,Savon ; vers Hambourg,1010,,
1734,Sucre ; cru blanc ; du Brésil,1791953,,
1734,Suif ; pour faire du savon,0,,
1734,Sumac,840,,
1734,Tabac ; de Virginie ; vers Hambourg,333,,
1734,Tartre ; vers Hambourg,800,,
1734,Thé ; boue,10700,,
1734,Térébenthine,2975,,
1734,Vert-de-gris,4450,,
1734,Vin ; de France ; vers Hambourg,365148,,
1734,Vinaigre ; vers Hambourg,10702,,
1734,Vitriol ; blanc,0,,
1735,Alun,,,
1735,Beurre; vers Hambourg,,,
1735,Blanc ; de baleine ; vers Hambourg,,,
1735,Bois ; de Pernanbuco,,,
1735,Bougie ; de suif,,,
1735,Cacao ; vers Hambourg,,,
1735,Café ; vers Hambourg,,,
1735,Cochenille,,,
1735,Coton ; autre et de Méditerranée,,,
1735,Coton ; autre et de Méditerranée,,,
1735,Eau ; de vie ; vers Hambourg,,,
1735,Fer ; vers Hambourg,,,
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,
1735,"Fruits ; divers ; amandes, pelures, raisins, prunes",,,
1735,Galle,,,
1735,Gingembre,,,
1735,Gomme ; vers Hambourg,,,
1735,Goudron ; de Suède ; vers Hambourg,,,
1735,Grammes argent ; mark banco,8.350526809692383,,
1735,Huile ; d'olive ; blanc ; de Gènes,,,
1735,Huile ; de baleine ; vers Hambourg,,,
1735,Indigo,,,
1735,Minium,,,
1735,Oxyde ; de plomb,,,
1735,Plombs,,,
1735,Poivre ; blanc-noir,,,
1735,Potasse ; vers Hambourg,,,
1735,Riz ; vers Hambourg,,,
1735,Safran ; orange,,,
1735,Savon ; vers Hambourg,,,
