numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
1,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Cacao,Iles Françaises de l’Amérique,38 815,77 632,429 433,livres,,0
2,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bordeaux,Bordeaux,2,Cacao,Iles Françaises de l’Amérique,151 349,302 699,429 433,livres,,0
3,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,La Rochelle,La Rochelle,2,Cacao,Iles Françaises de l’Amérique,3 522,7 045,429 433,livres,,0
4,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Nantes,Nantes,2,Cacao,Iles Françaises de l’Amérique,83 537,167 077,429 433,livres,,0
5,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Saint-Malo,Saint-Malo,2,Cacao,Iles Françaises de l’Amérique,511,1 022,429 433,livres,,0
6,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Le Havre,2,Cacao,Iles Françaises de l’Amérique,46 958,93 916,429 433,livres,,0
7,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Rouen,Honfleur,2,Cacao,Iles Françaises de l’Amérique,2 211,4 422,429 433,livres,,0
8,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Lille,Dunkerque,2,Cacao,Iles Françaises de l’Amérique,4 414,8 830,429 433,livres,,0
9,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Toulon,Toulon,2,Cacao,Iles Françaises de l’Amérique,3,6,429 433,livres,,0
10,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Marseille,Marseille,2,Cacao,Iles Françaises de l’Amérique,98 113,196 227,429 433,livres,,0
