numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,direction,pays,marchandises,quantit,quantity_unit,value,remarks
1,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Bas de laine en Coton,4500,livres,34000,
2,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Draperie de laine,6670,livres,67000,
3,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Etoffes de laine,10485,livres,79000,
4,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Etoffes de Coton,18274,livres,274000,
5,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Toiles de Bazin,3970,livres,48000,
6,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Toiles de coton,28704,livres,169000,
7,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Mousselines,334,pièces,20000,pièces pesant 900 livres
8,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Fayence,,valeur,22000,
9,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Mercerie,5000,livres,13000,
10,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Peaux diverses,35700,livres,89000,
11,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Quincaillerie comune,6245,livres,12000,
12,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Tabac en feuilles,108720,livres,38000,
13,Demba,AN F12 835,National par direction/AN/F_12_835/Angleterre 1787.csv,National par direction,10 mars-31 décembre 1787,18,Imports,Béarn,Angleterre,Cacao,15300,livres,20000,
