quantity_unit,quantity_unit_orthographe,quantity_unit_ajustees,u_conv,q_conv,remarque_unit,incertitude_unit,source_hambourg,missing,need_marchandises,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ajustees
?,????,????,,,,,,,,1,12,224943
??,????,????,,,,,,,,1,1,224943
????,????,????,,,,1,0,,0,1,148,230
???? an,???? an,????,,,,1,0,,0,1,1,230
???? Aunes,???? aunes,????,,,,1,0,,0,1,1,230
???? aunes,???? aunes,????,,,,1,0,,0,1,3,230
???? aunes ou livres,???? aunes ou livres,????,,,,1,0,,0,1,1,230
???? B,???? b,????,,,,1,0,,0,1,1,230
???? bann,???? bann,????,,,,1,0,,0,1,3,230
???? Bar,???? bar,????,,,,1,0,,0,1,1,230
???? boileaux,???? boileaux,????,,,,1,0,,0,1,1,230
???? boir X,???? boir x,????,,,,1,0,,0,1,2,230
???? boisses,???? boisses,????,,,,1,0,,0,1,1,230
???? boucoud,???? boucoud,????,,,,1,0,,0,1,1,230
???? boue(c)s,???? boue(c)s,????,,,,1,0,,0,1,2,230
???? boul,???? boul,????,,,,1,0,,0,1,1,230
???? bout s,???? bout s,????,,,,1,0,,0,1,12,230
???? bouteilles,???? bouteilles,????,,,,1,0,,0,1,1,230
???? caps,???? caps,????,,,,1,0,,0,1,1,230
???? cha,???? cha,????,,,,1,0,,0,1,1,230
???? charres,???? charres,????,,,,1,0,,0,1,1,230
???? cou,???? cou,????,,,,1,0,,0,1,1,230
???? de la bour.,???? de la bour.,????,,,,1,0,,0,1,2,230
???? grosses,???? grosses,????,,,,1,0,,0,1,2,230
???? LC dit peut être fausse valeur,???? lc dit peut être fausse valeur,????,,,,1,0,,0,1,1,230
???? livres,???? livres,????,,,,1,0,,0,1,2,230
???? livres x,???? livres x,????,,,,1,0,,0,1,1,230
???? lotes,???? lotes,????,,,,1,0,,0,1,1,230
???? m,???? m,????,,,,1,0,,0,1,2,230
???? malls,???? malls,????,,,,1,0,,0,1,1,230
???? maq s,???? maq s,????,,,,1,0,,0,1,1,230
???? mo,???? mo,????,,,,1,0,,0,1,1,230
???? mot,???? mot,????,,,,1,0,,0,1,2,230
???? mottes,???? mottes,????,,,,1,0,,0,1,1,230
???? p,???? p,????,,,,1,0,,0,1,2,230
???? paquets,???? paquets,????,,,,1,0,,0,1,1,230
???? pièces,???? pièces,????,,,,1,0,,0,1,2,230
???? po/ans,???? po/ans,????,,,,1,0,,0,1,1,230
???? quar,???? quar,????,,,,1,0,,0,1,1,230
???? Rien,???? rien,????,,,,1,0,,0,1,9,230
???? scdes,???? scdes,????,,,,1,0,,0,1,1,230
???? teinpettes,???? teinpettes,????,,,,1,0,,0,1,1,230
???? tonnage,???? tonnage,????,,,,1,0,,0,1,4,230
???? tonneaux,???? tonneaux,????,,,,1,0,,0,1,1,230
???? tonnes,???? tonnes,????,,,,1,0,,0,1,1,230
???? tours,???? tours,????,,,,1,0,,0,1,1,230
???? W,???? w,????,,,,1,0,,0,1,1,230
???? wades,???? wades,????,,,,1,0,,0,1,1,230
???? wagues,???? wagues,????,,,,1,0,,0,1,1,230
???? weltes,???? weltes,????,,,,1,0,,0,1,1,230
(1) Milliers,(1) milliers,,,,,,,,,1,1,224943
(10) Milliers,(10) milliers,,,,,,,,,1,2,224943
(109)Milliers,(109)milliers,,,,,,,,,1,1,224943
(12) Milles carreaux,(12) milles carreaux,,,,,,,,,1,1,224943
(12) Milliers,(12) milliers,,,,,,,,,1,1,224943
(128) Milliers,(128) milliers,,,,,,,,,1,1,224943
"(15,5) Douzaines de paires","(15,5) douzaines de paires",,,,,,,,,1,2,224943
(15) Milliers,(15) milliers,,,,,,,,,1,1,224943
(17941) Milliers,(17941) milliers,,,,,,,,,1,1,224943
(18) Milliers,(18) milliers,,,,,,,,,1,2,224943
(2) Douzaines,(2) douzaines,,,,,,,,,1,2,224943
(20) Milliers,(20) milliers,,,,,,,,,1,1,224943
(222) Milliers,(222) milliers,,,,,,,,,1,1,224943
(233) Milliers,(233) milliers,,,,,,,,,1,1,224943
(240) Milliers,(240) milliers,,,,,,,,,1,1,224943
(25) Douzaines,(25) douzaines,,,,,,,,,1,1,224943
(25) Milliers,(25) milliers,,,,,,,,,1,3,224943
(25)Milliers,(25)milliers,,,,,,,,,1,1,224943
(28) Milliers,(28) milliers,,,,,,,,,1,1,224943
(280) Milliers,(280) milliers,,,,,,,,,1,1,224943
(3) Milliers,(3) milliers,,,,,,,,,1,2,224943
(38) Milliers,(38) milliers,,,,,,,,,1,1,224943
(4) Douzaines de paires,(4) douzaines de paires,,,,,,,,,1,1,224943
(44) Milliers,(44) milliers,,,,,,,,,1,1,224943
(4461) Milliers,(4461) milliers,,,,,,,,,1,1,224943
(48) Milliers,(48) milliers,,,,,,,,,1,1,224943
(5) douzaines,(5) douzaines,,,,,,,,,1,1,224943
(5) Milliers,(5) milliers,,,,,,,,,1,2,224943
(59) Milliers,(59) milliers,,,,,,,,,1,1,224943
(6) Milliers,(6) milliers,,,,,,,,,1,1,224943
(60) Milliers,(60) milliers,,,,,,,,,1,1,224943
(600) Milliers,(600) milliers,,,,,,,,,1,1,224943
(651) Milliers,(651) milliers,,,,,,,,,1,1,224943
"(685,5) Milliers","(685,5) milliers",,,,,,,,,1,1,224943
(75) Milliers,(75) milliers,,,,,,,,,1,1,224943
(76) Milliers,(76) milliers,,,,,,,,,1,1,224943
(89) Milliers,(89) milliers,,,,,,,,,1,1,224943
(95) Milliers,(95) milliers,,,,,,,,,1,1,224943
#,#,,,,,,,,,1,4,224943
# Valeur,# valeur,,,,,,,,,1,21,224943
10  pieds,10  pieds,,,,,,,,,1,1,224943
10 à 11 pied,10 à 11 pieds,,,,,,,,,1,2,224943
10 a 11 pieds,10 à 11 pieds,,,,,,,,,1,9,224943
10 à 12 palmes,10 à 12 palmes,,,,,,,,,1,1,224943
10 à 12 pied,10 à 12 pieds,,,,,,,,,1,1,224943
10 a 12 pieds,10 à 12 pieds,,,,,,,,,1,4,224943
10 à 12 pieds,10 à 12 pieds,,,,,,,,,1,3,224943
10 a 18 pieds,10 à 18 pieds,,,,,,,,,1,1,224943
10 a11  pieds,10 à 11 pieds,,,,,,,,,1,1,224943
10 a12 pieds,10 à 12 pieds,,,,,,,,,1,1,224943
10 pied,10 pieds,,,,,,,,,1,1,224943
10 pieds,10 pieds,,,,,,,,,1,6,224943
"10,12 a 14 pieds","10,12 à 14 pieds",,,,,,,,,1,1,224943
11 a 12 pieds,11 à 12 pieds,,,,,,,,,1,2,224943
11 a 13 palmes,11 à 13 palmes,,,,,,,,,1,1,224943
11 let=132 baril,11 let = 132 baril,,,,,,,,,1,1,224943
11 pieds,11 pieds,,,,,,,,,1,7,224943
12 a 13 palmes,12 à 13 palmes,,,,,,,,,1,1,224943
12 à 14 pieds,12 à 14 pieds,,,,,,,,,1,1,224943
12 à 16 pieds,12 à 16 pieds,,,,,,,,,1,1,224943
12 à 18 pieds,12 à 18 pieds,,,,,,,,,1,1,224943
12 à 20 pieds,12 à 20 pieds,,,,,,,,,1,1,224943
12 flacons,12 flacons,,,,,,,,,1,2,224943
12 palmes,12 palmes,,,,,,,,,1,1,224943
12 paumes de grosseur,12 paumes de grosseur,,,,,,,,,1,2,224943
12 pied,12 pied,,,,,,,,,1,1,224943
12 pieds,12 pieds,,,,,,,,,1,6,224943
13 à 16 pieds,13 à 16 pieds,,,,,,,,,1,1,224943
13 a 20 palmes,13 à 20 palmes,,,,,,,,,1,1,224943
13 a 25 palmes,13 à 25 palmes,,,,,,,,,1,1,224943
13 pieds,13 pieds,,,,,,,,,1,1,224943
130 (Millier),130 (millier),,,,,,,,,1,1,224943
14 a 16 pieds,14 à 16 pieds,,,,,,,,,1,1,224943
14 palmes,14 palmes,,,,,,,,,1,2,224943
14 pieds,14 pieds,,,,,,,,,1,2,224943
15 a 16 pieds,15 à 16 pieds,,,,,,,,,1,1,224943
15 a 20 pieds,15 à 20 pieds,,,,,,,,,1,1,224943
15 pieds,15 pieds,,,,,,,,,1,6,224943
15 pieds de long,15 pieds de long,,,,,,,,,1,1,224943
16 à 17 paume de grosseur,16 à 17 paume de grosseur,,,,,,,,,1,1,224943
16 a 18 pieds,16 à 18 pieds,,,,,,,,,1,1,224943
16 pieds,16 pieds,,,,,,,,,1,1,224943
18 a 21 pieds,18 à 21 pieds,,,,,,,,,1,1,224943
18 pieds,18 pieds,,,,,,,,,1,6,224943
20 a 22 pieds,20 à 22 pieds,,,,,,,,,1,1,224943
20 a 25 palmes,20 à 25 palmes,,,,,,,,,1,1,224943
20 a 30 pieds,20 à 30 pieds,,,,,,,,,1,1,224943
20 pieces,20 pièces,,,,,,,,,1,1,224943
20 pieds,20 pieds,,,,,,,,,1,8,224943
21  pieds,21 pieds,,,,,,,,,1,1,224943
21 à 22 pieds,21 à 22 pieds,,,,,,,,,1,1,224943
22 pieds,22 pieds,,,,,,,,,1,2,224943
24 à 30 pieds,24 à 30 pieds,,,,,,,,,1,1,224943
24 pieds,24 pieds,,,,,,,,,1,3,224943
25 a 30 pieds,25 à 30 pieds,,,,,,,,,1,3,224943
25 à 30 pieds,25 à 30 pieds,,,,,,,,,1,2,224943
25 pieces,25 pièces,,,,,,,,,1,1,224943
25 pieds,25 pieds,,,,,,,,,1,4,224943
26 pieds,26 pieds,,,,,,,,,1,2,224943
27 pieds,27 pieds,,,,,,,,,1,3,224943
3 a 4 pieds,3 à 4 pieds,,,,,,,,,1,2,224943
3 petits Barils,3 petits barils,,,,,,,,,1,1,224943
30 à 35 pieds,30 à 35 pieds,,,,,,,,,1,1,224943
30 à 36 pieds,30 à 36 pieds,,,,,,,,,1,1,224943
30 a 40 pieds,30 à 40 pieds,,,,,,,,,1,1,224943
30 pied,30 pied,,,,,,,,,1,1,224943
30 pieds,30 pieds,,,,,,,,,1,9,224943
31 pieds,31 pieds,,,,,,,,,1,1,224943
33 pieds,33 pieds,,,,,,,,,1,1,224943
36 pieds,36 pieds,,,,,,,,,1,1,224943
4 (Milliers),4 (milliers),,,,,,,,,1,1,224943
40 pieds,40 pieds,,,,,,,,,1,2,224943
42 pieds,42 pieds,,,,,,,,,1,1,224943
450 Feuilles,450 feuilles,,,,,,,,,1,1,224943
48 à 50 pieds,48 à 50 pieds,,,,,,,,,1,2,224943
48 pieds,48 pieds,,,,,,,,,1,1,224943
5 a 6 pieds,5 à 6 pieds,,,,,,,,,1,2,224943
5 douzaines,5 douzaines,,,,,,,,,1,1,224943
5 pieds,5 pieds,,,,,,,,,1,2,224943
50 pieds,50 pieds,,,,,,,,,1,1,224943
52 pieds,52 pieds,,,,,,,,,1,1,224943
6 a 15 pieds,6 à 15 pieds,,,,,,,,,1,1,224943
6 à 7 paume de grosseur,6 à 7 paume de grosseur,,,,,,,,,1,1,224943
6 a 7 pieds,6 à 7 pieds,,,,,,,,,1,1,224943
6 à 7 pieds,6 à 7 pieds,,,,,,,,,1,1,224943
6 flacons,6 flacons,,,,,,,,,1,3,224943
6 pieds,6 pieds,,,,,,,,,1,1,224943
600 Feuilles,600 feuilles,,,,,,,,,1,1,224943
66 pieds,66 pieds,,,,,,,,,1,1,224943
7 a 11 palmes,7 à 11 palmes,,,,,,,,,1,1,224943
7 a 13 palmes,7 à 13 palmes,,,,,,,,,1,1,224943
7 a 8 pieds,7 à 8 pieds,,,,,,,,,1,3,224943
7 a 9 palmes,7 à 9 palmes,,,,,,,,,1,1,224943
7 a 9 pieds,7 à 9 pieds,,,,,,,,,1,2,224943
"7 Feuilles a 7,5 pieds de chars","7 feuilles à 7,5 pieds de chars",,,,,,,,,1,1,224943
7 pieds,7 pieds,,,,,,,,,1,1,224943
8 a 12 pieds,8 à 12 pieds,,,,,,,,,1,1,224943
8 à 12 pieds,8 à 12 pieds,,,,,,,,,1,1,224943
8 a 9 pieds,8 à 9 pieds,,,,,,,,,1,7,224943
8 à 9 pieds,8 à 9 pieds,,,,,,,,,1,1,224943
8 flacons,8 flacons,,,,,,,,,1,1,224943
8 pieds,8 pieds,,,,,,,,,1,7,224943
9 à 10 pied,9 à 10 pieds,,,,,,,,,1,2,224943
9 a 10 pieds,9 à 10 pieds,,,,,,,,,1,12,224943
9 à 10 pieds,9 à 10 pieds,,,,,,,,,1,1,224943
9 a 10-11 pieds,9 à 10-11 pieds,,,,,,,,,1,1,224943
9 a 12 palmes,9 à 12 palmes,,,,,,,,,1,1,224943
9 a 18 pied,9 à 18 pied,,,,,,,,,1,1,224943
