pays,pays_corriges,pays_regroupes
"Etats ecclésiastiques","États ecclésiastiques","Italie"
"Etats eclesiastiques","États ecclésiastiques","Italie"
"Etats unis","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats unis d'Amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats unis d'amériques","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats unis de l'amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'Amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'Amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-unis d'Amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Flandre","Flandre","Flandre"
"Flandre Autrichienne","Flandre","Flandre"
"Flandres","Flandre","Flandre"
"Furde","Flandre","Flandre"
"GENES","Gênes","Italie"
"Genes","Gênes","Italie"
"Genese","Gênes","Italie"
"Geneve","Genève","Suisse"
"Geneve -Suisse","Genève-Suisse","Suisse"
"Gennes","Gennes","Suisse"
"Genses","Gênes","Italie"
"Genéve","Genève","Suisse"
"Genève","Genève","Suisse"
"Guinee","Guinée","Guinée"
"Guinnée","Guinée","Guinée"
"Guinée","Guinée","Guinée"
"Gènes","Gênes","Italie"
"Gèneve","Genève","Suisse"
"Gênes","Gênes","Italie"
"Holande","Hollande","Hollande"
"Hollande","Hollande","Hollande"
"Holllande","Hollande","Hollande"
"Iles","Iles","Colonies"
"Inde","Indes","Indes"
"Indes","Indes","Indes"
"Isles","Iles","Colonies"
"Isles Françoises de l'Amerique, Canada et Terre-Neuve","Isles françaises","Colonies"
"Isles Françoises de l'Amerique, le Canada et Terre-neuve","Isles françaises","Colonies"
"Isles Françoises de l'Amerique, le Canada et Terre-neuves","Isles françaises","Colonies"
"Isles et Guinee","Isles et Guinée","Colonies"
"Italie","Italie","Italie"
"Le","Levant","Levant"
"Levant","Levant","Levant"
"Milane et toscane","Milanais-Toscane","Italie"
"Milanes de Toscane","Toscane","Italie"
"Milanes et toscane","Milanais-Toscane","Italie"
"Milanes et toscane et luques","Milanais-Toscane","Italie"
"Milanes-Toscana","Milanais-Toscane","Italie"
"Milanes-Toscane","Milanais-Toscane","Italie"
"Milanie Toscane","Toscane","Italie"
"Naples","Naples","Italie"
"Noples","Naples","Italie"
"Nord","Nord","Nord"
"Nord avec villes Anseatiques","Villes hanséatiques-Nord","Nord"
"Nord avec villes Anséatiques","Villes hanséatiques-Nord","Nord"
"Norde","Nord","Nord"
"Petites Isles","Petites Îles","Petites Îles"
"Pologne","Pologne","Nord"
"Portigal","Portugal","Portugal"
"Portogal","Portugal","Portugal"
"Portugal","Portugal","Portugal"
"Portugal, Isles Madere, Terceres et Acores","Portugal","Portugal"
"Pourtgal","Portugal","Portugal"
"Prusse","Prusse","Nord"
"Republique de Genes","Gênes","Italie"
"Republique de Gènes","Gênes","Italie"
"Republique de Suisse","Suisse","Suisse"
"Republique de Venise","Venise","Italie"
"Republique de genes","Gênes","Italie"
"Republique de suisse","Suisse","Suisse"
"Royaume d'Espagne","Espagne","Espagne"
"Royaume de Danemarck","Danemark","Nord"
"Royaume de Danemark","Danemark","Nord"
"Royaume de GENES","Gênes","Italie"
"Royaume de Genes","Gênes","Italie"
"Royaume de Hollande","Hollande","Hollande"
"Royaume de Naple","Naples","Italie"
"Royaume de Naples","Naples","Italie"
"Royaume de Portugal","Portugal","Portugal"
"Royaume de Potugal","Portugal","Portugal"
"Royaume de Prusse","Prusse","Allemagne"
"Royaume de Sardaigne","Sardaigne","Italie"
"Royaume de Suede","Suède","Nord"
"Royaume de Suède","Suède","Nord"
"Royaume de genes","Gênes","Italie"
"Royaume de naples","Naples","Italie"
"Royaume de portugal","Portugal","Portugal"
"Royaume de sardaigne","Sardaigne","Italie"
"Royaume de sue","Suède","Nord"
"Royaume de suede","Suède","Nord"
"Royaume de suède","Suède","Nord"
"Russa","Russie","Nord"
"Russie","Russie","Nord"
"République de Genes","Gênes","Italie"
"République de Gènes","Gênes","Italie"
"République de Suisse","Suisse","Suisse"
"République de VENISE","Venise","Italie"
"République de Venise","Venise","Italie"
"République de genes","Gênes","Italie"
"République de suisse","Suisse","Suisse"
"Sardaigne","Sardaigne","Italie"
"Savoie","Savoie","Italie"
"Savoye","Savoie","Italie"
"Savoye et Piemont","Savoie","Italie"
"Sud eclésiatique","États ecclésiastiques","Italie"
"Suede","Suède","Nord"
"Suifre","Suisse","Suisse"
"Suise","Suisse","Suisse"
"Suisse","Suisse","Suisse"
"Suisse et Geneve","Genève-Suisse","Suisse"
"Suisse-Geneve","Genève-Suisse","Suisse"
"Suui","Suisse","Suisse"
"Suède","Suède","Nord"
"Toscane","Toscane","Italie"
"Toseaux","Toscane","Italie"
"Trois Êvéchés","Trois Êvéchés","Trois Êvéchés"
"Venice","Venise","Italie"
"Venise","Venise","Italie"
"Venisr","Venise","Italie"
"Ville Auséatique","Villes hanséatiques","Nord"
"Ville anslatique","Villes hanséatiques","Nord"
"Ville auséatique","Villes hanséatiques","Nord"
"Ville d'anslatique","Villes hanséatiques","Nord"
"Villees Auséatiques","Villes hanséatiques","Nord"
"Villes Anséatiques","Villes hanséatiques","Nord"
"Villes Auséatiques","Villes hanséatiques","Nord"
"Villes anséatique","Villes hanséatiques","Nord"
"Villes anséatiques","Villes hanséatiques","Nord"
"Villes ausiatiques","Villes hanséatiques","Nord"
"Villes auséatiques","Villes hanséatiques","Nord"
"Villes hanséatiques","Villes hanséatiques","Nord"
"Villes***","Villes hanséatiques","Nord"
"allemagne","Allemagne","Allemagne"
"allemagneetpologne","Allemagne-Pologne","Allemagne"
"allmagne","Allemagne","Allemagne"
"angleterre","Angleterre","Angleterre"
"bayonne","Bayonne","France"
"bayonneillisible","Bayonne et ?","France"
"bayonnelorient","Bayonne et Lorient","France"
"bayonnemarseille","Bayonne et Marseille","Bayonne et Marseille"
"bouillon","Duché de Bouillon","Duché de Bouillon"
"danemark","Danemark","Nord"
"danemarketnorvge","Danemark","Nord"
"dunkerque","Dunkerque","France"
"dunkerquebayonnemarseille","Dunkerque, Bayonne et Marseille","France"
"dunkerquelorientpetitesislesb","Dunkerque, Lorient et Petites Îles","France"
"dunkerquemarseille","Dunkerque et Marseille","France"
"dunkerquepetitesisles","Dunkerque et Petites Îles","France"
"emperend","Flandre","Flandre"
"empereur","Flandre","Flandre"
"empire d'Aurtiche","Autriche","Autriche"
"empire d'Autriche","Autriche","Autriche"
"espagne","Espagne","Espagne"
"etats de l empereur","Flandre","Flandre"
"etats de l'empereur","Flandre","Flandre"
"etats de l'empreur","Flandre","Flandre"
"etats ecclésiastiques","États ecclésiastiques","Italie"
"etats eclésiastiques","États ecclésiastiques","Italie"
"etatsdelempereur","Flandre","Flandre"
"etatsecclesiastiques","États ecclésiastiques","Italie"
"etatsunisdamrique","États-Unis d'Amérique","États-Unis d'Amérique"
"eua","États-Unis d'Amérique","États-Unis d'Amérique"
"flandre","Flandre","Flandre"
"france_","France","France"
"gen","Gênes","Italie"
"genes","Gênes","Italie"
"geneve","Genève","Suisse"
"gennes","Gênes","Italie"
"genveetsuisse","Genève-Suisse","Suisse"
"gnes","Gênes","Italie"
"guinee","Guinée","Guinée"
"guinée","Guinée","Guinée"
"gènes","Gênes","Italie"
"hollande","Hollande","Hollande"
"ilesamer","Isles françaises","Colonies"
"indes","Indes","Indes"
"isles","Iles","Colonies"
"italie","Italie","Italie"
"les4villesansatiques","Villes hanséatiques","Nord"
"levant","Levant","Levant"
"lorient","Lorient","Lorient"
"lorientdunkerque","Dunkerque et Lorient","France"
"lorientmarseille","Lorient et Marseille","France"
"lorraine","Lorraine","Allemagne"
"marseillepetitesisles","Marseille et Petites Îles","France"
"marseilles","Marseille","Marseille"
"milanstoscaneetlucques","Milanais-Toscane","Italie"
"milantoscaneetlucques","Milanais-Toscane","Italie"
"naples","Naples","Italie"
"nord","Nord","Nord"
"petitesisles","Petites Îles","Petites Îles"
"pologne","Pologne","Nord"
"pologne - Geneve","Pologne-Genève","???"
"portugal","Portugal","Portugal"
"prusse","Prusse","Nord"
"republique de Suisse","Suisse","Suisse"
"russie","Russie","Nord"
"république de Suisse","Suisse","Suisse"
"sardaigne","Savoie","Italie"
"savoye","Savoie","Italie"
"savpie","Savoie","Italie"
"sude","Suède","Nord"
"suede","Suède","Nord"
"suisse","Suisse","Suisse"
"suisse geneve","Genève-Suisse","Suisse"
"suède","Suède","Nord"
"venise","Venise","Italie"
"ville anséatiques","Villes hanséatiques","Nord"
"villes ansiatiq","Villes hanséatiques","Nord"
"villes ansiatiques","Villes hanséatiques","Nord"
"villes anséatiques","Villes hanséatiques","Nord"
