numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,value,Valeur (Prix unitaire ,problem,remarks,Unverified
1,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Ajamis,Angleterre,390.00,pièces,9.0,,,9.0000000,3510,,,3510.00,"3,510.00",0.00,il manque des pages entre la page 2 (encens) et la page 3 (cloux de fer),
2,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Alun,Angleterre,200.00,livres,,6,,0.3000000,60,,,60.00,60.00,0.00,,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Amidon,Angleterre,"3,836.00",livres,,4,,0.2000000,765,,,765.00,767.20,-2.20,,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bas ; de coton,Angleterre,220.00,livres,5.0,,,5.0000000,1100,,,1100.00,"1,100.00",0.00,,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bas ; de soye,Angleterre,150.00,livres,40.0,,,40.0000000,6000,,,6000.00,"6,000.00",0.00,,
6,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bled ; froment,Angleterre,"2,423.00",charges,30.0,,,30.0000000,72690,,,72690.00,"72,690.00",0.00,,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bois ; bresil,Angleterre,308.00,livres,,5,,0.2500000,77,,,77.00,77.00,0.00,,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bois ; de campeche,Angleterre,"5,000.00",livres,,5,,0.2500000,1250,,,1250.00,"1,250.00",0.00,,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bouchons ; de liege,Angleterre,150.00,livres,3.0,,,3.0000000,450,,,450.00,450.00,0.00,,
10,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bray ; sec,Angleterre,"3,000.00",livres,,2,,0.1000000,300,,,300.00,300.00,0.00,,
11,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Bourgs,Angleterre,100.00,pièces,50.0,,,50.0000000,5000,,,5000.00,"5,000.00",0.00,,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Brun ; rouge,Angleterre,"2,234.00",livres,,1,,0.0500000,111,,,111.00,111.70,-0.70,,
13,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Cacao,Angleterre,"1,280.00",livres,,20,,1.0000000,1280,,,1280.00,"1,280.00",0.00,,
14,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Caffé,Angleterre,"8,515.00",livres,,15,,0.7500000,6385,,,6385.00,"6,386.25",-1.25,,
15,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Capres,Angleterre,600.00,livres,,6,,0.3000000,180,,,180.00,180.00,0.00,,
16,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Carreaux ; de marbre,Angleterre,500.00,en nombre,,20,,1.0000000,500,,,500.00,500.00,0.00,,
17,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Cendre ; potasse,Angleterre,"53,125.00",livres,,4,,0.2000000,10625,,,10625.00,"10,625.00",0.00,,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1767 (-).csv,Local,1767,Exports,Marseille,1,Ceruse,Angleterre,400.00,livres,,5,,0.2500000,100,,,100.00,100.00,0.00,,
