numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Ajamis,Marseille,Angleterre,50,pièces,9,450,0,
2,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Alun,Marseille,Angleterre,200,livres,"0,3",600,540,erreur unité
3,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Amidon,Marseille,Angleterre,1445,livres,"0,2",289,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Anis,Marseille,Angleterre,880,livres,"0,2",176,0,
5,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Arbres a planter,Marseille,Angleterre,60,en nombre,1,60,0,
6,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Bas de cotton,Marseille,Angleterre,200,livres,5,1000,0,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Bas de soye,Marseille,Angleterre,500,livres,40,20000,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Beurre,Marseille,Angleterre,500,livres,"0,4",200,0,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Bled froment,Marseille,Angleterre,1979,charges,30,59370,0,
10,Pascal Fontaine,Archives de la CCI de Marseille - I 24,Local/Marseille/Archives_de_la_CCI_de_Marseille-I24/Marseille – Exports – 1766.csv,Local,1,1766,Exports,Bois de Brezil,Marseille,Angleterre,200,livres,"0,25",50,0,
