numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Amiens,Alun,Angleterre,157600,Livres,"0,175",27580,0,
2,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Marseille,Alun,Angleterre,64000,Livres,"0,2",12800,0,
3,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Rouen,Alun,Angleterre,584732,Livres,"0,2",116946,"-0,4",
4,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Amiens,Argenterie,Angleterre,519,Marcs,48,24924,12,erreur de calcul
5,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Rouen,Argenterie,Angleterre,8,Marcs,50,400,0,
6,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Rouen,Avoine,Angleterre,832346,Livres,"0,05",41617,"-0,3",
7,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Amiens,Bas de laine,Angleterre,43,Paires,5,215,0,
8,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Amiens,Bœuf salé,Angleterre,1455,Livres,"0,3",436,"-0,5",
9,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Bordeaux,Bœuf salé,Angleterre,37070,Livres,"0,3",11121,0,
10,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,La Rochelle,Bœuf salé,Angleterre,26100,Livres,"0,3",7830,0,
11,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Nantes,Bœuf salé,Angleterre,351717,Livres,"0,2375",83532,"-0,79",
12,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Nantes,Bœuf salé,Angleterre,120,tierçons,60,7200,0,
13,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Nantes,Bœuf salé,Angleterre,300,Barils,50,15000,0,
14,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Rouen,Bœuf salé,Angleterre,"18858,75",Barils,48,905220,0,
15,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Bordeaux,Beurre,Angleterre,63340,Livres,"0,9",57006,0,
16,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,La Rochelle,Beurre,Angleterre,119945,Livres,"0,65",77964,"-0,25",
17,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Nantes,Beurre,Angleterre,420,Livres,"0,9",378,0,
18,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Rouen,Beurre,Angleterre,2256923,Livres,"0,55",1241307,"-0,65",
19,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Paris,Bierre,Angleterre,1500,Pintes,"0,25",375,0,
20,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Bordeaux,Bled froment,Angleterre,671230,Livres,"0,1",67123,0,
21,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Marseille,Bled froment,Angleterre,"415800,33",Livres,"0,1",41580,"-0,03",
22,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Imports,3,1777,Rouen,Bled froment,Angleterre,"2909496,33",Livres,"0,1",290949,"-0,63",
23,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Agremens de soye,Angleterre,"150,5",Livres,50,7525,0,
24,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Ajustemens,Angleterre,,,,450,0,
25,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Amandes,Angleterre,1781,Livres,"0,8",1357,"-67,8",erreur de calcul
26,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Montpellier,Amandes,Angleterre,116600,Livres,"0,2",23320,0,
27,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Rennes,Amandes,Angleterre,42,minots,50,2100,0,
28,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Rennes,Amidon,Angleterre,2815,Livres,"0,25",703,"-0,75",
29,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Rouen,Arbres a planter,Angleterre,,,,230,0,
30,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Argenterie,Angleterre,157,Marcs,57,8949,0,
31,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Amiens,Argenterie,Angleterre,30,Marcs,55,1650,0,
32,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Caen,Auges,Angleterre,11,Nombre,10,110,0,
33,Laura,IIHS-133,National par direction/IIHS-Amsterdam/Angleterre-1777.csv,National par direction (-),Exports,3,1777,Bordeaux,Bas de laine,Angleterre,676,Douzaines,36,24336,0,
