numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks
1,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Acier,Espagne,7775,20210.0,44618,livres,,,
2,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Acier,Hollande,1625,4645.0,44618,livres,,,
3,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Acier,Levant,5274,15070.0,44618,livres,,,
4,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Acier,Suisse,5600,16000.0,44618,livres,,,
5,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Acier,Isles,9803,27219.0,44618,livres,,,
6,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Acier,Guinée,1400,4000.0,44618,livres,,,
7,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Acier,Indes,13141,36460.0,44618,livres,,,
8,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Agneaux,Savoye,1130,565.0,,en nombre,,,
9,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Ajustements,Allemagne,6710,,9629,,,,
10,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Ajustements,Angleterre,2919,,9629,,,,
11,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Alun,Espagne,2090,10247.0,33243,livres,,,
12,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Alun,Hollande,1080,5400.0,33243,livres,,,
13,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Alun,Italie,4831,24155.0,33243,livres,,,
14,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Alun,Genes,5051,25255.0,33243,livres,,,
15,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Alun,Levant,18895,94475.0,33243,livres,,,
16,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Alun,Suisse,1296,5187.0,33243,livres,,,
17,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Amadou,Espagne,1440,1200.0,,livres,,,
18,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Amandes,Angleterre,2080,52.0,310953,balles,,,le total devrait être 31053
19,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,4,Amandes,Espagne,7414,37070.0,310953,livres,,,
20,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Hollande,37728,188633.0,310953,livres,,,
21,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Italie,9770,48850.0,310953,livres,,,
22,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Naples,6810,34050.0,310953,livres,,,
23,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Genes,28361,141805.0,310953,livres,,,
24,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Venise,11264,56320.0,310953,livres,,,
25,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Levant,48912,244570.0,310953,livres,,,
26,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Nord,19100,95500.0,310953,livres,,,
27,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Savoye,36384,113215.0,310953,livres,,,
28,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Suede,9370,46334.0,310953,livres,,,
29,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Isles,88805,418720.0,310953,livres,,,
30,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Guinée,2370,16350.0,310953,livres,,,
31,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amandes,Indes,1685,8425.0,310953,livres,,,
32,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Ambre,Guinée,13800,115.0,,livres,,,
33,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amidon,Flandre,71202,237342.0,85379,livres,,,
34,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amidon,Isles,12560,62800.0,85379,livres,,,
35,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Amidon,Indes,1617,8085.0,85379,livres,,,
36,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anchois,Espagne,2092,10460.0,24527,livres,,,
37,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anchois,Hollande,10014,26304.0,24527,livres,,,
38,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anchois,Italie,3635,7270.0,24527,livres,,,
39,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anchois,Levant,1810,3620.0,24527,livres,,,
40,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anchois,Nord,1452,2904.0,24527,livres,,,
41,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anchois,Isles,3187,4075.0,24527,flacons,,,
42,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anchois,Indes,2337,3116.0,24527,livres,,,
43,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anis,Savoye,1870,9350.0,3745,livres,,,
44,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Anis,Suede,1875,9375.0,3745,livres,,,
45,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Antimoine,Espagne,1105,2210.0,5110,livres,,,
46,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Antimoine,Hollande,2520,6300.0,5110,livres,,,
47,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Antimoine,Savoye,1485,9900.0,5110,livres,,,
48,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Arbres à planter,Angleterre,1398,2796.0,,livres,,,
49,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Ardoises,Flandre,6450,258.0,9352,milliers,,,
50,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Ardoises,Isles,2902,1812.0,9352,milliers,,,
51,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Argent ; vif,Levant,20870,4174.0,22070,livres,22070,,
52,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,6,Argent ; vif,Savoye,1200,240.0,22070,livres,22070,,
53,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Allemagne,39479,692.0,348488,marcs,,,
54,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Angleterre,29526,518.0,348488,marcs,,,
55,Saadia Mai,AN F12 243,National/Objet Général/AN Paris/F_12_243_1776/1776.csv,Objet Général,1776,Exports,8,Argenterie,Danemark,2878,50.0,348488,marcs,,,
