country,orthographic_normalization,note
Milanes-Toscana,Milanais-Toscane,
Etats unis d'Amerique,États-Unis d'Amérique,
Suisse-Geneve,Genève et Suisse,
Allemagne-Pologne,Allemagne-Pologne,
Etat de l'empreur,États de l'Empereur,
Barbarie,Barbarie,
Portigal,Portugal,
Genses,Gênes,
Etats unis,États-Unis,
Savoie,Savoie,
Venice,Venise,
Gèneve,Genève,
Portogal,Portugal,
Suui,Suisse,
gennes,Gênes,
Anlgeterre,Angleterre,
naples,Naples,
Russa,Russie,
GENES,Gênes,
genes,Gênes,
Noples,Naples,
Pourtgal,Portugal,
Isles et Guinee,Îles et Guinée,
gen,Gênes,
Guinnée,Guinée,
indes,Indes,
Suèdes,Suède,
Flan,Flandre,
flan,Flandre,
flanc,Flandre,
Napels,Naples,
Gen7ve,Genève,
guinée,Guinée,
Pas de pays indiqué,pays non indiqué,
Gène,Gênes,
Suis,Suisse,
Isle,Îles,
N,Nord,
gènes,Gênes,
SUISSE,Suisse,
geneve,Genève,
Alllemagne,Allemagne,
Amiens,Amiens,
Rouen,Rouen,
suisse,Suisse,
Pays non indiqué,pays non indiqué,
Non renseigné,non renseigné,
flandre,Flandre,
Le,Le ?,
Norde,Nord,
Allemange,Allemagne,
Holllande,Hollande,
?,?,
??,?,
Suise,Suisse,
Denmark,Danemark,
suede,Suède,
nord,Nord,
suède,Suède,
danemark,Danemark,
savoye,Savoie,
italie,Italie,
Espage,Espagne,
isles,Îles,
Iles,Îles,
Guinee,Guinée,
Isles,Îles,
lorraine,Lorraine,
bouillon,Bouillon,
allemagne,Allemagne,
Barbaris,,
Etats Ecclésiastiques,États ecclésiastiques,
Naples Sicile Parmes,,
marseillepetitesisles,Marseille et Petites Îles,
lorientmarseille,Lorient et Marseille,
milanstoscaneetlucques,"Milanais, Toscane et Lucques",
bayonnelorient,Bayonne et Lorient,
bayonnemarseille,Bayonne et Marseille,
france_,France,
dunkerquebayonnemarseille,"Dunkerque, Bayonne et Marseille",
Milanès Toscane et Lucynes,,
bayonneillisible,Bayonne et ?,
Etats Ecclesiastiques,,
Milanes Toscane,,
Naples Sicile,,
Etats de l'empereur,États de l'Empereur,
États du Roi de Prusse,,
États-Unis d'Amérique,,
États du Roi de Sardaigne,,
Levant et Empire Ottoman,,
Etat Ecclésiastique,États ecclésiastiques,
Corse,,
"Milan, Toscane et Lucques",,
Gènes,Gênes,
Etats de l'Empereur en Allemagne et Flandres,,
"Naples, Sicile et Parme","Naples, Sicile et Parme",
Etat de Barbarie,,
Espagne et les Etats dépendants,,
Pologne,Pologne,
Etats du roi de Suède,,
Etats du roi de Suede,,
Etats de l'empereur ou Allemagne et Flandre,,
Etats du roi de Prusse,,
sardaigne,Sardaigne,
venise,Venise,
dunkerquemarseille,Dunkerque et Marseille,
gnes,Gênes,
etatsecclesiastiques,États ecclésiastiques,
Trois Êvéchés,Trois Évêchés,
milantoscaneetlucques,"Milanais, Toscane et Lucques",
marseilles,Marseille,
allemagneetpologne,Allemagne-Pologne,
pologne,Pologne,
genveetsuisse,Genève et Suisse,
Etats du roi de Sardaigne,,
dunkerquepetitesisles,Dunkerque et Petites Îles,
bayonne,Bayonne,
petitesisles,Petites Îles,
Bayonne et Lorien,,
Dunkerque et Bayonne,,
Etats de l'Empereur,États de l'Empereur,
4 villes anséatiques,,
russie,Russie,
portugal,Portugal,
etatsdelempereur,États de l'Empereur,
espagne,Espagne,
dunkerquelorientpetitesislesb,"Dunkerque, Lorient et Petites Îles",
les4villesansatiques,Les 4 villes hanséatiques,
dunkerque,Dunkerque,
sude,Suède,
danemarketnorvge,Danemark-Norvège,
angleterre,Angleterre,
prusse,Prusse,
lorientdunkerque,Dunkerque et Lorient,
lorient,Lorient,
etatsunisdamrique,États-Unis d'Amérique,
"Petites Isles, Lorient et Dunkerquer",,
Petites Isles et Lorient,,
Bayonne et Lorient,,
"Petites Isles, Lorient, Dunkerque et Bayonne",,
"Petites Isles, Dunkerque et Lorient",,
Bayonne et Dunkerque,,
"Petites Isles, Lorient et Bayonne",,
Bayonne et Petites Isles,,
"Bayonne, Petites Isles, Dunkerque et Lorient",,
Sardaigne,Sardaigne,
Naples,Naples,
Gênes,Gênes,
Etat Eclésiastique,,
Empire Ottoman,Empire Ottoman,
"Dunkerque, Petites Isles, Lorient, Marseille, Bayonne, Aslace",,
Etats Eclésiastique,,
4 Villes Anséatiques,,
Dunkerque et Petites Isles,,
Petites Isles et Bayonne,,
Petites Isles,Petites Îles,
Lorient et Petites Isles,,
Etats-Unis d'Amérique,États-Unis d'Amérique,
Etats du Roi de Prusse,,
Etats de l'Empereur en Allemagne et Flandre,,
4 villes Anséatiques,,
Bayonne,,
Lorient,,
Danemark et Norvège,,
Les Etats de l'Empereur,,
Marseille,,
Les 4 villes anséatiques,,
Amérique,Amérique,
Dunkerque,,
"Isles Françoises de l'Amerique, le Canada et Terre-neuves","Îles françaises de l'Amérique, du Canada et Terre-Neuve",
"Allemagne, Lorraine et Païs de Liege",Allemagne-Lorraine-Pays de Liège,
"Isles Françoises de l'Amerique, le Canada et Terre-neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",
Nord avec villes Anséatiques,Nord qui comprend les villes hanséatiques,
"Espagne, Canaries et Indes Occidentalles","Espagne, Canaries et Indes Occidentales",
"Portugal, Isles Madere, Terceres et Acores","Portugal, île de Madère, Terceres et Açores",
Nord avec villes Anseatiques,Nord qui comprend les villes hanséatiques,
"Espagne, Canaries et Indes Occidentales","Espagne, Canaries et Indes Occidentales",
"Allemagne, Lorraine et le Païs","Allemagne, Lorraine et le Pays",
"Isles Françoises de l'Amerique, Canada et Terre-Neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",
Des Isles,Îles,
Genéve,Genève,
Etats unis de l'amerique,États-Unis d'Amérique,
Etats Unis de l'amérique,États-Unis,
Etats-Unis; Colonies Anglaises,États-Unis ; colonies anglaises,
Etats réunis de l'amérique,États-Unis d'Amérique,
Des Indes,Indes,
Isles françaises de l'Amérique,Îles françaises de l'Amérique,
"Allemagne, Lorraine et le Païs de liege",,
Iles françoises de l'Amerique,,
Indes orientales,Indes Orientales,
Isles françoises de l'Amarique,Îles françaises de l'Amérique,
Isles françaises et de l'amérique,Îles françaises de l'Amérique,
Espange,Espagne,
Guynnée,Guinée,
Allemagne et Lorraine,Allemagne-Lorraine,
Isles françaises de l'Amerique,Îles françaises de l'Amérique,
Indes,Indes,
Venise,Venise,
Indes Orientales,Indes Orientales,
Indes Occidentales,Indes Occidentales,
Isles et Colonies françaises,Îles et colonies françaises,
L'Indes,Indes,
L'Inde,Indes,
Isles Françaises de l'Amérique,,
Génêve,,
Iles française de l'Amérique,Îles françaises de l'Amérique,
Inde,Indes,
Pour les Isles françaises de l'Amérique,,
Isles Françoises de l'amerique,Îles françaises de l'Amérique,
Le Danemarck,Danemark,
Isles Francaises de l'amérique,,
Allemagne la Loraine et le pays de Liege,,
Nord y compris les villes anséatiques,Nord qui comprend les villes hanséatiques,
Le Porugal,Portugal,
Savoye et le Piemont,,
Isles françoises d'Amerique,Îles françaises de l'Amérique,
Gennes,Gênes,
Isle françoises de l'Amérique,Îles françaises de l'Amérique,
Isles Françoises de l'Amerique,Îles françaises de l'Amérique,
Naples et Sicile,Naples-Sicile,
Angletterre,Angleterre,
Isles françaises de l'amerique,,
Isles françoises,Îles françaises,
Genes,Gênes,
La Geneve,Genève,
Isles françaises,Îles françaises,
Flandres,Flandre,
Genève,Genève,
La Genêve,Genève,
Geneve,Genève,
La Flandre,Flandre,
Nord qui comprend les villes anseatiques,Nord qui comprend les villes hanséatiques,
Isles francaises de Lamerique,,
Danemarck,Danemark,
Pour les Isles Françaises de l'Amérique,Îles françaises de l'Amérique,
Nord qui comprend les villes anscéatiques,Nord qui comprend les villes hanséatiques,
Isles françoises de l'Amerique,Îles françaises de l'Amérique,
La Savoye,Savoie,
Nord qui comprend les villes anséatiques,Nord qui comprend les villes hanséatiques,
Nord qui comprend les villes ansceatiques,Nord qui comprend les villes hanséatiques,
Les Isles françaises de l'Amérique,Îles françaises de l'Amérique,
Isles francaises de l'amerique,Îles françaises de l'Amérique,
Isles françaises de l'ameriques,Îles françaises de l'Amérique,
La Suede,Suède,
La Russie,Russie,
Flandre,Flandre,
Les Isles françaises,Îles françaises,
Flandre Autrichienne,Flandre Autrichienne,
La Flandre autrichienne,Flandre Autrichienne,
Rusie,Russie,
Isles françaises de l'amérique,Îles françaises de l'Amérique,
Des Isles Françoises de l'Amérique & de Terreneuve,Îles françaises de l'Amérique et de Terre-Neuve,
de Portugal,Portugal,
d'Espagne,Espagne,
de la Suede,Suède,
De Danemarck,Danemark,
de Russie,Russie,
Du Nord qui comprend les villes Anseatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
De Hollande,Hollande,
d'Angleterre,Angleterre,
Isles françoises de l'amerique et pour terre neuve,Îles françaises de l'Amérique et Terre-Neuve,
La Suisse et Genève,Genève et Suisse,
Suisse et Geneve,Genève et Suisse,
Itallie,,
Des Iles françoises de l'Amérique et de Terre-Neuve,Îles françaises de l'Amérique et de Terre-Neuve,
De Portugal,Portugal,
D'Espagne,Espagne,
De la Suede,Suède,
de Dannemark,Danemark,
Du Nord qui comprend les villes Anséatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
D'hollande,Hollande,
D'Angleterre,Angleterre,
Isles françaises de l'Amérique et pour Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,
Nord qui comprend les villes anseatiques et la moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
Flandre autrichienne,Flandre Autrichienne,
La Suisse et la Geneve,Genève et Suisse,
La Suisse,Suisse,
La Flandre Autrichienne,Flandre Autrichienne,
Nord qui comprend les villes de anséatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
L'Allemagne,Allemagne,
La Flandre Autrichiènne,Flandre Autrichienne,
Isles francoises de l'amérique,Îles françaises de l'Amérique,
Suisse et geneve,,
Iles françaises de lamerique,Îles françaises de l'Amérique,
Savoye et Piemont,Savoie et Piémont,
La sued,Suède,
Du nord,Nord,
Isles françoises delamerique,,
Nord qui comprend les villes de anseatiques et la moscovie,,
Isles françois de l'Amérique,Îles françaises de l'Amérique,
Pour la Suisse et Geneve,,
Pour la Suede,Suède,
Iles Françaises de l'amerique,Îles françaises de l'Amérique,
La suede,Suède,
Du nord qui coprend les cilles anséattiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
Islkes françoises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,
De Levant,Levant,
Lorraine et l'Allemagne,Allemagne-Lorraine,
Suisse et Genève,Genève et Suisse,
Dannemark,Danemark,
Nord qui comprend les villes ansceatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
Pour le Piémont,Piémont,
iles françaises de l'Amerique,Îles françaises de l'Amérique,
La Franche compté,Franche Comté,
Le Dannemark,Danemark,
Pour la Flandre Impérialle,Flandre impériale,
Savoye,Savoie,
Dannemarck,Danemark,
Iles Fraçaise de l'amerique,Îles françaises de l'Amérique,
Le Danemark,Danemark,
Le Flandre Impérialle,Flandre impériale,
Piemont et la Savoye,Piémont et Savoie,
Flandre imperiale,Flandre impériale,
Nord qui comprend les villes ansceatiques et a Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
Piémont et Savoye,Piémont et Savoie,
Nord qui comprend les villes anscatiques a la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
Nord (dont Hanse et Russie),Nord ; dont hanséatiques et Russie,
Holande,Hollande,
Isles francoises de lamerique,Îles françaises de l'Amérique,
Suede,Suède,
Dannemarc,Danemark,
Nord (Hanse + Russie),,
Suéde,Suède,
Danemarc,Danemark,
La Suisse et la Genève,Genève et Suisse,
La Suède,Suède,
Piemont et Savoye,Piémont et Savoie,
Geneve et la Suisse,,
Nord qui comprend les villes anscatiques,Nord qui comprend les villes hanséatiques,
Le Dannemarc,Danemark,
Isles françoises de l'amérique,Îles françaises de l'Amérique,
Guinée,Guinée,
Flandre Impériale,Flandre impériale,
Flandre imperialle,Flandre impériale,
Le Levant,Levant,
Pour la Lorraine et l'Allemagne,Allemagne-Lorraine,
L'angleterre,Angleterre,
Isles françoises de l'amerique,Îles françaises de l'Amérique,
Isles francoises de l'Amerique,Îles françaises de l'Amérique,
Piemont et Geneve,Piémont et Genève,
Iles Française de l'amerique,Îles françaises de l'Amérique,
La Loraine et l'Allemagne,Allemagne-Lorraine,
Isles de l'Amérique et de Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,
Levant,Levant,
Isles françoises de l'Amérique,Îles françaises de l'Amérique,
Flandre impériale,Flandre impériale,
Des Isles françoises de l'amerique et de terre neuve,Îles françaises de l'Amérique et de Terre-Neuve,
Flandre Imperialle,Flandre impériale,
Pour les Isles françoises de l'amerique,Îles françaises de l'Amérique,
Pour le Levant,Levant,
Pour l'Italie,Italie,
Pour le Piedmont et geneve,Piémont et Genève,
Pour l'Espagne,Espage,
Pour la Hollande,Hollande,
Iles Française de l'Amerique,Îles françaises de l'Amérique,
levant,Levant,
Piemont,Piémont,
hollande,Hollande,
la Hollande,Hollande,
Isles francoises de l'amerique,Îles françaises de l'Amérique,
Isles francoises Delamerique,,
La Guinée,Guinée,
La Lorraine et l'Allemagne,Allemagne-Lorraine,
La Lorraine,Lorraine,
Genève et Genève et la Genève et la Suisse,Genève et Suisse,
Iles françaises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,
L'Espagne,Espagne,
La Flandre Impérialle,Flandre impériale,
L'Italie,Italie,
Le Portugal,Portugal,
Le Nord,Nord,
Ile française des Amériques et du Canada,Îles françaises de l'Amérique et du Canada,
Hollande,Hollande,
La La Louisiane,Louisiane,
La Louisiane,Louisiane,
Les Iles Françaises de l'Amérique,Îles françaises de l'Amérique,
Loraine,Lorraine,
Genève et la Suisse,Genève et Suisse,
Italie,Italie,
Nord,Nord,
La Hollande,Hollande,
Flandre Impérialle,Flandre impériale,
L'Angleterre,Angleterre,
"Côtes occidentales d'Afrique, Senegal, Guinée",,
Colonies d'Amerique,,
Etats Unis,,
Russie et Courlande,Russie-Courlande,
Danemarck et Norvège,Danemark-Norvège,
"Suisse, ses alliés et Genève",,
Allemagne et Pologne,Allemagne-Pologne,
Etats de l'empereur en Allemagne et en Flandre,,
"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",,
République de Hollande,,
Angleterre y compris l'Ecosse et l'Irlande,,
Etats de l'évêque de Rome et la république de Venise,,
Royaume de Naples et de Sicile et Duché de Parmes,,
Milanez et Toscane,,
République de Gênes,République de Gênes,
France,,
Etats du Roi de Sardaigne,,
Guatémala,Guatemala,
Côtes d'Afrique,Côtes d'Afrique,
Philippines,Philippines,
Mekel. Schw.,Mecklembourg-Schwerin,
Chine,Chine,
Indes hollandaises,Indes hollandaises,
N.-Grenade,Nouvelle-Grenade,
Indes françaises,Indes françaises,
Merck.Schw.,Mecklembourg-Schwerin,
Guatemala,Guatemala,
Meckl.Schw.,Mecklembourg-Schwerin,
Venezuela,Vénézuela,
Mexique,Mexique,
Chili,Chili,
Norvège,Norvège,
Indes anglaises,Indes anglaises,
Prusse,Prusse,
Portugal,Portugal,
Allemagne,Allemagne,
Cuba et P.R.,Cube-Porto Rico,
Brésil,Brésil,
Guyane anglaise,Guyane anglaise,
Cayenne,Cayenne,
St Thomas,Saint-Thomas,
Guadeloupe,Guadeloupe,
Grèce,Grèce,
Ile Maurice,Île Maurice,
Russie,Russie,
Pays-Bas,Pays-Bas,
Haïti,Haïti,
Danemark,Danemark,
R.de la Plata,Rio de la Plata,
Etats barbares,Barbarie,
Turquie,Turquie,
Villes anséatiques,Villes hanséatiques,
Toscane,Toscane,
Suède,Suède,
Suisse,Suisse,
Pérou,Pérou,
Martinique,Martinique,
Etats-Unis,États-Unis,
Etats romains,États romains,
Etats Sardes,États Sardes,
Espagne,Espagne,
Egypte,Egypte,
Deux-Siciles,Deux-Siciles,
Belgique,Belgique,
Autriche,Autriche,
Angleterre,Angleterre,
Alger,Alger,
???,?,
Ypres,,
Cayenne et Guyane,Cayenne-Guyane,
Sénégal,Sénégal,
Isle de France et de Bourbon,,
Bourbon,Bourbon,
Possessions Danoises,,
Possessions Portugaises,,
Possessions des États-Unis de l'Amérique,,
Possessions Hollandaises,,
Possessions Anglaises,,
Possessions Espagnoles,,
Colonies Françaises de l'Amérique,,
Voitures diverses,,
Tabago,Tobago,
Possessions suédoises,,
Possessions danoises,,
Possessions des Etats unis de l'Amérique,,
Possessions portugaises,,
Possessions hollandaises,,
Possessions espagnoles,,
Possessions anglaises,,
Sénégal et Guinée,Sénégal et Guinée,
Cayenne et Guyanne,,
La Guadeloupe,Guadeloupe,
La Martinique,Martinique,
St Domingue,,
