simplification,categorization,note
"alquifoux, mine de plomb ou graphite",,
alesne,,
aurcsats,,
aiglefin,,
œuillard ; de Brie,œuillards,
œuf et volaille,,
œuf ; de poule,œufs,
poisson ; œuf,,
œuf ; de faisan,œufs,
œuf ; de composition,,
œuf,œufs,
œillet,œillets,
œil de bœuf ; garni de cuivre,,
œil de bœuf,œil de bœuf,
drogue ; médicinale ; œil d'écrevisse,drogue ; médicinale,
évier,,
éventail et papier dito,,
éventail ; d'ivoire,éventail,
éventail ; fin,,
éventail ; de porcelaine,,
éventail ; de palme,éventail,
"éventail ; d'ivoire, nacre et écaille",,
éventail,éventail,
étuve ; de fer,étuves ; de fer,
étuve ; commune,,
étuve,,
"étui de bois, de paille et boite de papier",,
étui ; pour plume à écrire,,
étui,étuis,
étrier,étriers,
étoupe et corde de lin,,
étoupe ; à calfeutrer,étoupe,
étoupe ; de soie,étoupe,
étoupe ; de lin,étoupe,
étoupe ; de laine,,
étoupe ; de chanvre,étoupe,
étoupe,étoupe,
étoffe ; étrangère ; de jute,étoffe,
étoffe ; étrangère,étoffe,
étoffe ; voile,étoffe,
étoffe ; virez,étoffe,
étoffe ; velours,étoffe,
étoffe ; tricot,étoffe,
étoffe ; tissée,,
étoffe ; soie et argent,,
étoffe ; soie et or,étoffe,
étoffe ; soie ; soie et coton,étoffe,
étoffe ; soie ; crêpe,étoffe,
étoffe ; soie,étoffe,
étoffe ; satin,étoffe,
étoffe ; riche en or et argent,étoffe,
étoffe ; riche,étoffe,
étoffe ; pour talits,,
étoffe ; poil et laine,,
étoffe ; poil,,
étoffe ; peluche ; commune,étoffe,
"étoffe ; or, argent et soie",,
étoffe ; or et soie,,
étoffe ; or et argent,étoffe,
étoffe ; noire,étoffe,
étoffe ; mêlée de soie ; éternelle,étoffe,
étoffe ; mêlée de soie ; velours de Gênes,étoffe,
étoffe ; mêlée de soie ; velours d'Utrecht,étoffe,
étoffe ; mêlée de soie ; tripe de velours,étoffe,
étoffe ; mêlée de soie ; soie et fil,étoffe,
étoffe ; mêlée de soie ; ripe de velours,étoffe,
étoffe ; mêlée de soie ; peluche,étoffe,
étoffe ; mêlée de soie ; papeline,étoffe,
étoffe ; mêlée de soie ; panne,étoffe,
étoffe ; mêlée de soie ; mi soie,étoffe,
étoffe ; mêlée de soie ; herbage,étoffe,
étoffe ; mêlée de soie ; grisette,étoffe,
étoffe ; mêlée de soie ; greek,étoffe,
étoffe ; mêlée de soie ; galet et soie,étoffe,
étoffe ; mêlée de soie ; fleuret et soie,étoffe,
étoffe ; mêlée de soie ; coton et soie,étoffe,
étoffe ; mêlée de soie ; au quart,étoffe,
étoffe ; mêlée de soie ; au fil,étoffe,
étoffe ; mêlée de soie ; au 6e,étoffe,
étoffe ; mêlée de soie ; au 4/5e,étoffe,
étoffe ; mêlée de soie ; au 1/3,étoffe,
étoffe ; mêlée de soie ; argent et soie,,
étoffe ; mêlée de soie,étoffe,
étoffe ; mêlée ; éternelle ; au ? de soie,étoffe,
drap ; serge et satin ; turc,serge,
drap ; serge ; large,serge,
étoffe ; mêlée ; serge et laine ; en prunelle ; étroite,étoffe,
étoffe ; mêlée ; mi soie,étoffe,
étoffe ; mêlée ; fil et soie,étoffe,
étoffe ; mêlée ; de soie,,
étoffe ; mêlée ; de bourre ; en molleton,étoffe,
étoffe ; mêlée ; de bourre ; de soie,étoffe,
étoffe ; mêlée ; buraille,étoffe,
étoffe ; mêlée,étoffe,
étoffe ; mélangée ; de soie,,
étoffe ; mitée ; mi soie,étoffe,
étoffe ; mi soie,étoffe,
étoffe ; manchette,étoffe,
étoffe ; impériale,étoffe,
etoffe ; flotte,,
étoffe ; finette,étoffe,
étoffe ; fil et laine ; moquette,étoffe,
étoffe ; fil et laine,étoffe,
étoffe ; fil et coton ; siamois ; broché,étoffe,
étoffe ; fil et coton,étoffe,
étoffe ; façonnée,étoffe,
étoffe ; dorure ; d'or et d'argent ; fin,étoffe,
étoffe ; dorure ; d'or et d'argent ; faux,étoffe,
étoffe ; dorure ; d'or et d'argent,étoffe,
étoffe ; dorure ; d'or faux,étoffe,
étoffe ; dorure ; d'or,étoffe,
étoffe ; dorure ; d'argent,étoffe,
étoffe ; diverse ; des Indes,,
étoffe ; diverse,étoffe,
étoffe ; de sutoze,,
"étoffe ; de soie, laine et coton",,
"étoffe ; de soie, fil et coton",,
étoffe ; de soie pure,,
étoffe ; de soie et laine ; prunelle,étoffe,
étoffe ; de soie et laine,,
étoffe ; de soie et filoselle,,
étoffe ; de soie et fil,étoffe,
étoffe ; de soie et dorure,étoffe,
étoffe ; de soie et coton ; des Indes,,
étoffe ; de soie et coton,,
étoffe ; de soie d'or et d'argent faux,,
étoffe ; de soie ; étrangère,étoffe,
étoffe ; de soie ; à peu de soie,étoffe,
étoffe ; de soie ; voile,étoffe,
étoffe ; de soie ; velours,étoffe,
étoffe ; de soie ; taffetas,étoffe,
étoffe ; de soie ; soucy,étoffe,
étoffe ; de soie ; satin,étoffe,
étoffe ; de soie ; riche,,
étoffe ; de soie ; raz de St Mans,étoffe,
étoffe ; de soie ; raz de Saint Maur,étoffe,
étoffe ; de soie ; prunelle,étoffe,
étoffe ; de soie ; panine,étoffe,
étoffe ; de soie ; en drap,étoffe,
étoffe ; de soie ; droguet,étoffe,
étoffe ; de soie ; diverse,étoffe,
étoffe ; de soie ; des Indes,étoffe,
étoffe ; de soie ; de crêpe,étoffe,
étoffe ; de soie ; de Saint Bours,,
étoffe ; de soie ; du Levant,étoffe,
étoffe ; de soie ; damas,étoffe,
étoffe ; de soie ; d'or et d'argent,étoffe,
étoffe ; de soie ; crêpe,étoffe,
étoffe ; de soie ; crue,étoffe,
etoffe ; de soie ; brodée,,
étoffe ; de soie ; basin ; brodé,étoffe,
étoffe ; de soie,étoffe,
étoffe ; de poil et laine ; velours ; d'Utrecht,étoffe,
étoffe ; de poil et laine ; velours,étoffe,
étoffe ; de laine et poil,étoffe,
étoffe ; de poil et fil,étoffe,
étoffe ; de poil de chameau,,
étoffe ; de poil ; velours,étoffe,
étoffe ; de poil ; tanillas,étoffe,
étoffe ; de poil ; prunelle,étoffe,
étoffe ; de poil ; polini,étoffe,
étoffe ; de poil ; philipichine,étoffe,
étoffe ; de poil ; panne,étoffe,
étoffe ; de poil ; nina,étoffe,
étoffe ; de poil ; ligature,étoffe,
étoffe ; de poil ; linnieuse,étoffe,
étoffe ; de poil ; de catalogne,étoffe,
étoffe ; de poil ; camelot,étoffe,
étoffe ; de poil ; callemande,étoffe,
étoffe ; de poil ; bouras,étoffe,
étoffe ; de poil ; allemande,étoffe,
étoffe ; de poil,étoffe,
étoffe ; de laine; satinette,étoffe,
"étoffe ; de laine, coton, fil et poil de chèvre",,
"étoffe ; de laine, coton et fil",,
étoffe ; de laine à faire mouffle,,
étoffe ; de laine imprimée,,
étoffe ; de laine fabrique de Tournai,,
étoffe ; de laine et poil ; panne,étoffe,
étoffe ; étamine ; burail,étoffe,
étoffe ; étamine,étoffe,
étoffe ; de laine ; à poil long,,
étoffe ; de laine ; à la valeur,,
étoffe ; de laine ; verlastine,étoffe,
étoffe ; de laine ; velverde,étoffe,
étoffe ; teint,étoffe,
étoffe ; de laine ; tanier,étoffe,
étoffe ; de laine ; slin,étoffe,
étoffe ; de laine ; sigle ; vis,étoffe,
étoffe ; serge ; étroite,étoffe,
étoffe ; serge ; voile,étoffe,
étoffe ; serge ; sagati,étoffe,
étoffe ; de laine ; serge ; noire,étoffe,
étoffe ; serge ; large,étoffe,
étoffe ; serge ; imprimée,étoffe,
étoffe ; serge ; forte,étoffe,
étoffe ; serge ; étoffeée,étoffe,
étoffe ; serge ; divers,étoffe,
étoffe ; serge ; de Rouen,étoffe,
étoffe ; serge ; de Rome,étoffe,
étoffe ; serge,étoffe,
étoffe ; satin et serge,étoffe,
étoffe ; de laine ; satin ; de Roubaix,étoffe,
étoffe ; de laine ; satin ; Turc,étoffe,
étoffe ; de laine ; sagati,étoffe,
étoffe ; de laine ; russel,étoffe,
étoffe ; de laine ; reste,étoffe,
étoffe ; de laine ; prunelle ; raz ; de castor,étoffe,
étoffe ; de laine ; prunelle,étoffe,
étoffe ; de laine ; pinchinal,étoffe,
étoffe ; de laine ; perpetuanne,étoffe,
étoffe ; de laine ; peluche,étoffe,
étoffe ; de laine ; passepoil,étoffe,
étoffe ; de laine ; panne et peluche,,
étoffe ; de laine ; panne,étoffe,
étoffe ; de laine ; molleton,étoffe,
étoffe ; de laine ; lerfage,étoffe,
étoffe ; de laine ; lampareille,étoffe,
étoffe ; de laine ; futaine,étoffe,
étoffe ; de laine ; frisette,étoffe,
étoffe ; de laine ; frisade,étoffe,
étoffe ; de laine ; florentine,étoffe,
étoffe ; de laine ; fil grossier,,
étoffe ; serge ; Bilcourt,étoffe,
étoffe ; de laine ; en satin ; turc,étoffe,
étoffe ; de laine ; en satin,étoffe,
étoffe ; de laine ; en sarain,étoffe,
étoffe ; de laine ; en raz ; de castor,étoffe,
étoffe ; de laine ; en croisé,étoffe,
étoffe ; de laine ; en cachemire,étoffe,
étoffe ; de laine ; duroil,étoffe,
étoffe ; de laine ; droguet,étoffe,
étoffe ; de laine ; diverse,étoffe,
étoffe ; de laine ; bayette,étoffe,
étoffe ; de laine ; dareau,étoffe,
étoffe ; de laine ; crêpe,étoffe,
étoffe ; de laine ; couterie,étoffe,
étoffe ; de laine ; chaleur,étoffe,
étoffe ; de laine ; catalogne,étoffe,
étoffe ; de laine ; callemande ; noire,étoffe,
étoffe ; de laine ; callemande,étoffe,
étoffe ; de laine ; cadeligue,étoffe,
étoffe ; de laine ; bêche,étoffe,
étoffe ; de laine ; bluteau,étoffe,
étoffe ; de laine ; baye,étoffe,
étoffe ; de laine ; barreau,étoffe,
étoffe ; de laine ; amer,étoffe,
