numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks,Droits totaux indiqués,doubleaccounts
1,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Chevaux ; entiers,Monde,548500,1097,en nombre,500,,,18000,
2,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Chevaux ; jumens,Monde,1968120,5467,en nombre,360,,,90205,
3,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Chevaux ; hongres,Monde,5625360,15626,en nombre,360,,,257829,
4,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Chevaux ; poulains,Monde,498120,4151,en nombre,120,,,22830,
5,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Mules et mulets ; adultes,Monde,155500,622,en nombre,250,,,10263,
6,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Mules et mulets ; n’ayant pas encore de dents d’adultes,Monde,21505,253,en nombre,85,,,1391,
7,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Anes et ânesses,Monde,17850,510,en nombre,35,,,140,
8,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Moutons mérinos, et métis ; Beliers",Monde,6650,133,en nombre,50,,,146,
9,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Moutons mérinos, et métis ; Brebis et moutons",Monde,1580705,45163,en nombre,35,,,59625,
10,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Moutons mérinos, et métis ; Agneaux",Monde,4176,232,en nombre,18,,,28,
11,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Moutons communs ; Beliers, brebis et moutons",Monde,1406540,70327,en nombre,20,,,386718,
12,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Moutons communs ; Agneaux,Monde,52130,5213,en nombre,10,,,1720,
13,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Boeufs ; gras et en chair,Monde,1233000,4110,en nombre,300,,,226050,
14,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Boeufs ; maigres,Monde,741780,4121,en nombre,180,,,113063,
15,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Vaches ; grasses et en chair,Monde,1154700,6415,en nombre,180,,,176412,
16,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Vaches ; maigres,Monde,754900,7549,en nombre,100,,,103329,
17,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Taureaux,Monde,172080,717,en nombre,240,,,11832,
18,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Bouvillons, taurillons et génisses",Monde,69120,768,en nombre,90,,,10799,
19,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Veaux,Monde,112860,5130,en nombre,22,,,16926,
20,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Boucs et chèvres,Monde,58080,5808,en nombre,10,,,9497,
21,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Chevreaux,Monde,2055,411,en nombre,5,,,113,
22,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Porcs ; gras,Monde,361150,7223,en nombre,50,,,95344,
23,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Porcs ; maigres,Monde,1001180,50059,en nombre,20,,,109973,
24,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Cochons de lait au-dessous de 3 mois,Monde,506520,50652,en nombre,10,,,22287,
25,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Chiens de chasse,Monde,6050,242,en nombre,25,,,133,
26,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Gibier, volailles et tortues vivantes",Monde,42469,0,en nombre,0,,,934,
27,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Ruches à miel (renfermant des essaims vivants),Monde,9525,635,en nombre,15,,,698,
28,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Viandes ; salées,Monde,53655,76654,kg,"0,7",,,19035,
29,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Viandes ; fraîches,Monde,184330,307216,kg,"0,6",,,29738,
30,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Viandes ; Gibier et volailles,Monde,48063,40030,kg,"1,2",,,220,
31,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Viandes ; apprêtées (pâtés et extraits),Monde,62,25,kg,0,,,30,
32,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Peaux brutes ; Grandes ; fraîches,Monde,923280,1318973,kg,"0,77",,,15821,
33,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Peaux brutes ; Grandes ; sèches,Monde,5708925,7381485,kg,"1,3",,,458483,
34,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Peaux brutes ; Petites ; d’agneaux et de chevreaux,Monde,851245,243213,kg,"3,5",,,2841,
35,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Peaux brutes ; Petites ; Chiens de mer, requins",Monde,6325,2530,kg,"2,5",,,415,
36,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Peaux brutes ; Petites ; Autres ; Fraîches,Monde,29501,32781,kg,"0,9",,,387,
37,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,Peaux brutes ; Petites ; Autres ; Sèches,Monde,987669,658465,kg,"1,5",,,7621,
38,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Pelleteries ; Peaux de lièvres et de lapins, brutes",Monde,1138025,227605,kg,5,,,2504,
39,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Pelleteries ; Peaux de lièvres et de lapins, apprêtées",Monde,1399,1749,en nombre,"0,8",,,21,
40,Quentin Vidal,AN_F12_251,National/Tableau des quantités/1823 – AN_F12_251.csv,Tableau des quantités,1823,Imports,,27,"Pelleteries ; de castors, castorins, chameaux, chèvres, vigognes, lamas, loutres",Monde,106155,101041,en nombre,0,,,4074,
