numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Amandes cassées,Espagne,0,7000,livres,"0,35",-2450,
2,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Bas de fil,Espagne,0,48,paires,"1,5",-72,
3,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Bas de laine,Espagne,0,132,paires,2,-264,36lt dans un 1er temps
4,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Bas de soye,Espagne,0,855,livres,35,-29925,40lt dans un 1er temps
5,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Basin,Espagne,0,1962,pièces,20,-39240,35lt dans un 1er temps
6,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Biere,Espagne,0,10,bariques,30,-300,
7,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Bœuf en vie,Espagne,0,466,pièces,80,-37280,150 livres dans un 1er temps
8,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Boutons de fil or et argent,Espagne,0,"598,5",livres,60,-35910,
9,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Bray sec,Espagne,0,501000,livres,"0,035",-17535,7lt10s dans un 1er temps
10,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Cacao de Caraque,Espagne,0,4572109,livres,"1,15","-5257925,35",32 sols dans un 1er temps
11,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Cacao des isles,Espagne,0,7667,livres,"0,7","-5366,9",28 sols dans un 1er temps
12,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Camelot d'amiens,Espagne,0,66,pièces,75,-4950,
13,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Camelot poil et laine,Espagne,0,1109,livres,8,-8872,8 livres
14,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Canelle,Espagne,0,"15950,5",livres,"5,75","-91715,38",7 livres et 10 sols dans un 1er temps
15,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Canons et boulets de fer,Espagne,0,55400,livres,"0,175",-9695,3 sols dans un 1er temps
16,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Capres,Espagne,0,100,livres,"0,8",-80,
17,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Cassonnade,Espagne,0,"825283,5",livres,"0,55","-453905,93",12 sols dans un 1er temps
18,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Chaises de paille,Espagne,0,360,en nombre,"0,8333333",-300,
19,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Chapeaux communs,Espagne,0,816,en nombre,"2,5",-2040,30 livres dans un 1er temps
20,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Chapeaux de castor,Espagne,0,28969,pièces,16,-463504,16 livres dans un 1er temps
21,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Chapeaux demi castor,Espagne,0,11276,pièces,8,-90208,
22,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,4,Chapeaux demi vigogne,Espagne,0,3832,pièces,4,-15328,5lt dans un 1er temps
23,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Chapeaux poil et laine,Espagne,0,21,en nombre,"3,5","-73,5",
24,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,3,Chapeaux vigogne,Espagne,0,4431,pièces,7,-31017,7lt dans un 1er temps
25,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,4,Chocolat,Espagne,0,16,livres,"1,5",-24,4lt dans un 1er temps
26,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,4,Cidre,Espagne,0,105,bariques,6,-630,
27,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,4,Cire blanche ouvrée,Espagne,0,8193,livres,"2,1","-17205,3",44s dans un 1er temps
28,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,4,Cire jaune,Espagne,0,54970,livres,"1,85","-101694,5",38s dans un 1er temps
29,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-sorties.csv,Local,1746,Exports,Bayonne,4,Cloux de fer,Espagne,0,6400,livres,"0,3",-1920,
