numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Bœuf ; salé,Angleterre,67122,2486,barils,27,0,
2,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Boeurre ; salé,Angleterre,18400,46000,livres,"0,4",0,
3,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Chandelle,Angleterre,8750,17500,livres,"0,5",0,
4,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Harangs,Angleterre,2550,102,barils,25,0,
5,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Suif,Angleterre,8640,21600,livres,"0,4",0,
6,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Acier,Espagne,"706,25",2825,livres,"0,25",0,
7,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Amendes,Espagne,350,700,livres,"0,5",0,
8,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Ancres ; de fer,Espagne,1125,4500,livres,"0,25",0,
9,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Anis ; vert,Espagne,150,500,livres,"0,3",0,
10,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Bled ; froment,Espagne,"76618,75","11787,5",conques,"6,5",0,
11,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Cacao ; de Caraque,Espagne,"747,5",650,livres,"1,15",0,
12,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,1,Canon ; de fusil,Espagne,210,42,pièces,5,0,
13,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Chanvre ; peigné,Espagne,2960,"8407,5",livres,"0,35","17,37",Erreur de calcul
14,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Chanvre ; en rame,Espagne,25894,117700,livres,"0,22",0,
15,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Cire ; jeaune,Espagne,5040,2800,livres,"1,8",0,
16,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Clous ; de fer,Espagne,"3634,5",12115,livres,"0,3",0,
17,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Cochenille,Espagne,51228,2846,livres,18,0,
18,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Cuir ; de bœuf ; en poil,Espagne,1960,98,pièces,20,0,
19,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Cuir ; de vache ; en poil,Espagne,909,101,pièces,9,0,
20,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Escarpins ; de chambre,Espagne,360,1,valeur,360,0,
21,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Essence,Espagne,25,1,valeur,25,0,
22,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Fer ; en barres,Espagne,289278,2410650,livres,"0,12",0,
23,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Feves,Espagne,2200,550,conques,4,0,
24,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Fusil,Espagne,150,1,valeur,150,0,
25,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Gobelets ; de verre,Espagne,180,2,charges,90,0,
26,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Huile ; d'olive,Espagne,87912,1628,boucs,54,0,
27,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Huile ; d'olive,Espagne,2880,6400,livres,"0,45",0,
28,Pascal Fontaine,AD 64 2 ETP 104,Local/Bayonne/Bayonne-entrées.csv,Local,1749,Imports,Bayonne,2,Huile ; de poisson,Espagne,1224,5100,livres,"0,24",0,
