numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Armes à feu,,13716,,,,,,,,,,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Ardoises,,20,1000,,,en nombre,,,,,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Bijouterie,,2000,,,,,,,,,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Bonneterie de laine,,2300,,,,,,,,,,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Bois feuillard,,2337,23750,,,cercles,,,,,,Le pdf donne aussi la quantité en paquets,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Bois de construction,,6250,,,,,,,,,,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Bray et goudron,,1050,10500,,,livres,,,,,,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Bray et goudron,,6438,57690,,,livres,,,,,,,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Cauris,,42000,36000,,,livres,,,,,,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Chapeaux divers,,13576,3782,,,en nombre,,,,,,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Chapeaux divers,,4110,1288,,,en nombre,,,,,,,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Charbon de terre,,2068,169500,,,livres,,,,,,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Comestibles divers,,5825,,,,,,,,,,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Comestibles divers,,5181,,,,,,,,,,,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Comestibles beurre,,17708,22135,,,livres,,,,,,,0
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,34,Comestibles beurre,,1336,2227,,,livres,19044,,,,,,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Comestibles beurre,,6960,9264,,,livres,19044,,,,,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Comestibles biscuits,,12576,69865,,,livres,,,,,,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Comestibles biscuits,,19260,107000,,,livres,28181,,,,,,0
20,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Comestibles farine,,27101,180675,,,livres,28181,,,,,,0
21,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,34,Comestibles farine,,1080,7200,,,livres,,,,,,,0
22,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Comestibles farine,,5187,34580,,,livres,,,,,,,0
23,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Comestibles fromages,,8908,14860,,,livres,,,,,,,0
24,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Comestibles fromages,,180,360,,,livres,,,,,,,0
25,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,34,Comestibles ris,,2360,9440,,,livres,,,,,,,0
26,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Comestibles ris,,8300,37200,,,livres,,,,,,,0
27,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Chairs salées bœuf salé,,3150,12100,,,livres,,,,,,,0
28,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Chairs salées bœuf salé,,14488,56395,,,livres,,,,,,,0
29,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Chairs salées lard salé,,1723,3625,,,livres,,,,,,,0
30,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Chairs salées lard salé,,4773,14277,,,livres,,,,,,,0
31,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Corail,,4777,50,,,livres,,,,,,,0
32,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Cordages,,3540,10100,,,livres,,,,,,,0
33,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Cordages,,880,2200,,,livres,,,,,,,0
34,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Couteaux communs,,1821,588,,,douzaines,,,,,,,0
35,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Couvertures diverses,,1120,112,,,en nombre,,,,,,,0
36,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Cuivre,,22565,14995,,,livres,,,,,,,0
37,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Drap de carcassonne,,1152,"115,25",,,aunes,,,,,,,0
38,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Eau de vie,,2049,14,,,muids,2241,,,,,,1
39,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,34,Eau de vie,,2049,33,,,pintes,2241,,,,,,2
40,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,34,Eau de vie,,192,1,,,muids,2241,,,,,,1
41,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,La Martinique,,34,Eau de vie,,192,96,,,pintes,2241,,,,,,2
42,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Eau de vie,,65553,380,,,muids,,,,,,,1
43,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Eau de vie,,65553,118,,,pintes,,,,,,,2
44,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Etoffes diverses,,25777,230,,,???,,,,,,Peut-être pièces,0
45,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Etoffes diverses,,25777,265,,,???,,,,,,Peut-être livres,0
46,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,34,Etoffes diverses,,25777,1379,,,aunes,,,,,,,0
