numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,
1,Stephen Jackson,,,,1770,imports,1,"Allemagne, Lorraine et pais de Liege",Amiens,16677,,
2,Stephen Jackson,,,,1770,imports,1,"Allemagne, Lorraine et pais de Liege",Bourgogne,407455,,
3,Stephen Jackson,,,,1770,imports,1,"Allemagne, Lorraine et pais de Liege",Châlons,3470545,,
4,Stephen Jackson,,,,1770,imports,1,"Allemagne, Lorraine et pais de Liege",Charleville,2550559,,
5,Stephen Jackson,,,,1770,imports,1,"Allemagne, Lorraine et pais de Liege",Flandre,121343,,
6,Stephen Jackson,,,,1770,imports,1,"Allemagne, Lorraine et pais de Liege",Langres,359324,,
7,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Amiens,695563,,
8,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Bourgogne,1542969,,
9,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Châlons,7881342,,
10,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Charleville,135063,,
11,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Flandre,1213305,,
12,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Langres,644136,,
13,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Lyon,15471977,,
14,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Montpellier,32997,,
15,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Roüen,818322,,
16,Stephen Jackson,,,,1770,exports,1,"Allemagne, Lorraine et pais de Liege",Saint Quentin,814126,,
17,Stephen Jackson,,,,1770,imports,1,Angleterre,Amiens,676844,,
18,Stephen Jackson,,,,1770,imports,1,Angleterre,Bordeaux,5676753,,
19,Stephen Jackson,,,,1770,imports,1,Angleterre,Caën,124069,,
20,Stephen Jackson,,,,1770,imports,1,Angleterre,La Rochelle,210400,,
21,Stephen Jackson,,,,1770,imports,1,Angleterre,Marseille,1244771,,
22,Stephen Jackson,,,,1770,imports,1,Angleterre,Nantes,178000,,
23,Stephen Jackson,,,,1770,imports,1,Angleterre,Rennes,1010044,,
24,Stephen Jackson,,,,1770,imports,1,Angleterre,Roüen,2770658,,
25,Stephen Jackson,,,,1770,exports,1,Angleterre,Amiens,3060097,,
26,Stephen Jackson,,,,1770,exports,1,Angleterre,Bayonne,23000,,
27,Stephen Jackson,,,,1770,exports,1,Angleterre,Bordeaux,1860827,,
28,Stephen Jackson,,,,1770,exports,1,Angleterre,Bourgogne,2775,,
29,Stephen Jackson,,,,1770,exports,1,Angleterre,Caën,156064,,
30,Stephen Jackson,,,,1770,exports,1,Angleterre,Châlons,32027,,
31,Stephen Jackson,,,,1770,exports,1,Angleterre,Flandre,102816,,
