numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,pays,marchandises,quantit,quantity_unit,value,remarks
1,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Bois d'Inde de Campeche,454000,livres,62300,
2,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Bois de Sainte Marthe,98300,livres,49100,
3,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Bois de Sandal,100000,livres,20000,
4,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Cendre dite soude,367200,livres,33000,
5,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Charbon de terre,90600,muids,3781800,
6,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Cuivre,27100,livres,35700,
7,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Etain,694500,livres,701400,
8,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,fer divers,982200,livres,84500,
9,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Graines diverses,16200,livres,9300,
10,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Graines de Lin,60200,livres,13000,
11,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Plomb,3074700,livres,751000,
12,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Suif en pain,27800,livres,13200,
13,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Laine,219800,livres,344600,
14,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Gaze de Soye ,680,livres,54700,
15,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Toile peinte,22760,livres,367500,
16,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Toile de Coton diverses,187680,livres,2385600,
17,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Toile Nankin,8660,livres,69400,
18,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Eaux et huiles spiritueuse,39100,livres,39000,
19,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Estampes,3160,,16200,
20,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,harnais et sellerie,,,19600,
21,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Marchandises mêlées,,,18700,
22,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Meules a Taillandier,17000,nombre,42000,
23,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,orfeverie en argenterie,1381,marcs,68900,
24,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Peaux Meslées,,,18400,
25,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Pelleterie peaux de Castor,6950,livres,48600,
26,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Suif en Chandelle,49800,livres,34400,
27,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Verres de Cristal,3640,livres,19400,
28,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Voitures,543,nombre,771900,
29,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Imports,Angleterre,Betes de somme en chevaux,729,nombre,428100,
30,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Bois Feuillard et Cercles,566200,nombre,23300,
31,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Bray et Gaudron,167400,livres,19600,
32,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Bray Resine,391200,livres,20600,
33,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Cuivre,12800,livres,15300,
34,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Graines diverses,15000,livres,12100,
35,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Graines de Lin,954800,livres,127800,
36,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Graines de foin Luzerne et treffle,34400,livres,16200,
37,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Souffre,96600,livres,11400,
38,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Laine,42700,livres,212800,
39,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Soye,4960,livres,117000,
40,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Bonneterie de Coton,5640,livres,28300,
41,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Bonneterie de Soie,938,livres,49000,
42,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Dentelle de fil,461,livres,437000,
43,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Dentelle de Soie,4300,livres,1635300,
44,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Etoffe de Coton,1080,livres,10000,
45,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Etoffe de Soie,3680,livres,196200,
46,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Gaze de Soie,236,livres,19100,
47,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Toiles Meslées,,,100200,
48,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Toiles peinte,3310,livres,25600,
49,Demba,AN F12 1835,National partenaires manquants/Angleterre 1784.csv,National partenaires manquants,1784,4,Exports,Angleterre,Toiles de Lin diverse,13820,livres,36500,
