"marchandises","nbr_occurences_navigo_Marseille_1787"
"[Huile de] vitriol",1
"[Morue en pacotille]",1
"[Morue en] pacotille",1
"[Morue] en pacotille",1
"[Morues]",1
"Agobilles",1
"Agres",1
"Agrés",1
"Ails",2
"Alisaris",3
"Alun",17
"Amande",13
"Amandes",20
"Anchois",4
"Anchoix",25
"Ancres",1
"Anis",11
"Arans Blancs",1
"Armes",1
"Arquifeux",1
"Arquifoux [Alquifoux]",1
"Articles de peche",1
"Autres",1
"Autres denrées",1
"Autres drogueries",1
"Autres marchandises",1
"Avelanette",1
"Avoine",40
"Balais",5
"Ballets",1
"Barilles",2
"Barrille",1
"Bin",1
"Biscotes",1
"Bled",463
"Bled avarié",1
"Bled de Hongrie",2
"Boeuf",1
"Bois",12
"Bois ",1
"Bois a batisse",2
"Bois à brûler",3
"Bois à mature",1
"Bois de batisse",5
"Bois de Brésil",1
"Bois de Campeche",14
"Bois de campêche",2
"Bois de cedre",1
"Bois de charron",1
"Bois de chêne",1
"Bois de construction",21
"Bois de constructions",1
"Bois de constuction",1
"Bois de fustel",1
"Bois de gaillard",1
"Bois de mature",2
"Bois de teinture",11
"Bois moulu",1
"Bois pour les charrons",1
"Bouche de liège",1
"Bouchon",2
"Bouchon de liège",5
"Bouchons",3
"Bouchons ",1
"Bouchons de liège",10
"Boulet",1
"Boure de soie",1
"Bourre de soie",1
"Bouteille vide",1
"Bouteilles vides",1
"Bray",29
"Brique",1
"Briques",1
"Cacao",2
"Café",8
"Canons",2
"Capres",11
"Cendres",1
"Cerales",1
"Cercle",2
"Cercles",58
"Cercles ",2
"Cercles de bois",1
"Cercles de douves",1
"Chair salée",6
"Chandelle",1
"Chanvre",27
"Chanvres",2
"Chapeaux de paille",1
"Charbon de pierre",7
"Charbon de terre",28
"Chataigne",5
"Chataigne blanche",1
"Chataignes",4
"Chataignes blanches",1
"Cire",42
"Cire alisari",1
"Cires",4
"Citron",1
"Citrons",13
"Clout",1
"Cochenille de retour",1
"Colombine",1
"Colombines",1
"Colombrine",6
"Colombrines",2
"Coloquinte",1
"Corail",12
"Cordage",1
"Cordouan",2
"Cordouans",1
"Cornes de cerf",1
"Cornes de mouton",6
"Cornes de moutons",10
"Coton file",1
"Coton filé",2
"Cotons",1
"Coufins de Palme",1
"Coupe rose",1
"Couperose",2
"Cray",1
"Cuir",1
"Cuir en lest",1
"Cuirs",14
"Cuirs ",1
"Cuirs de buffles en lest",1
"Cuirs de Portugal",1
"Cuirs en lest",1
"Cuirs salé",1
"Cuirs salés",7
"Cuivre",7
"Cuivre de retour",1
"Cuivre en pain",1
"Cumin",3
"Datte",1
"Dattes",9
"Denrées des colonies",123
"Denrées des coloniess",2
"Déserteur",1
"Divers effets",1
"Diverses provisions",1
"Douelles",8
"Douve",3
"Douves",92
"Douves ",1
"Draps",1
"Droguerie",3
"Drogueries",8
"Eau de fleur d'orange",1
"Eau de vie",60
"Engins de peche",5
"Engins de pêche",6
"Engins de peches",7
"Engins de pesche",1
"Eponge",1
"Eponges",2
"Escayole",18
"Escayoles",5
"Escayote",2
"Espart",66
"Espart [?]",1
"Esparteries",1
"Esparts",2
"Etain",4
"Farine",60
"Farines",1
"Fayance",2
"Fayence",1
"Fer",67
"Feuillard",1
"Feve",2
"Fèves",107
"Feves ",1
"Fideaux",110
"Figues",2
"Filet d'espart",5
"Filets d'espart",3
"Fils de chanvre",1
"Fleur de mouton",2
"Fleurs de mouton",2
"Fourrage",1
"Fourrages",1
"Fromage",38
"Fromages",1
"Fruis frais",1
"Fruis secs",1
"Fruit frais",2
"Fruits",4
"Fruits ",2
"Fruits frais",16
"Fruits secs",23
"Futailles vides",2
"Gale",1
"Gales",2
"Galles",1
"Garniture en velour de 2 fauteuils",1
"Giboyer",1
"Godron",1
"Gomme",12
"Gommes",1
"Goudron",26
"Graines de chanvre",1
"Graisse",1
"Graisse de Boeuf",2
"Gres",1
"Gros millet",51
"Harans Sorés",1
"Harans sors",1
"Harengs sors",1
"Haricots",42
"Haricots blancs",1
"Herbes pour la teinture",1
"Hiuile",1
"Huile",597
"Huile ",1
"Huile de lin",10
"Huile de lin ",1
"Huile de poisson",28
"Huile de poissson",1
"Huile de térébentine",1
"Huile de vitriol",1
"Huiles",6
"Huiles de poisson",1
"Indigo",3
"Instruments de navigation",1
"Jaisses",1
"Jarres",1
"Jus de citron",1
"Jus de reglisse",2
"Jus de Réglisse",1
"Laine",60
"Laine ",1
"Laines",10
"Legume",2
"Legumes",19
"Légumes",4
"Lest",157
"Liege",9
"Liège",2
"Lieges",1
"Lin",1
"Lisaris",1
"Livres",1
"Maïs",1
"Manne",15
"Marbre",11
"Marbre oeuvrés",1
"Marbres",1
"Marc d'olive",20
"Marc d'olives",1
"Marchandise",2
"Marchandises",809
"Marchandises ",2
"Marchandises de retour",1
"Marchandises susceptibles",1
"Maroquins",1
"Marrains",1
"Marroquin",1
"Matelots",1
"Matures",4
"Mâtures",1
"Melasse",3
"Merceries",1
"Merrain",1
"Merrains",1
"Merrin",1
"Metaux",1
"Miel",5
"Morue",28
"Morue  en pacotille",1
"Morue en pacotille",4
"Morues",14
"Mouchoirs",6
"Mouchoirs de soie",1
"Mouchoirs de Soye",9
"Mouchoirs de Soyes",1
"Nled",1
"Noisette",3
"Noisettes",1
"Noizettes",1
"Oranges",16
"Orge",26
"Orges",5
"Outres vieux",1
"Papier",9
"Parfumerie",7
"Pasager",1
"Pasagers",1
"Passager",446
"Passagers",894
"Passagers ",1
"Passagers algériens",1
"Pate de reglisse",1
"Peau de chèvre",1
"Peau de chevreuil",1
"Peau de lapin",1
"Peaux",6
"Peaux ",6
"Peaux de chevraux",1
"Peaux de chevre",6
"Peaux de chevres",5
"Peaux de chèvres",2
"Peaux de chevres ",1
"Peaux de chevreuil",3
"Peaux de lievre",1
"Peaux de lievres",1
"Peaux de mouton",2
"Peignes",1
"Pelleteries",1
"Personnes",1
"Petit millet",19
"Pierre",3
"Pierre ",2
"Pierre à aiguiser",1
"Pierre a batisse",1
"Pierre a eguiser",1
"Pierre de jays",1
"Pierre de tailles",1
"Pierres ponces",1
"Pistache",1
"Pistaches",1
"Planche",11
"Planches",47
"Platre",3
"Plomb",14
"Plomb ",2
"Plomb a giboyer",7
"Plomb à giboyer",3
"Plumes",1
"Plumes d'autruches",1
"Plumes de poules",1
"Pois",1
"Pois chiches",12
"Pois pointues",3
"Pois pointus",2
"Pois quarres",1
"Pois quarrés",1
"Poisson",1
"Poisson Salé",57
"Poissons salés",1
"Poix",1
"Potasse",3
"Poutres",5
"Pozzolane",7
"Pozzolano",1
"Provisions",1
"Quinquaillerie",1
"Raisins de Corinthe",5
"Raisins secs",6
"Rame",1
"Reglisse",5
"Résine",2
"Ris",270
"Ris ",1
"Riz",1
"Rocou",1
"Rouge brun",2
"Rougebrun",1
"Rouleaux de toile",1
"Sables pour les verreries",1
"Sacs",1
"Safranon",1
"Salaisons",1
"Salpetre",3
"Sanctuaire",1
"Sarmant",1
"Saumon",5
"Saumon ",1
"Savon",13
"Scieures de corne",1
"Sègle",1
"Seigle",1
"Sel",1
"Sel armoniac",1
"Semoule",4
"Sené",1
"Soie",3
"Son",36
"Soude",179
"Soude ",3
"Soudes",5
"Souffre",4
"Soufre",16
"Soufre ",1
"Soye",13
"Soye ",1
"Stocfiches",1
"Stockfish",9
"Sucre",4
"Suif",30
"Suif en vessie",1
"Sumac",9
"Tabac",41
"Tabac ",2
"Tangouls",1
"Tartare",1
"Tartre",17
"Tartres",1
"Terebentine",2
"Terrailles",2
"Têtes de cuirs",1
"Therebantines",1
"Therebentine",1
"Thon mariné",11
"Thon salé",3
"Thonneaux Vuides",1
"Toile",1
"Toilerie ",1
"Toileries de retour",1
"Toiles",1
"Toiles cirée",1
"Velours",1
"Verdet",15
"Verdet ",1
"Verdol",1
