source,product_orthographic,product_simplification,product_sitc,product_edentreaty,product_canada,product_medicinales,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,product_RE_aggregate,product_threesectors,product_threesectorsM,nbr_occurences_navigo_marseille_,nbr_occurences_navigo_g5,nbr_occurrences_datasprint
(empty),,[non traité],9c,,Intraitable,,,Pas grain (0),,,,,,[non traité],No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,[vide],Unknown,Inconnus,0,0,0
A l'aventure,à l'aventure,à l'aventure,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Produits inconnus,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,25,0
A son lest,à son lest,à son lest,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Produits inconnus,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,4,0
A vide,à vide,à vide,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Produits inconnus,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,476,108
A vuide,à vide,à vide,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Produits inconnus,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,4,0
Acajou,acajou,acajou,6b,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bois divers hors combustible,No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Matières premières,Agriculture,Produits primaires,0,5,0
Agobilles,agobille,agobille,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,out,Not coffee,,out,Divers incertains,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Divers,Unknown,Inconnus,1,0,0
Agres,agrès,agrès,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Agrès,agrès,agrès,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Agrés,agrès,agrès,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,1,0
Agrés et apparaux,agrès et apparaux,agrès et apparaux,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Bâtiments de mer et apparaux,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Ail,ails,ails,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Subsistances diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,34
Ails,ails,ails,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Subsistances diverses et mélangées,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,2,0,0
Alicot,alicot,alicot,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Subsistances diverses et mélangées,No link with beaver,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Subsistances,Agriculture,Produits agricoles,0,1,0
Alisaris,alizari,alizari,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Garance,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Agriculture,Produits agricoles,3,0,0
