numerodeligne,dataentryby,source,SourceType,year,exports/imports,sheet,marchandises,Pays,value,Sous-total,Sous-tota 2l,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Allemagne,12.60000038146973,15420.5,,,,,,,,,,,,,,,,,,
2,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Espagne,1849.050048828125,15420.5,,,,,,,,,,,,,,,,,,
3,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Flandre,10.5,15420.5,,,,,,,,,,,,,,,,,,
4,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Isles,6329,15420.5,,,,,,,,,,,,,,,,,,
5,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Italie,1062.5,15420.5,,,,,,,,,,,,,,,,,,
6,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Levant,2240,15420.5,,,,,,,,,,,,,,,,,,
7,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Portugal,1415.25,15420.5,,,,,,,,,,,,,,,,,,
8,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Savoye,140.8999938964844,15420.5,,,,,,,,,,,,,,,,,,
9,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Acier,Suisse,2360.699951171875,15420.5,,,,,,,,,,,,,,,,,,
10,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agathe,Guinée,48000,,,,,,,,,,,,,,,,,,,
11,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agneaux,Allemagne,236,,,,,,,,,,,,,,,,,,,
12,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agrémens ; d'argent,Angleterre,4,3211.5,,,,,,,,,,,,,,,,,,
13,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agrémens ; de fil,Flandre,37.5,3211.5,,,,,,,,,,,,,,,,,,
14,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agremens ; de soye,Allemagne,175,3170,3211.5,,,,,,,,,,,,,,,,,
15,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agremens ; de soye,Flandre,285,3170,3211.5,,,,,,,,,,,,,,,,,
16,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agremens ; de soye,Isles,1160,3170,3211.5,,,,,,,,,,,,,,,,,
17,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Agremens ; de soye,Suisse,1550,3170,3211.5,,,,,,,,,,,,,,,,,
18,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Ajamis,Angleterre,1981,388306,,,,,,,,,,,,,,,,,,
19,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Ajamis,Espagne,195156,388306,,,,,,,,,,,,,,,,,,
20,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Ajamis,Italie,189999,388306,,,,,,,,,,,,,,,,,,
21,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Ajamis,Levant,1170,388306,,,,,,,,,,,,,,,,,,
22,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Aigrettes,Flandre,60,85,,,,,,,,,,,,,,,,,,
23,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,2,Aigrettes,Isles,25,85,,,,,,,,,,,,,,,,,,
24,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Aiguilles,Espagne,16,2041,,,,,,,,,,,,,,,,,,
25,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Aiguilles,Hollande,2025,2041,,,,,,,,,,,,,,,,,,
26,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Ails,Flandre,22,85.75,,,,,,,,,,,,,,,,,,
27,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Ails,Savoye,63.75,85.75,,,,,,,,,,,,,,,,,,
28,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Ajustements,Allemagne,12486,13888,,,,,,,,,,,,,,,,,,
29,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Ajustements,Angleterre,1402,13888,,,,,,,,,,,,,,,,,,
30,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alambics,Isles,336,,,,,,,,,,,,,,,,,,,
31,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alaya,Italie,96,656,,,,,,,,,,,,,,,,,,
32,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alaya,Levant,560,656,,,,,,,,,,,,,,,,,,
33,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alegiar,Guinée,7800,,,,,,,,,,,,,,,,,,,
34,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alibanis,Guinée,400,,,,,,,,,,,,,,,,,,,
35,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Angleterre,1910,38650.8984375,,,,,,,,,,,,,,,,,,
36,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Espagne,4724,38650.8984375,,,,,,,,,,,,,,,,,,
37,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Flandre,197,38650.8984375,,,,,,,,,,,,,,,,,,
38,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Isles,484.5,38650.8984375,,,,,,,,,,,,,,,,,,
39,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Italie,3066.14990234375,38650.8984375,,,,,,,,,,,,,,,,,,
40,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Levant,4267,38650.8984375,,,,,,,,,,,,,,,,,,
41,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Nord,381,38650.8984375,,,,,,,,,,,,,,,,,,
42,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Savoye,68.75,38650.8984375,,,,,,,,,,,,,,,,,,
43,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Alun,Suisse,23552.5,38650.8984375,,,,,,,,,,,,,,,,,,
44,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Amadou,Suisse,106,,,,,,,,,,,,,,,,,,,
45,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Amandes ; cassées,Espagne,1066,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
46,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Amandes ; cassées,Flandre,30,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
47,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Amandes ; cassées,Isles,23060,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
48,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Amandes ; cassées,Italie,1042.5,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
49,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,3,Amandes ; cassées,Levant,64775.3984375,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
50,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; cassées,Nord,200794.296875,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
51,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; cassées,Savoye,18078,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
52,Saadia Mai,Montbret 155-1,Objet Général,1755,Exports,4,Amandes ; cassées,Suisse,1798.75,310644.9375,636280.8125,,,,,,,,,,,,,,,,,
