Nom opérateur/trice,Cote du document source,Année,N° de page du PDF,Exportations/Importations,Pays d'origine,Familles de marchandises,Nom de la marchandise,Quantités marchandises,Unité de compte/quantités,Prix unitaire,Unité de compte,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Valeur en décimale de Lt,Unité de compte,Total ,Unité de compte,Remarques
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Acier,,,,,2154,,,2154,,4464,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Isles,,Acier,,,,,420,,,420,,4464,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Acier,,,,,35,,,35,,4464,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Suisse,,Acier,,,,,1855,,,1855,,4464,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Gènes,,Agarie,,,,,600,,,600,,600,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Allemagne,,Agneaux,,,,,607,,,607,,620,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Agneaux,,,,,9,,,9,,620,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Agneaux,,,,,4,,,4,,620,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Allemagne,,Agréments ; de soye,,,,,15,,,15,,2841,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Flandre,,Agréments ; de soye,,,,,2814,,,2814,,2841,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Savoye,,Agréments ; de soye,,,,,12,,,12,,2841,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Espagne,,Aiguilles,,,,,1200,,,1200,,1270,,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Exportations,Flandre,,Aiguilles,,,,,70,,,70,,1270,,
