numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,total,prix_unitaire,remarks
1,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Acier,Espagne,252.0,4561.75,252.0,
2,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Acier,Flandre,22.75,4561.75,23.25,
3,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Acier,Isles,1340.0,4561.75,1340.0,
4,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Acier,Levant,262.0,4561.75,262.0,
5,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Acier,Portugal,1020.0,4561.75,1020.0,
6,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Acier,Savoye,160.0,4561.75,160.0,
7,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Acier,Suisse,1505.0,4561.75,1505.0,
8,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Agneaux,Allemagne,2258.0,2487.5,2258.0,
9,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Agneaux,Espagne,25.5,2487.5,25.8333333333,
10,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Agneaux,Savoye,204.0,2487.5,204.0,
11,David CASSAGNES,"BM Rouen, Fonds Montbret, 155-2",National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-2/1758.csv,Objet Général,1758,Exports,2,Agrémens ; auquart,Flandre,43.5,43.5,43.8333333333,
