numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Agrès de navire,Sénégal et Guinée,500,,Le Havre,,,0
2,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Argenterie et bijouterie,St Domingue,2120,,Paris,,,0
3,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Ardoises,St Domingue,1450,36000,Bretagne,en nombres,,0
4,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Armes à feu diverses,Sénégal et Guinée,5371,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Fusils,Sénégal et Guinée,1500,150,Rochefort,en nombres,,0
6,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Fusils,Sénégal et Guinée,24466,37165,Ostende,livres,Doute sur l'unité,0
7,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Fusils,Sénégal et Guinée,3000,280,Hollande,en nombres,,0
8,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Fusils,Sénégal et Guinée,600,768,Pays de Liège,livres,Doute sur l'unité,0
9,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Fusils,Sénégal et Guinée,3910,3060,Angleterre,livres,Doute sur l'unité,0
10,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Pistolets,Sénégal et Guinée,1291,153,Ostende,paires ,,0
11,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Armes blanches diverses,Sénégal et Guinée,64,,,,,0
12,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Sabres,Sénégal et Guinée,3128,1602,Hollande,en nombres,,0
13,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Sabres,St Domingue,1000,250,Pays de Liège,en nombres,,0
14,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bâts à mutets,St Domingue,1080,98,Le Havre,en nombres,,0
15,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois à brûler,Sénégal et Guinée,2790,,Rochefort,,,0
16,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois à brûler,St Domingue,120,,Honfleur,,,0
17,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois à brûler,Sénégal et Guinée,47,,Honfleur,,,0
18,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois feuillard en cercles,St Domingue,5000,,Rouen,,,0
19,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois feuillard en cercles,La Martinique,350,,Rouen,,,0
20,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois feuillard en cercles,Sénégal et Guinée,300,,Rouen,,,0
21,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois feuillard,St Domingue,3142,,Bretagne,,,0
22,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois ozier,St Domingue,697,,Bretagne,,,0
23,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois en aviron,St Domingue,612,102,Nord,en nombres,,0
24,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois de sapin en planches,St Domingue,1295,790,Danemark,en nombres,,0
25,Cyril Mouton,ANOM Col F 2B 13 (tableau 27),Colonies/1788 – Petits Ports – Exports colonies,Colonies,1788,Exports,"Blaye, Saint-Valéry, Rochefort, Dieppe, Honfleur, Cherbourg, Granville, Medon, Saint-Servan, Port-Louis",,78,Bois de sapin en planches,Sénégal et Guinée,1950,970,Danemark,en nombres,,0
