numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Calcul
1,Cyril Mouton,ANOM Col F 2B 13 (tableau 26),Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Agrès de vaisseaux,St Domingue,200,103,St Malo,en nombre,,0,
2,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Argenterie et bijouterie,Cayenne et Guyane,400,,Paris,,,0,
3,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Armes à feu (en fusils),Sénégal et Guinée,13000,1300,Ostende,en nombre,,0,
4,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Fusils,Sénégal et Guinée,15600,1300,Hollande,en nombre,,0,
5,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Armes blanches (sabres),Sénégal et Guinée,2100,700,Hollande,en nombre,,0,
6,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Sabres,Sénégal et Guinée,1500,600,Angleterre,en nombre,,0,
7,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Beurre,St Domingue,1975,3950,Bretagne,livres,,0,
8,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Beurre,Cayenne et Guyane,1550,3100,Bretagne,livres,,0,
9,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Beurre,St Domingue,400,800,Bretagne,livres,,0,
10,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bière,St Domingue,6200,"97,5",Hollande,muids,,1,"97,5"
12,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bière,St Domingue,6200,700,Hollande,bouteilles,,2,
13,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bière,Sénégal et Guinée,200,"3,3333333333",Hollande,muids,,0,"3,3333333333"
15,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bijouterie,Cayenne et Guyane,5700,,Paris,,,0,
16,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bois feuillard,St Domingue,31516,14007,Dieppe,paquets,,0,
17,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bois ozier,St Domingue,124,62000,Bayonne,paquets,,0,
18,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bonneterie de fil (en bas),St Domingue,5712,119,,douzaines,,0,
19,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bonneterie de fil (en bas),La Martinique,5664,118,,douzaines,,0,
20,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bonnets de laine communs,Sénégal et Guinée,2664,222,Angleterre,douzaines,,0,
21,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bas de soye,Cayenne et Guyane,400,8,Lyon,livres,,0,
22,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bray gras et goudrons,St Domingue,96,800,Suède,livres,,0,
23,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Brosserie,Cayenne et Guyane,158,,,,,0,
24,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Caves de 6 flacons,Sénégal et Guinée,7872,1312,Ostende,en nombre,,0,
25,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bœuf en daube,St Domingue,682,910,St Malo,livres,,0,
26,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bœuf en daube,Cayenne et Guyane,3360,4480,St Malo,livres,,0,
27,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bœuf salé,St Domingue,212,529,Angleterre,livres,,0,
28,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Bœuf salé,Sénégal et Guinée,11839,29597,Angleterre,livres,,0,
29,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Jambon,Cayenne et Guyane,360,360,St Malo,livres,,0,
30,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Lard salé,St Domingue,400,1000,St Malo,livres,,0,
31,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Lard salé,Sénégal et Guinée,2464,6160,St Malo,livres,,0,
32,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Lard salé,St Domingue,5624,14060,Angleterre,livres,,0,
33,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Lard salé,Cayenne et Guyane,1440,3600,Angleterre,livres,,0,
34,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Lard salé,Sénégal et Guinée,4920,12300,Angleterre,livres,,0,
35,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Chapeaux fins,Cayenne et Guyane,2304,24,Paris,douzaines,,0,
36,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Chapeaux à nègres,St Domingue,7785,3966,Caen,en nombre,,0,
37,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Chapeaux à nègres,St Domingue,3180,1590,Rouen,en nombre,,0,
38,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,87,Chaux,St Domingue,576,72,St Servan,barriques,,0,
39,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Cidre,St Domingue,110,240,Bayonne,pintes,,0,
40,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Cidre,St Domingue,48,"1,6666666667",Bretagne,muids,,0,"1,6666666667"
42,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Confitures liquides,St Domingue,150,150,St Malo,livres,,0,
43,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Corail,Sénégal et Guinée,8700,,Marseille,,,0,
44,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Couteaux flamands,Sénégal et Guinée,18915,6305,Hollande,douzaines,,0,
45,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Couvertures de laine,Sénégal et Guinée,150,15,Angleterre,en nombre,,0,
46,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Couvertures de laine,St Domingue,120,11,Rouen,en nombre,Doute sur l'origine,0,
47,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Cuivre ouvré,Sénégal et Guinée,728,,Hollande,,,0,
48,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Cuivre en feuille,Sénégal et Guinée,1188,660,Angleterre,livres,,0,
49,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Dorure fine,Cayenne et Guyane,30,6,Paris,onces,,0,
50,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Dorure fausse,Sénégal et Guinée,2232,126,Paris,livres,,1,
51,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Dorure fausse,Sénégal et Guinée,2232,13,Paris,onces,,2,
52,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Drap,Sénégal et Guinée,5000,500,Angleterre,aunes,,0,
53,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Drap,Sénégal et Guinée,16461,1829,Carcassonne,aunes,,0,
54,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Drap,Sénégal et Guinée,5440,1360,Beauvais,aunes,,0,
55,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Drap,Cayenne et Guyane,225,9,Louviers,aunes,,0,
56,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Drap rouge bariolé,Sénégal et Guinée,300,20,Hollande,aunes,,0,
57,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Drogues pour la peinture et la teinture,St Domingue,1400,,,,,0,
58,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Eau de lavande,Sénégal et Guinée,250,50,Montpellier,bouteilles,,0,
59,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Eau de vie,Sénégal et Guinée,22870,"127,0555555556",Bordeaux,muids,,0,"127,0555555556"
61,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Epicerie (en poivre),Cayenne et Guyane,260,130,,livres,,0,
62,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Etoffes bayette de laine,Sénégal et Guinée,2876,16,Hollande,pièces,,0,
63,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Etoffes bayette de laine,Sénégal et Guinée,2876,719,Hollande,aunes,,0,
64,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Etoffes serge,Sénégal et Guinée,1610,644,,aunes,,0,
65,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Etoffes diverses de soye,Sénégal et Guinée,9340,,,,,0,
66,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Etoffes de soye,Sénégal et Guinée,264,,Indes,,,0,
67,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,88,Etoffes diverses peintes,Sénégal et Guinée,497,,Nîmes,,,0,
68,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Etoffe de soye fil et coton,Sénégal et Guinée,3684,1228,Nîmes,aunes,,0,
69,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Farine,St Domingue,1760,8800,Bordeaux,livres,,0,
70,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Farine,Cayenne et Guyane,480,2400,Bordeaux,livres,,0,
71,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Farine,Sénégal et Guinée,1200,6000,Bordeaux,livres,,0,
72,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fayence,Sénégal et Guinée,2082,,Angleterre,,,0,
73,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fer en barres,Sénégal et Guinée,2179,10896,Hollande,livres,,0,
74,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fer feuillard,Sénégal et Guinée,2100,6000,Hollande,livres,,0,
75,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fer en clous,St Domingue,4844,13456,St Malo,livres,,0,
76,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fer en clous,Cayenne et Guyane,900,2500,St Malo,livres,,0,
77,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fer blanc en feuilles,Cayenne et Guyane,100,250,Allemagne,feuilles,,0,
78,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fil à coudre,Sénégal et Guinée,15096,6800,Suède,livres,,0,
79,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fil à coudre,St Domingue,1430,550,Rennes,livres,,0,
80,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fil à voile,St Domingue,355,325,St Malo,livres,"Pas de valeur, j'ai mis celle qui permettait d'arriver à la somme totale du pdf",0,
81,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fil à voile,Cayenne et Guyane,231,165,St Malo,livres,,0,
82,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Fromage,Cayenne et Guyane,165,330,Hollande,livres,,0,
83,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Prunes sèches,St Domingue,980,2450,Bordeaux,livres,,0,
84,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Raisins secs,St Domingue,100,200,Malaga,livres,,0,
85,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Futailles vides,Sénégal et Guinée,9000,6000,St Malo,en nombre,,0,
86,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Gaze en argent faux,Sénégal et Guinée,100,5,Paris,livres,,0,
87,Cyril Mouton,ANOM Col F 2B 13,Colonies/1788 - Saint-Malo - Exports colonies.csv,Colonies,1788,Exports,Saint-Malo,89,Gaze en argent faux,Sénégal et Guinée,100,13,Paris,onces,,0,
