numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts,leurvaleursubtotal_1
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Agrès de navire,St Domingue,2434,,,,Pas de quantité indiquée,0,
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Amandes en coques,St Domingue,294,420,Provence,livres,,0,
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Arbres fruitiers,St Domingue,774,1548,Touraine,en nombre,,0,
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Argent en piastres,Sénégal et Guinée,315000,40000,Étranger,en nombre,,0,
5,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Ardoises,St Domingue,49527,2751500,Anjou,en nombre,,0,53385
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Ardoises,La Martinique,654,38000,Anjou,en nombre,,0,53385
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Ardoises,La Guadeloupe,3204,178000,Anjou,en nombre,,0,53385
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Ardoises en carreau,St Domingue,2466,5166,Anjou,en nombre,,0,
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes blanches (sabres),St Domingue,330,22,,en nombre,,0,
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Sabres et poignards de traitte,Sénégal et Guinée,16304,8152,Étranger,en nombre,,0,
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Sabres montés en cuivre doré,Sénégal et Guinée,135,9,Isle de France,en nombre,,0,
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu (fusils de traitte),Sénégal et Guinée,149727,23035,Étranger,en nombre,,0,
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu (fusils de traitte),Sénégal et Guinée,19383,2769,Hainaut,en nombre,,0,
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu (fusils de traitte),Sénégal et Guinée,3000,400,Flandres,en nombre,,0,
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu de munition,Sénégal et Guinée,480,40,Foret,en nombre,,0,
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu de munition,Sénégal et Guinée,9580,790,Hainaut,en nombre,,0,
17,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu de munition fine,St Domingue,2448,34,Isle de France,en nombre,,0,
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu de munition fine,St Domingue,3030,101,Foret,en nombre,,0,4200
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu de munition fine,La Guadeloupe,1170,39,Foret,en nombre,,0,4200
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Armes à feu de munition fine,Sénégal et Guinée,4650,155,Foret,en nombre,,0,
21,Cyril Mouton,ANOM Col F 2B 14 (tableau 18),Colonies/1789 - Nantes - Exports colonies.csv,Colonies,1789,Exports,Nantes,18,Pistolets de traitte,Sénégal et Guinée,636,53,Hainaut,en nombre,,0,
