numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Leurvaleursubtotal_1
1,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Amidon,Tabago,60,200,Dunkerque,livres,,0,
2,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Beurre salé,St Domingue,503,670,Flandres,livres,,0,3228
3,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Beurre salé,La Martinique,1608,2145,Flandres,livres,,0,3228
4,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Beurre salé,Tabago,1117,1490,Flandres,livres,,0,3228
5,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Beurre salé,St Domingue,10050,13400,Irlande,livres,,0,107760
6,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Beurre salé,La Martinique,86250,115000,Irlande,livres,,0,107760
7,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Beurre salé,La Guadeloupe,2700,3600,Irlande,livres,,0,107760
8,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Beurre salé,Tabago,8760,11680,Irlande,livres,,0,107760
9,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bière,St Domingue,3447,"202,75",Dunkerque,tonneaux,,0,9610
10,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bière,La Martinique,3732,"219,5",Dunkerque,tonneaux,,0,9610
11,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bière,Tabago,2431,143,Dunkerque,tonneaux,,0,9610
12,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bière,Tabago,7230,181,Angleterre,barils,,0,
13,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bière,La Martinique,204,12,Flandres,tonneaux,,0,
14,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois feuillard,St Domingue,250,2500,Rouen,cercles,,0,2000
15,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois feuillard,La Martinique,1750,5500,Rouen,cercles,,0,2000
16,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois feuillard,St Domingue,1187,11875,Dunkerque,en nombre,,0,2143
17,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois feuillard,Tabago,956,9560,Dunkerque,en nombre,,0,2143
18,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois feuillard,La Guadeloupe,2020,20200,Le Havre,cercles,,0,2420
19,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois feuillard,Tabago,400,4000,Le Havre,cercles,,0,2420
20,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois feuillard,St Domingue,1970,19700,Flandres,cercles,,0,
21,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois merrin en douves,La Martinique,1675,16000,Dunkerque,en nombre,,0,
22,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois en planche de sapin,St Domingue,4510,4100,Suède,en nombre,,0,15290
23,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois en planche de sapin,La Martinique,9570,8700,Suède,en nombre,,0,15290
24,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois en planche de sapin,La Guadeloupe,990,900,Suède,en nombre,,0,15290
25,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois en planche de sapin,Tabago,220,200,Suède,en nombre,,0,15290
26,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bois ouvré pour charpente,Tabago,400,,Dunkerque,,,0,
27,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bonneterie de coton en bas,Tabago,2068,53,Angleterre,douzaines,,0,
28,Cyril Mouton,ANOM Col F 2B 13 (tableau 23),Colonies/1788 - Lille - Exports colonies.csv,Colonies,1788,Exports,Lille - port de Dunkerque - commerce privilégié,25,Bonneterie de fil en bas,La Martinique,424,106,Flandres,pièces,,0,2472
