numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,leurvaleursubtotal_2,remarks,doubleaccounts,leurvaleursubtotal_1
1,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Acier,St Domingue,447,1490,livres,883,,0,883
2,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Acier,La Martinique,360,1200,livres,,,0,883
3,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Acier,La Guadeloupe,76,250,livres,,,0,883
4,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Agréments de soye,St Domingue,1500,50,livres,,,0,1500
5,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Amidon,St Domingue,1048,2760,livres,,,0,1048
6,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Argenterie,St Domingue,122577,"2128,875",marcs,201964,,0,201964
8,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Argenterie,La Martinique,31430,"561,25",marcs,,,0,201964
10,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Argenterie,La Guadeloupe,45591,"814,125",marcs,,,0,201964
12,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Argenterie,Cayenne et Guyanne,2366,"42,25",marcs,,,0,201964
14,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Argenterie,Sénégal et Guinée,3263,"53,25",marcs,,,0,201964
16,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; à feux,St Domingue,,26953,,33195,,0,33195
17,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; à feux,La Martinique,,712,,,,0,33195
18,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; à feux,La Guadeloupe,,3326,,,,0,33195
19,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; à feux,Cayenne et Guyanne,,2204,,,,0,33195
20,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; à feux,Sénégal et Guinée,,74599,,,,0,33195
21,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; blanches,St Domingue,,3062,,3862,,0,3861
22,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; blanches,Cayenne et Guyanne,,800,,,,0,3861
23,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Armes divers ; blanches,Sénégal et Guinée,,4332,,,,0,3861
24,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Avoine,St Domingue,78,1280,livres,1734,,0,1734
25,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Avoine,La Martinique,48,800,livres,,,0,1734
26,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Avoine,La Guadeloupe,1608,26800,livres,,,0,1734
27,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Batterie de cuisine,St Domingue,1350,,,,,0,1350
28,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bijouterie,St Domingue,209880,,,242854,,0,242854
29,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bijouterie,La Martinique,19724,,,,,0,242854
30,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bijouterie,La Guadeloupe,13250,,,,,0,242854
31,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bijouterie,Sénégal et Guinée,160,,,,,0,242854
32,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de construction de toutes sortes,St Domingue,,62057,,85933,,0,85933
33,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de construction de toutes sortes,La Martinique,,15052,,,,0,85933
34,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de construction de toutes sortes,La Guadeloupe,,7614,,,,0,85933
35,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de construction de toutes sortes,Cayenne et Guyanne,,1210,,,,0,85933
36,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de construction de toutes sortes,Sénégal et Guinée,,5700,,,,0,85933
37,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de merain,St Domingue,,20056,,21136,,0,21136
38,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de merain,La Martinique,,495,,,,0,21136
39,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de merain,La Guadeloupe,,585,,,,0,21136
40,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de merain,Sénégal et Guinée,,390,,,,0,21136
41,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de feuillard,St Domingue,,168816,,220616,,0,220616
42,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de feuillard,La Martinique,,31912,,,,0,220616
43,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de feuillard,La Guadeloupe,,18168,,,,0,220616
44,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de feuillard,Cayenne et Guyanne,,1720,,,,0,220616
45,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; de feuillard,Sénégal et Guinée,,6000,,,,0,220616
46,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; ozier,St Domingue,,10276,,14686,,0,14686
47,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; ozier,La Martinique,,3000,,,,0,14686
48,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; ozier,La Guadeloupe,,1260,,,,0,14686
49,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; ozier,Cayenne et Guyanne,,150,,,,0,14686
50,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bois ; ozier,Sénégal et Guinée,,750,,,,0,14686
51,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; diverses,St Domingue,,1860,,2196,,0,2196
52,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; diverses,La Martinique,,336,,,,0,2196
53,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de fil,St Domingue,,70611,,85287,,0,85287
54,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de fil,La Martinique,,4434,,,,0,85287
55,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de fil,La Guadeloupe,,10098,,,,0,85287
56,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de fil,Cayenne et Guyanne,,144,,,,0,85287
57,Elisa Tirindelli,ANOM Col F 2B 14 (tableau 16),Colonies/1787 - Bordeaux - Exports colonies.csv,Colonies,1787,Exports,Bordeaux,2,Bonneterie ; de laine,St Domingue,,32,,,,0,32
