numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,Double compte,Leurvaleursubtotal_1
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Armes blanches,St Domingue,1500,,,,Pas de quantité indiquée,0,
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Sabre,Sénégal et Guinée,207,166,Étranger,en nombre,,0,
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Armes à feu fusils,Sénégal et Guinée,2296,,France,,Pas de quantité indiquée,0,
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Armes à feu fusils,Sénégal et Guinée,47600,6569,Étranger,en nombre,,1,
5,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Armes à feu fusils,Sénégal et Guinée,47600,6302,Étranger,livres,,2,
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Armes à feu pistolets,Sénégal et Guinée,116,58,Étranger,en nombre,,0,
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bonneterie de fil,St Domingue,13020,1950,Anjou,livres,,0,
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bonneterie de soye,Sénégal et Guinée,864,,Languedoc,,Pas de quantité indiquée,0,
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bois à bruler,Sénégal et Guinée,320,,,,Pas de quantité indiquée,0,
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bois feuillard en cordes,St Domingue,20340,13210,Normandie,paquets,,0,
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bois de sapin en planches,St Domingue,1700,2000,Étranger,en nombre,,0,
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bray gras,St Domingue,125,1500,Étranger,livres,,0,
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bray gras,Sénégal et Guinée,325,3900,Étranger,livres,,0,
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bray sec,St Domingue,108,1200,Pays des basques,livres,,0,
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Bray sec,Sénégal et Guinée,595,60205,Pays des basques,livres,,0,
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Goudron,St Domingue,788,8160,Étranger,livres,,0,
17,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Goudron,Sénégal et Guinée,748,8160,Étranger,livres,Dernier chiffre illisible,0,
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Caffé,Sénégal et Guinée,510,707,Isles françaises,livres,,0,
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Cardes à carder,Sénégal et Guinée,472,,,,,0,
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Caves et canevettes,Sénégal et Guinée,460,130,Étranger,en nombre,Dernier chiffre illisible,0,
21,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Cauris,Sénégal et Guinée,75920,61804,Étranger,livres,,0,
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Beurre salé,St Domingue,345,510,Étranger,livres,,0,
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Beurre salé,Sénégal et Guinée,2612,4520,Étranger,livres,,0,
24,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Beurre salé,St Domingue,13227,17291,Normandie,livres,,0,
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Biscuit,St Domingue,4660,23200,Normandie,livres,,0,
26,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Biscuit,Sénégal et Guinée,6858,34290,Normandie,livres,,0,
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1789 - Petits Ports - Exports colonies.csv,Colonies,1789,Exports,"Blaye, Le Légué, Dieppe, Honfleur, Cherbourg et Rochefort",66,Chairs salées diverses,St Domingue,500,,Guyenne,,Pas de quantité indiquée,0,
