numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantity_unit,remarks,doubleaccounts
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Armes blanches et à feu,Sénégal et Guinée,17764,,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Argenterie et bijouterie,St Domingue,2080,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Argenterie et bijouterie,Sénégal et Guinée,1634,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Bois feuillard,St Domingue,3950,paquets,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Bois feuillard,La Guadeloupe,250,paquets,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Bonneterie divers,St Domingue,1500,,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Bonneterie divers,La Guadeloupe,1932,,,0
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Bonneterie divers,Sénégal et Guinée,1284,,,0
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Bray et goudron,St Domingue,5070,livres,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14 (tableau 23),Colonies/1787 - Saint-Malo - Exports colonies.csv,Colonies,1787,Exports,Saint-Malo,31,Bray et goudron,Sénégal et Guinée,60,livres,,0
