numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts,leurvaleursubtotal_1
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amidon,St Domingue,153,340,Marseille,livres,,0,
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amandes en coques,St Domingue,68827,172067,Provence,livres,,0,151650
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amandes en coques,La Martinique,62364,155910,Provence,livres,,0,151650
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amandes en coques,La Guadeloupe,18574,46435,Provence,livres,,0,151650
5,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amandes en coques,Cayenne et Guyanne,1885,4712,Provence,livres,,0,151650
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amandes cassées,St Domingue,2794,4989,Provence,livres,,0,7488
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amandes cassées,La Martinique,3396,6064,Provence,livres,,0,7488
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Amandes cassées,La Guadeloupe,1298,2318,Provence,livres,,0,7488
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Armes à feu,St Domingue,200,,St Etienne,,Pas de quantité indiquée,0,2770
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Armes à feu,La Martinique,1960,,St Etienne,,Pas de quantité indiquée,0,2770
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Armes à feu,Cayenne et Guyanne,610,,St Etienne,,Pas de quantité indiquée,0,2770
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Armes à feu,Sénégal et Guinée,5200,,St Etienne,,Pas de quantité indiquée,0,
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Armes à feu,La Martinique,336,,Marseille,,Pas de quantité indiquée,0,
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Balais,St Domingue,330,824,Étranger,en nombre,,0,960
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Balais,La Martinique,510,1275,Étranger,en nombre,,0,960
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Balais,La Guadeloupe,120,300,Étranger,en nombre,,0,960
17,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bandages de peau,St Domingue,710,,Marseille,,Pas de quantité indiquée,0,1606
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bandages de peau,La Martinique,776,,Marseille,,Pas de quantité indiquée,0,1606
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bandages de peau,La Guadeloupe,120,,Marseille,,Pas de quantité indiquée,0,1606
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bierre,St Domingue,648,"5,7291666667",Marseille,muids,,1,1224
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bierre,St Domingue,648,400,Marseille,bouteilles,,2,1224
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bierre,Cayenne et Guyanne,576,"6,25",Marseille,muids,,0,1224
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bierre,Sénégal et Guinée,144,"1,5625",Marseille,muids,,0,
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bijouterie,St Domingue,12114,,Isle de France,,Pas de quantité indiquée,0,12759
28,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bijouterie,La Martinique,525,,Isle de France,,Pas de quantité indiquée,0,12759
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bijouterie,Cayenne et Guyanne,120,,Isle de France,,Pas de quantité indiquée,0,12759
30,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois feuillard,St Domingue,34293,342931,Étranger,en nombre,,0,56880
31,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois feuillard,La Martinique,13927,139270,Étranger,en nombre,,0,56880
32,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois feuillard,La Guadeloupe,7860,78600,Étranger,en nombre,,0,56880
33,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois feuillard,Cayenne et Guyanne,800,8000,Étranger,en nombre,,0,56880
34,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois ouvré,St Domingue,6557,,Marseille,,Pas de quantité indiquée,0,8640
35,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois ouvré,La Martinique,1334,,Marseille,,Pas de quantité indiquée,0,8640
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois ouvré,La Guadeloupe,749,,Marseille,,Pas de quantité indiquée,0,8640
37,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois ouvré,Sénégal et Guinée,400,,Marseille,,Pas de quantité indiquée,0,
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois d'ozier,St Domingue,2204,11025,Provence,livres,,0,4028
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois d'ozier,La Martinique,1266,6925,Provence,livres,,0,4028
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bois d'ozier,La Guadeloupe,558,2300,Provence,livres,,0,4028
41,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de fil en bas,St Domingue,13734,3924,Dauphiné,paires,,0,
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de fil en bas,La Martinique,189,42,Marseille,paires,,0,
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de fil en bas,St Domingue,2297,919,Étranger,paires,,0,4277
44,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de fil en bas,La Martinique,1980,792,Étranger,paires,,0,4277
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de fil en gants,St Domingue,680,34,Dauphiné,livres,,0,
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de laine en bas,La Martinique,288,144,Isle de France,paires,,0,
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de laine en bas,St Domingue,144,72,Languedoc,bonnets,,0,
48,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de coton en bas,St Domingue,1380,92,Marseille,livres,,0,1800
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de coton en bas,La Martinique,300,20,Marseille,livres,,0,1800
50,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de coton en bas,La Guadeloupe,120,8,Marseille,livres,,0,1800
51,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de coton en bas,Sénégal et Guinée,880,100,Provence,livres,,0,
52,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de coton en bas,St Domingue,7120,890,Languedoc,livres,,0,8056
53,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de coton en bas,La Martinique,936,6732,Languedoc,livres,,0,8056
54,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de soye en bas,St Domingue,9680,176,Marseille,livres,,0,26510
55,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de soye en bas,La Martinique,11550,210,Marseille,livres,,0,26510
56,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de soye en bas,La Guadeloupe,5280,96,Marseille,livres,,0,26510
57,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de soye en bas,St Domingue,103712,"2074,25",Languedoc,livres,,0,111462
58,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de soye en bas,La Martinique,5000,100,Languedoc,livres,,0,111462
59,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bonneterie de soye en bas,La Guadeloupe,2750,55,Languedoc,livres,,0,111462
60,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bray,La Martinique,112,1250,Provence,livres,,0,
61,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bray goudron,St Domingue,1700,17000,Étranger,livres,,0,2373
62,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Bray goudron,La Martinique,673,6732,Étranger,livres,,0,2373
63,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Carreaux de marbre,St Domingue,25842,43070,Marseille,en nombre,,0,46230
64,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Carreaux de marbre,La Martinique,10992,18320,Marseille,en nombre,,0,46230
65,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Carreaux de marbre,La Guadeloupe,6396,10660,Marseille,en nombre,,0,46230
66,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Carreaux de marbre,Cayenne et Guyanne,3000,5000,Marseille,en nombre,,0,46230
67,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux mi castor,St Domingue,2394,133,Marseille,en nombre,,0,4986
68,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux mi castor,La Martinique,1512,84,Marseille,en nombre,,0,4986
69,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux mi castor,La Guadeloupe,1080,60,Marseille,en nombre,,0,4986
70,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux mi castor,St Domingue,2034,113,Lyonnais,en nombre,,0,7650
71,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux mi castor,La Martinique,3456,192,Lyonnais,en nombre,,0,7650
72,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux mi castor,La Guadeloupe,2160,120,Lyonnais,en nombre,,0,7650
73,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux garnis,La Martinique,168,2,Marseille,caissons,,0,
74,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de laine,St Domingue,23112,3852,Lyonnais,en nombre,,0,34668
75,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de laine,La Martinique,8208,1368,Lyonnais,en nombre,,0,34668
76,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de laine,La Guadeloupe,3348,258,Lyonnais,en nombre,,0,34668
77,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de laine,St Domingue,8856,1476,Marseille,en nombre,,0,14688
78,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de laine,La Martinique,1512,252,Marseille,en nombre,,0,14688
79,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de laine,La Guadeloupe,4320,720,Marseille,en nombre,,0,14688
80,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de laine,Sénégal et Guinée,5400,900,Marseille,en nombre,,0,
81,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de poil et laine,St Domingue,607464,69496,Marseille,en nombre,,0,985671
82,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de poil et laine,La Martinique,248796,27644,Marseille,en nombre,,0,985671
83,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de poil et laine,La Guadeloupe,97443,10827,Marseille,en nombre,,0,985671
84,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de poil et laine,Cayenne et Guyanne,7776,864,Marseille,en nombre,,0,985671
85,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de poil et laine,Tabago,24192,2688,Marseille,en nombre,,0,985671
86,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de poil et laine,La Martinique,2916,324,Lyonnais,en nombre,,0,
87,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de paille,St Domingue,1596,798,Étranger,en nombre,,0,4356
88,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de paille,La Martinique,2088,1044,Étranger,en nombre,,0,4356
89,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chapeaux de paille,La Guadeloupe,672,336,Étranger,en nombre,,0,4356
90,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs salées de bœuf,St Domingue,32394,107980,Étranger,livres,,0,55654
91,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs salées de bœuf,La Martinique,19191,63969,Étranger,livres,,0,55654
92,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs salées de bœuf,La Guadeloupe,1951,6504,Étranger,livres,,0,55654
93,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs salées de bœuf,Cayenne et Guyanne,2118,7060,Étranger,livres,,0,55654
94,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs salées de bœuf,Sénégal et Guinée,4799,15998,Étranger,livres,,0,
95,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc,St Domingue,6724,12452,Étranger,livres,,0,9360
96,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc,La Martinique,956,1770,Étranger,livres,,0,9360
97,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc,La Guadeloupe,1680,3112,Étranger,livres,,0,9360
98,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc en jambons,St Domingue,5268,7317,Marseille,livres,,0,14684
99,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc en jambons,La Martinique,5668,7873,Marseille,livres,,0,14684
100,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc en jambons,La Guadeloupe,3748,5205,Marseille,livres,,0,14684
101,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc en lard,St Domingue,14590,24317,Marseille,livres,,0,24610
102,Cyril Mouton,ANOM Col F 2B 14 (tableau 20),Colonies/1789 - Marseille - Exports colonies.csv,Colonies,1789,Exports,Marseille,40,Chairs de porc en lard,La Martinique,6662,11104,Marseille,livres,,0,24610
