numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,leurvaleursubtotal_2,remarks,doubleaccounts,leurvaleursubtotal_1
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Acier,St Domingue,667,2225,Étranger,livres,,,0,667
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Agrès et jeux de voiles,St Domingue,798000,133,Guyenne,en nombre,,,0,1092000
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Agrès et jeux de voiles,La Martinique,168000,28,Guyenne,en nombre,,,0,1092000
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Agrès et jeux de voiles,La Guadeloupe,96000,16,Guyenne,en nombre,,,0,1092000
5,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Agrès et jeux de voiles,Cayenne et Guyanne,30000,5,Guyenne,en nombre,,,0,1092000
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Agrès et jeux de voiles,Sénégal et Guinée,126000,21,Guyenne,en nombre,,,0,
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Voiles pour navires,St Domingue,1100,,Guyenne,,,Pas de quantité indiquée,0,1100
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Prélat pour navires,St Domingue,400,2,Guyenne,en nombre,,,0,400
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Amandes en coques,St Domingue,10131,16885,Provence,livres,,,0,10857
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Amandes en coques,La Martinique,486,810,Provence,livres,,,0,10857
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Amandes en coques,La Guadeloupe,240,400,Provence,livres,,,0,10857
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Amandes en coques,St Domingue,2910,4850,Languedoc,livres,,,0,2910
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes blanches en épées,St Domingue,150,12,Isle de France,en nombre,,,0,150
14,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes blanches en sabres de traite,Sénégal et Guinée,52994,7132,Étranger,en nombre,,,0,
15,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes blanches en sabres ordinaires,St Domingue,240,12,Étranger,en nombre,,,0,240
16,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes blanches en sabres ordinaires,Sénégal et Guinée,144,12,Étranger,en nombre,,,0,
17,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Sabres,St Domingue,600,36,Forêt,en nombre,,,0,600
18,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Artillerie en canons de fer,St Domingue,640,4,Languedoc,en nombre,,,0,640
19,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Artillerie en canons de fer,St Domingue,200,2,Angoumois,en nombre,,,0,700
20,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Artillerie en canons de fer,La Guadeloupe,500,2,Angoumois,en nombre,,,0,700
21,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de traite,Sénégal et Guinée,5865,1173,Bretagne,en nombre,,,0,
22,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de traite,St Domingue,258,43,Forêt,en nombre,,,0,2826
23,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de traite,La Martinique,2568,438,Forêt,en nombre,,,0,2826
24,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de traite,Sénégal et Guinée,5064,844,Aunis,en nombre,,,0,
25,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de traite,St Domingue,168,28,Étranger,en nombre,,,0,168
26,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de traite,Sénégal et Guinée,23340,3890,Étranger,en nombre,,,0,
27,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de traite,Sénégal et Guinée,3000,500,Quercy,en nombre,,,0,
28,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de chasse,St Domingue,17380,869,Forêt,en nombre,,,0,20080
29,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de chasse,La Martinique,1780,89,Forêt,en nombre,,,0,20080
30,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils de chasse,La Guadeloupe,920,46,Forêt,en nombre,,,0,20080
31,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils à deux coups,La Martinique,5172,49,Forêt,en nombre,,,0,5282
32,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils à deux coups,La Guadeloupe,110,1,Forêt,en nombre,,,0,5282
33,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils à deux coups,Sénégal et Guinée,420,14,Forêt,en nombre,,,0,
34,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils dits boucaniers,St Domingue,11172,532,Forêt,en nombre,,,0,15036
35,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils dits boucaniers,La Martinique,2100,100,Forêt,en nombre,,,0,15036
36,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils dits boucaniers,La Guadeloupe,1428,68,Forêt,en nombre,,,0,15036
37,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils dits boucaniers,Cayenne et Guyanne,336,16,Forêt,en nombre,,,0,15036
38,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en fusils dits boucaniers,Sénégal et Guinée,1848,88,Forêt,en nombre,,,0,
39,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en pistolets,St Domingue,1176,147,Forêt,paires,,,0,1656
40,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en pistolets,La Martinique,480,60,Forêt,paires,,,0,1656
41,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Armes à feu en pistolets,Sénégal et Guinée,1424,178,Forêt,paires,,,0,
42,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Beurre salé,St Domingue,361457,401619,Étranger,livres,,,0,506321
43,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Beurre salé,La Martinique,76927,85475,Étranger,livres,,,0,506321
44,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Beurre salé,La Guadeloupe,60781,67535,Étranger,livres,,,0,506321
45,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Beurre salé,Cayenne et Guyanne,7156,7951,Étranger,livres,,,0,506321
46,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Beurre salé,Sénégal et Guinée,31696,35218,Étranger,livres,,,0,63970
47,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bierre,St Domingue,58120,"806,9444444444",Étranger,muids,,,1,63970
49,Cyril Mouton,ANOM Col F 2B 14 (tableau 17),Colonies/1789 - Bordeaux - Exports colonies.csv,Colonies,1789,Exports,Bordeaux,3,Bierre,St Domingue,58120,40,Étranger,bouteilles,,,2,63970
