numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
1,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes en coques,St Domingue,116511,290278,Provence,livres,,0
2,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes en coques,La Martinique,79886,199716,Provence,livres,,0
3,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes en coques,La Guadeloupe,7025,17563,Provence,livres,,0
4,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes en coques,Cayenne et Guyanne,2539,6348,Provence,livres,,0
5,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes en coques,Isle de France et de Bourbon,6850,17126,Provence,livres,,0
6,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes cassées,St Domingue,5635,10063,Provence,livres,,0
7,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes cassées,La Martinique,6162,11003,Provence,livres,,0
8,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes cassées,La Guadeloupe,269,480,Provence,livres,,0
9,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Amandes cassées,Isle de France et de Bourbon,1380,2465,Provence,livres,,0
10,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Armes à feu,St Domingue,432,,St Etienne,,,0
11,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Armes à feu,La Martinique,2087,,St Etienne,,,0
12,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Armes à feu,La Guadeloupe,370,,St Etienne,,,0
13,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Armes à feu,Sénégal,13802,,St Etienne,,,0
14,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Armes à feu,Isle de France et de Bourbon,3100,,St Etienne,,,0
15,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Armes à feu,St Domingue,688,,Marseille,,,0
16,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Balais,St Domingue,2256,5642,Livourne,en nombre,,0
17,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Balais,La Martinique,1176,2946,Livourne,en nombre,,0
18,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Balais,La Guadeloupe,300,750,Livourne,en nombre,,0
19,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Balais,Isle de France et de Bourbon,160,400,Livourne,en nombre,,0
20,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Baleine apprêtée,La Martinique,450,150,,livres,,0
21,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bandages de peau,St Domingue,1704,,Marseille,,,0
22,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bandages de peau,La Martinique,402,,Marseille,,,0
23,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bière,St Domingue,90,300,Marseille,bouteilles,,0
24,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bière,Isle de France et de Bourbon,2416,26,Marseille,muids,,0
25,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bijouterie,St Domingue,6185,,Paris,,,0
26,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bijouterie,La Martinique,755,,Paris,,,0
27,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bijouterie,La Guadeloupe,1460,,Paris,,,0
28,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bijouterie,Isle de France et de Bourbon,5300,,Paris,,,0
29,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois feuillard en cercles,St Domingue,49493,494924,Naples,en nombre,,0
30,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois feuillard en cercles,La Martinique,12407,124079,Naples,en nombre,,0
31,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois feuillard en cercles,La Guadeloupe,3836,38360,Naples,en nombre,,0
32,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois feuillard en cercles,Cayenne et Guyanne,100,1000,Naples,en nombre,,0
33,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois feuillard en cercles,Sénégal,100,1000,Naples,en nombre,,0
34,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois ouvré,St Domingue,4537,,Marseille,,,0
35,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois ouvré,La Martinique,3862,,Marseille,,,0
36,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois ouvré,La Guadeloupe,160,,Marseille,,,0
37,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois ouvré,Cayenne et Guyanne,40,,Marseille,,,0
38,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois ouvré,Sénégal,1600,,Marseille,,,0
39,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bois ouvré,Isle de France et de Bourbon,312,,Marseille,,,0
40,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de coton en bas,St Domingue,5340,2327,Marseille,pièces,,0
41,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de coton en bas,La Martinique,810,372,Marseille,pièces,,0
42,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de coton en bas,La Guadeloupe,15,9,Marseille,pièces,,0
43,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonneterie de coton en bas,Isle de France et de Bourbon,750,333,Marseille,pièces,,0
44,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de coton,St Domingue,9075,3312,Nîmes,pièces,,0
45,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bas de coton,Isle de France et de Bourbon,825,120,Nîmes,pièces,,0
46,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonnet de coton,St Domingue,864,144,Naples,livres,,0
47,Cyril Mouton,ANOM Col F 2B 13 (tableau 22),Colonies/1788 - Marseille - Exports colonies.csv,Colonies,1788,Exports,Marseille,52,Bonnet de coton,St Domingue,4920,3936,Nîmes,en nombre,,0
