numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,leurvaleursubtotal_1
1,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Argent monnoyé,Possessions anglaises,12185,,,Articles de marchandises permis par l'arrêt du 30 août 1784,548690
2,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Argent monnoyé,Possessions espagnoles,467455,,,Articles de marchandises permis par l'arrêt du 30 août 1784,548690
3,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Argent monnoyé,Possessions hollandaises,66050,,,Articles de marchandises permis par l'arrêt du 30 août 1784,548690
4,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Argent monnoyé,Possessions portugaises,3000,,,Articles de marchandises permis par l'arrêt du 30 août 1784,548690
5,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bestiaux,Possessions des Etats unis de l'Amérique,491728,,,Articles de marchandises permis par l'arrêt du 30 août 1784,715218
6,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bestiaux,Possessions anglaises,58180,,,Articles de marchandises permis par l'arrêt du 30 août 1784,715218
7,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bestiaux,Possessions danoises,6000,,,Articles de marchandises permis par l'arrêt du 30 août 1784,715218
8,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bestiaux,Possessions espagnoles,139690,,,Articles de marchandises permis par l'arrêt du 30 août 1784,715218
9,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bestiaux,Possessions hollandaises,3720,,,Articles de marchandises permis par l'arrêt du 30 août 1784,715218
10,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bestiaux,Possessions portugaises,15900,,,Articles de marchandises permis par l'arrêt du 30 août 1784,715218
11,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bêtes de somme,Possessions des Etats unis de l'Amérique,1330890,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2534788
12,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bêtes de somme,Possessions anglaises,98900,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2534788
13,Cyril Mouton,ANOM Col F 2B 14 (tableau 25),Colonies/1787 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Colonies,1787,Imports,Colonies Françaises de l'Amérique,2,Bêtes de somme,Possessions espagnoles,845700,,,Articles de marchandises permis par l'arrêt du 30 août 1784,2534788
